item_set_id,sentence,label
0,Someone baked a cake inside an oven.,probable
0,Someone baked a cake inside an airfryer.,improbable
0,Someone baked a cake inside a freezer.,impossible
0,Someone baked a cake inside a sigh.,inconceivable
1,Someone boiled water using a kettle.,probable
1,Someone boiled water using a microwave.,improbable
1,Someone boiled water using a refrigerator.,impossible
1,Someone boiled water using justice.,inconceivable
2,Someone broke a coconut using a rock.,probable
2,Someone broke a coconut using a table.,improbable
2,Someone broke a coconut using a pillow.,impossible
2,Someone broke a coconut using a texture.,inconceivable
3,Someone built a house out of brick.,probable
3,Someone built a house out of grass.,improbable
3,Someone built a house out of gas.,impossible
3,Someone built a house out of language.,inconceivable
4,Someone built a bridge out of steel.,probable
4,Someone built a bridge out of plastic.,improbable
4,Someone built a bridge out of soup.,impossible
4,Someone built a bridge out of dance.,inconceivable
5,Someone called a friend using a phone.,probable
5,Someone called a friend using a laptop.,improbable
5,Someone called a friend using a sandwich.,impossible
5,Someone called a friend using mass.,inconceivable
6,Someone carried groceries inside a tote bag.,probable
6,Someone carried groceries inside a backpack.,improbable
6,Someone carried groceries inside a tornado.,impossible
6,Someone carried groceries inside a law.,inconceivable
7,Someone carved a statue using a chisel.,probable
7,Someone carved a statue using a nail.,improbable
7,Someone carved a statue using a sock.,impossible
7,Someone carved a statue using laughter.,inconceivable
8,Someone caught a fish in a lake.,probable
8,Someone caught a fish in a puddle.,improbable
8,Someone caught a fish in a raindrop.,impossible
8,Someone caught a fish in an exclamation.,inconceivable
9,Someone chilled a drink using ice.,probable
9,Someone chilled a drink using snow.,improbable
9,Someone chilled a drink using fire.,impossible
9,Someone chilled a drink using yesterday.,inconceivable
10,Someone chopped a carrot using a knife.,probable
10,Someone chopped a carrot using a sword.,improbable
10,Someone chopped a carrot using a rag.,impossible
10,Someone chopped a carrot using a color.,inconceivable
11,Someone cleaned a spill using a sponge.,probable
11,Someone cleaned a spill using a scarf.,improbable
11,Someone cleaned a spill using mustard.,impossible
11,Someone cleaned a spill using a country.,inconceivable
12,Someone cleaned a carpet using a vacuum.,probable
12,Someone cleaned a carpet using a hat.,improbable
12,Someone cleaned a carpet using a crayon.,impossible
12,Someone cleaned a carpet using a week.,inconceivable
13,Someone climbed a tree using a ladder.,probable
13,Someone climbed a tree using a rope.,improbable
13,Someone climbed a tree using oil.,impossible
13,Someone climbed a tree using a poem.,inconceivable
14,Someone closed a jacket using a zipper.,probable
14,Someone closed a jacket using glue.,improbable
14,Someone closed a jacket using fog.,impossible
14,Someone closed a jacket using a word.,inconceivable
15,Someone constructed a tower out of blocks.,probable
15,Someone constructed a tower out of bubbles.,improbable
15,Someone constructed a tower out of sparks.,impossible
15,Someone constructed a tower out of seasons.,inconceivable
16,Someone cooked dinner out of pasta.,probable
16,Someone cooked dinner out of insects.,improbable
16,Someone cooked dinner out of the moon.,impossible
16,Someone cooked dinner out of thoughts.,inconceivable
17,Someone cooled a room using a fan.,probable
17,Someone cooled a room using shades.,improbable
17,Someone cooled a room using a heater.,impossible
17,Someone cooled a room using a taste.,inconceivable
18,Someone covered a window using curtains.,probable
18,Someone covered a window using sheets.,improbable
18,Someone covered a window using a hair.,impossible
18,Someone covered a window using a chant.,inconceivable
19,Someone crafted a bowl out of clay.,probable
19,Someone crafted a bowl out of mud.,improbable
19,Someone crafted a bowl out of smoke.,impossible
19,Someone crafted a bowl out of math.,inconceivable
20,Someone crushed a soda can using a shoe.,probable
20,Someone crushed a soda can using a chair.,improbable
20,Someone crushed a soda can using a tissue.,impossible
20,Someone crushed a soda can using a day.,inconceivable
21,Someone cut grass using a lawnmower.,probable
21,Someone cut grass using a scythe.,improbable
21,Someone cut grass using a popsicle.,impossible
21,Someone cut grass using an essay.,inconceivable
22,Someone cut cardboard using scissors.,probable
22,Someone cut cardboard using a scalpel.,improbable
22,Someone cut cardboard using fur.,impossible
22,Someone cut cardboard using a snore.,inconceivable
23,Someone dented a car with a baseball bat.,probable
23,Someone dented a car with a dumbbell.,improbable
23,Someone dented a car with a breeze.,impossible
23,Someone dented a car with a nap.,inconceivable
24,Someone dug a hole using a shovel.,probable
24,Someone dug a hole using a spatula.,improbable
24,Someone dug a hole using dirt.,impossible
24,Someone dug a hole using a yawn.,inconceivable
25,Someone dipped a biscuit into coffee.,probable
25,Someone dipped a biscuit into wine.,improbable
25,Someone dipped a biscuit into a floor.,impossible
25,Someone dipped a biscuit into a myth.,inconceivable
26,Someone displayed books on a shelf.,probable
26,Someone displayed books on a bed.,improbable
26,Someone displayed books on a galaxy.,impossible
26,Someone displayed books on a sigh.,inconceivable
27,Someone docked a boat using an anchor.,probable
27,Someone docked a boat using an anvil.,improbable
27,Someone docked a boat using a balloon.,impossible
27,Someone docked a boat using a lesson.,inconceivable
28,Someone drank a cup full of water.,probable
28,Someone drank a cup full of honey.,improbable
28,Someone drank a cup full of lightning.,impossible
28,Someone drank a cup full of minutes.,inconceivable
29,Someone dried their hands using a towel.,probable
29,Someone dried their hands using a sweater.,improbable
29,Someone dried their hands using a liquid.,impossible
29,Someone dried their hands using freedom.,inconceivable
30,Someone dried laundry using a clothesline.,probable
30,Someone dried laundry using a fan.,improbable
30,Someone dried laundry using juice.,impossible
30,Someone dried laundry using courage.,inconceivable
