sentence,label,probable,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
A boy being entertained by a podcast.,probable,1.0,0.0,2453.162353515625,-705.9900512695312,-23.14813995361328,-705.9900512695312,-3225.244140625
A crumb applying for a job.,near,0.3333333333333333,0.6666666666666666,2392.522705078125,29.761444091796875,-23.34475326538086,29.761444091796875,-2141.0322265625
A crumb being greater than 10.,far,0.1333333333333333,0.8666666666666667,1493.1845703125,231.16714477539062,-22.419307708740234,231.16714477539062,-756.927734375
A door being a multiple of 5.,far,0.0,1.0,2151.74853515625,-229.1939697265625,-28.109100341796875,-229.1939697265625,-2531.49267578125
A door feeling regretful.,near,0.2857142857142857,0.7142857142857143,2792.29345703125,320.22344970703125,-9.075611114501953,320.22344970703125,-1684.221435546875
A girl writing a play.,probable,1.0,0.0,2543.20654296875,-838.2626953125,-18.482707977294922,-838.2626953125,-3875.05224609375
A kilogram being a prime number.,near,0.4444444444444444,0.5555555555555556,3374.22998046875,209.36944580078125,-25.56278419494629,209.36944580078125,-2478.4140625
A kilogram writing a play.,far,0.0,1.0,2492.31298828125,510.46051025390625,-14.479001998901367,510.46051025390625,-938.036865234375
A liter being a multiple of 5.,near,0.75,0.25,1123.23046875,49.5861701965332,-22.737262725830078,49.5861701965332,-835.8880615234375
A liter feeling regretful.,far,0.1428571428571428,0.8571428571428571,1758.3094482421875,-157.21408081054688,-5.276531219482422,-157.21408081054688,-1165.2767333984375
A man being a multiple of 5.,far,0.2222222222222222,0.7777777777777778,1593.0845947265625,-456.1166076660156,-26.320133209228516,-456.1166076660156,-2437.22900390625
A man feeling regretful.,probable,1.0,0.0,1934.3170166015625,-843.2500610351562,-8.810439109802246,-843.2500610351562,-3122.216552734375
A mile being surprised by a news article.,far,0.0,1.0,2327.198486328125,16.76424789428711,-12.956106185913086,16.76424789428711,-1044.3787841796875
A pill being amused by a tv show.,near,0.2,0.8,2990.583984375,54.44996643066406,-22.86193084716797,54.44996643066406,-2615.563232421875
A rock being a prime number.,far,0.0833333333333333,0.9166666666666666,3116.7177734375,48.23161697387695,-22.59978485107422,48.23161697387695,-3302.62890625
A rock writing a play.,near,0.2727272727272727,0.7272727272727273,4026.640625,549.6728515625,-14.289798736572266,549.6728515625,-2816.50390625
A shirt being surprised by a news article.,near,0.2,0.8,3201.283447265625,197.4956817626953,-18.80252456665039,197.4956817626953,-2716.923583984375
A teenager being surprised by a news article.,probable,1.0,0.0,2415.9892578125,-659.4141235351562,-16.994510650634766,-659.4141235351562,-3611.50390625
A toddler being amused by a tv show.,probable,1.0,0.0,1829.0531005859375,-1127.78076171875,-25.56281280517578,-1127.78076171875,-4101.357421875
