sentence,label,probable,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
A boy being entertained by a podcast.,probable,1.0,0.0,243.48220825195312,-19.940603256225586,14.08570671081543,-19.940603256225586,-29.431989669799805
A crumb applying for a job.,near,0.3333333333333333,0.6666666666666666,249.64715576171875,-16.939531326293945,18.121034622192383,-16.939531326293945,-19.590805053710938
A crumb being greater than 10.,far,0.1333333333333333,0.8666666666666667,162.47666931152344,-10.002729415893555,13.929162979125977,-10.002729415893555,-11.46152114868164
A door being a multiple of 5.,far,0.0,1.0,212.63026428222656,-14.664632797241211,15.727356910705566,-14.664632797241211,-17.58138656616211
A door feeling regretful.,near,0.2857142857142857,0.7142857142857143,241.499755859375,-17.10150146484375,19.491317749023438,-17.10150146484375,-19.317428588867188
A girl writing a play.,probable,1.0,0.0,274.18426513671875,-20.998096466064453,17.005203247070312,-20.998096466064453,-32.37527084350586
A kilogram being a prime number.,near,0.4444444444444444,0.5555555555555556,244.7310791015625,-15.410901069641113,14.293346405029297,-15.410901069641113,-18.95568084716797
A kilogram writing a play.,far,0.0,1.0,229.13232421875,-16.265544891357422,17.79708480834961,-16.265544891357422,-22.652040481567383
A liter being a multiple of 5.,near,0.75,0.25,136.1508026123047,-10.47756290435791,13.220144271850586,-10.47756290435791,-12.537664413452148
A liter feeling regretful.,far,0.1428571428571428,0.8571428571428571,196.1361846923828,-14.291145324707031,19.07950210571289,-14.291145324707031,-19.1352596282959
A man being a multiple of 5.,far,0.2222222222222222,0.7777777777777778,216.73489379882812,-12.702239990234375,14.637447357177734,-12.702239990234375,-17.37242889404297
A man feeling regretful.,probable,1.0,0.0,235.84677124023438,-17.464977264404297,15.963384628295898,-17.464977264404297,-26.661155700683594
A mile being surprised by a news article.,far,0.0,1.0,241.2449493408203,-15.689565658569336,15.67458724975586,-15.689565658569336,-20.709049224853516
A pill being amused by a tv show.,near,0.2,0.8,250.52586364746094,-17.94033432006836,15.63271713256836,-17.94033432006836,-24.55840301513672
A rock being a prime number.,far,0.0833333333333333,0.9166666666666666,237.0587921142578,-16.212865829467773,16.45413589477539,-16.212865829467773,-21.489238739013672
A rock writing a play.,near,0.2727272727272727,0.7272727272727273,267.8421325683594,-19.857675552368164,17.60365104675293,-19.857675552368164,-28.88103485107422
A shirt being surprised by a news article.,near,0.2,0.8,249.19580078125,-16.63228988647461,15.180105209350586,-16.63228988647461,-23.648086547851562
A teenager being surprised by a news article.,probable,1.0,0.0,246.27264404296875,-17.49167251586914,13.624449729919434,-17.49167251586914,-27.24362564086914
