sentence,label,probable,improbable,impossible,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone baked a cake inside a freezer.,impossible,0.0,0.0555555555555555,0.8333333333333334,0.1111111111111111,33.32481384277344,-10.645812034606934,-10.645812034606934,-10.645812034606934,-57.049530029296875
Someone baked a cake inside an airfryer.,improbable,0.425,0.525,0.05,0.0,36.255859375,-10.895784378051758,-10.895784378051758,-10.895784378051758,-60.0333251953125
Someone baked a cake inside a sigh.,inconceivable,0.0,0.0,0.0,1.0,29.50033950805664,-6.436986923217773,-6.436986923217773,-6.436986923217773,-44.943729400634766
Someone baked a cake inside an oven.,probable,1.0,0.0,0.0,0.0,27.040283203125,-10.965901374816895,-10.965901374816895,-10.965901374816895,-53.61190414428711
Someone chopped a carrot using a rag.,impossible,0.0,0.1282051282051282,0.8205128205128205,0.0512820512820512,26.478595733642578,-8.893847465515137,-8.893847465515137,-8.893847465515137,-56.106571197509766
Someone chopped a carrot using a sword.,improbable,0.1935483870967742,0.8064516129032258,0.0,0.0,29.582996368408203,-10.38262939453125,-10.38262939453125,-10.38262939453125,-57.03481674194336
Someone chopped a carrot using a color.,inconceivable,0.0,0.0,0.1395348837209302,0.8604651162790697,26.667573928833008,-6.129638195037842,-6.129638195037842,-6.129638195037842,-43.532955169677734
Someone chopped a carrot using a knife.,probable,1.0,0.0,0.0,0.0,23.3834171295166,-9.834648132324219,-9.834648132324219,-9.834648132324219,-55.591148376464844
Someone cleaned a spill using mustard.,impossible,0.0232558139534883,0.2093023255813953,0.6046511627906976,0.1627906976744186,27.983898162841797,-9.453157424926758,-9.453157424926758,-9.453157424926758,-54.27684783935547
Someone cleaned a spill using a scarf.,improbable,0.2777777777777778,0.6944444444444444,0.0277777777777777,0.0,24.217613220214844,-9.555721282958984,-9.555721282958984,-9.555721282958984,-54.01234436035156
Someone cleaned a spill using a country.,inconceivable,0.0,0.0,0.0714285714285714,0.9285714285714286,12.040182113647461,-4.798000335693359,-4.798000335693359,-4.798000335693359,-32.53779220581055
Someone cleaned a spill using a sponge.,probable,0.9523809523809524,0.0476190476190476,0.0,0.0,23.02707290649414,-9.937128067016602,-9.937128067016602,-9.937128067016602,-51.90331268310547
