sentence,improbable,impossible,inconceivable
baking a cake inside an airfryer.,0.908521277133396,0.09146516863894959,1.3554227654373621e-05
baking a cake inside a freezer.,0.7985184887239578,0.2013195212776587,0.000161989998383398
baking a cake inside a sigh.,3.995946947377072e-09,0.051851168531716105,0.9481488274723369
boiling water using a microwave.,0.754911132444272,0.24503697321574902,5.189433997915476e-05
boiling water using a refrigerator.,0.4489616965779948,0.5497197976266573,0.0013185057953479832
boiling water using justice.,1.6637156210983874e-15,0.00037863706763256424,0.9996213629323657
breaking a coconut using a table.,0.7406730555028995,0.2591464037989808,0.00018054069811988642
breaking a coconut using a pillow.,0.6432415988391618,0.35671489591094657,4.3505249891720886e-05
breaking a coconut using a texture.,9.308121505470724e-10,0.029724054964645124,0.9702759441045429
building a house out of grass.,0.5875631428275937,0.41147351096621454,0.000963346206191827
building a house out of gas.,0.0027072994565740392,0.8159813245164315,0.18131137602699454
building a house out of language.,3.298471939692189e-08,0.01587929293802198,0.9841206740772587
building a bridge out of plastic.,0.7331503881864557,0.2664562051531308,0.00039340666041359697
building a bridge out of soup.,0.32226185113326217,0.6753342475313475,0.002403901335390226
building a bridge out of dance.,2.377670688097308e-09,0.016139749371122187,0.9838602482512072
calling a friend using a laptop.,0.5229341525959852,0.450332400089789,0.026733447314225917
calling a friend using a sandwich.,3.4794244492656877e-06,0.6381200792403571,0.36187644133519364
calling a friend using mass.,1.3565577509530265e-20,2.8345976149766904e-05,0.9999716540238504
carrying groceries inside a backpack.,0.9543780230420192,0.04562051509525656,1.4618627240642329e-06
carrying groceries inside a tornado.,0.6490768260474244,0.34971767652649155,0.001205497426084028
carrying groceries inside a law.,2.3620511996974274e-14,0.00028558623549722616,0.9997144137644793
carving a statue using a nail.,0.7070697606527818,0.2928428177970241,8.742155019408211e-05
carving a statue using a sock.,0.36830748494991583,0.6308965288275716,0.000795986222512676
carving a statue using laughter.,0.0104262829041018,0.5907306910198017,0.3988430260760965
catching a fish in a puddle.,0.9307546875848653,0.06913646032431592,0.00010885209081869643
catching a fish in a raindrop.,0.7235221319779167,0.2738383601637569,0.0026395078583264188
catching a fish in an exclamation.,1.814556018397376e-08,0.0025217553498975247,0.9974782265045425
chilling a drink using snow.,0.6872167135333195,0.3117885513031379,0.000994735163542525
chilling a drink using fire.,0.45372003474062017,0.5444322373700556,0.0018477278893242256
chilling a drink using yesterday.,7.662971187994211e-13,0.0010330067097718552,0.9989669932894619
chopping a carrot using a sword.,0.8309844800063534,0.16900775018588968,7.769807756787328e-06
chopping a carrot using a rag.,0.795539601775219,0.20445084892982543,9.549294955622517e-06
chopping a carrot using a color.,3.796127077220681e-07,0.02542791538533794,0.9745717050019544
cleaning a spill using a scarf.,0.7654064199963523,0.23372984017827653,0.0008637398253711655
cleaning a spill using mustard.,0.07697465826638629,0.9061254389449003,0.016899902788713284
cleaning a spill using a country.,2.6770014907921267e-13,0.0013988603675652413,0.9986011396321671
cleaning a carpet using a hat.,0.06640088198896216,0.9104330768489696,0.023166041162068277
cleaning a carpet using a crayon.,0.5810540782321737,0.41783166555942985,0.001114256208396474
cleaning a carpet using a week.,8.193232122146996e-14,0.0002601161642628562,0.9997398838356553
climbing a tree using a rope.,0.8055875948621992,0.19440898048772648,3.4246500741902694e-06
climbing a tree using oil.,0.008696523781331011,0.9133053007561944,0.07799817546247463
climbing a tree using a poem.,0.004973921578389081,0.5578655356766474,0.4371605427449634
closing a jacket using glue.,0.8091506300733466,0.1901896857890735,0.0006596841375798026
closing a jacket using fog.,9.934789706723662e-08,0.4272586467353268,0.5727412539167761
closing a jacket using a word.,2.4227487810823962e-08,0.0181527769077779,0.9818471988647344
constructing a tower out of bubbles.,0.6695503916022811,0.32978469388614756,0.0006649145115712354
constructing a tower out of sparks.,0.11627692051086091,0.8543008090586761,0.02942227043046308
constructing a tower out of seasons.,6.2180035281275464e-09,0.07333973479171656,0.9266602589902798
cooking dinner out of insects.,0.6378175603478257,0.3609134552782412,0.0012689843739331216
cooking dinner out of the moon.,0.015129804020233558,0.764203583381381,0.22066661259838538
cooking dinner out of thoughts.,3.1864162342945984e-06,0.010795008058845175,0.9892018055249207
cooling a room using shades.,0.3095744020803512,0.6455589754429041,0.044866622476744715
cooling a room using a heater.,0.8190049605272623,0.18064207332352689,0.0003529661492107513
cooling a room using a taste.,8.342186112391886e-16,0.0006505059716291996,0.99934949402837
covering a window using sheets.,0.715674927579932,0.2804441917698192,0.0038808806502487977
covering a window using a hair.,1.146317574351941e-05,0.9981974587889727,0.0017910780352838193
covering a window using a chant.,1.9556975694824122e-07,0.17293083126496875,0.8270689731652743
crafting a bowl out of mud.,0.760448053492987,0.23937558043487212,0.00017636607214087472
crafting a bowl out of smoke.,0.0035204264702611543,0.8744233661868364,0.12205620734290247
crafting a bowl out of math.,2.2476011232396364e-05,0.21481066912277255,0.785166854865995
crushing a soda can using a chair.,0.654998742078133,0.344938968491052,6.228943081508865e-05
crushing a soda can using a tissue.,0.6117093820825106,0.3882322628028783,5.8355114611215456e-05
crushing a soda can using a day.,3.37144566614673e-10,0.013331689788896288,0.9866683098739591
cutting grass using a scythe.,0.9339671442433048,0.06603140124472255,1.4545119725111258e-06
cutting grass using a popsicle.,0.007427242547602968,0.9895064914617137,0.0030662659906834032
cutting grass using an essay.,4.11662707544522e-09,0.0015520849756854105,0.9984479109076877
cutting cardboard using a scalpel.,0.9044309082709057,0.09556038131107193,8.710418022420618e-06
cutting cardboard using fur.,5.522209895176832e-05,0.9221181154600433,0.07782666244100493
cutting cardboard using a snore.,1.0856622645112341e-08,0.015561719930778038,0.9844382692125992
denting a car with a dumbbell.,0.5825509897129183,0.41684815236093054,0.0006008579261510836
denting a car with a breeze.,0.00018807321016430526,0.24309839896533522,0.7567135278245006
denting a car with a nap.,2.8062202339211073e-07,0.30197703111870217,0.6980226882592744
digging a hole using a spatula.,0.9210994230973347,0.07885313887340471,4.743802926051132e-05
digging a hole using dirt.,0.6617097666337407,0.33459904713773353,0.0036911862285258262
digging a hole using a yawn.,0.0001500208102761938,0.5634402575504687,0.4364097216392552
dipping a biscuit into wine.,0.8116535510008742,0.18805459457108648,0.0002918544280393023
dipping a biscuit into a floor.,0.08380910580901525,0.8427319935513443,0.07345890063964036
dipping a biscuit into a myth.,2.6730496885630087e-12,0.001123625650472056,0.998876374346855
displaying books on a bed.,0.9407485492574873,0.05891701088701121,0.00033443985550151567
displaying books on a galaxy.,1.6041959623108394e-05,0.06860411917720666,0.9313798388631703
displaying books on a sigh.,2.1481085550743054e-05,0.030628822029470804,0.9693496968849786
docking a boat using an anvil.,0.5265416461746546,0.4665198994456263,0.006938454379719074
docking a boat using a balloon.,0.5207834892808099,0.47890379732139,0.0003127133978001644
docking a boat using a lesson.,1.4595980127355202e-15,6.86750995827069e-05,0.9999313249004159
drinking a cup full of honey.,0.6931546121825157,0.2996408701511454,0.007204517666338727
drinking a cup full of lightning.,0.0006325814967107379,0.384162056680584,0.6152053618227052
drinking a cup full of minutes.,1.91011390837924e-12,0.0003914753765464109,0.9996085246215436
drying their hands using a sweater.,0.7958022158718842,0.20374554239340578,0.00045224173471000777
drying their hands using a liquid.,0.3037251553717717,0.6292620144304948,0.06701283019773357
drying their hands using freedom.,7.060848882652931e-09,0.002457917346679177,0.9975420755924721
drying laundry using a fan.,0.7776187243592337,0.22237566991099286,5.6057297732007086e-06
drying laundry using juice.,0.3104921293091578,0.6845808102738297,0.004927060417012446
drying laundry using courage.,6.568052014388372e-07,0.00970670930342045,0.9902926338913781
eating soup using a bucket.,0.825626392686505,0.1742159414383812,0.0001576658751137971
eating soup using a sieve.,0.9121897987175628,0.08775418939945372,5.601188298353974e-05
eating soup using history.,9.847885195885148e-18,2.2997594056229e-05,0.9999770024059438
entering a room through a window.,0.8888630472288258,0.11070653619112747,0.00043041658004666167
entering a room through a wall.,0.6084809991215333,0.3853303807610865,0.006188620117380254
