sentence,class,probable_improbable,improbable_impossible,impossible_inconceivable,loss
baking a cake inside an oven.,probable,-728.0,-840.0,-2352.0,5.65625
baking a cake inside an airfryer.,improbable,241.0,-494.0,-2352.0,5.09375
baking a cake inside a freezer.,impossible,334.0,-151.0,-2352.0,6.15625
baking a cake inside a sigh.,inconceivable,628.0,776.0,-1080.0,8.0
boiling water using a kettle.,probable,-298.0,-552.0,-2416.0,6.75
boiling water using a microwave.,improbable,242.0,-206.0,-2496.0,6.75
boiling water using a refrigerator.,impossible,416.0,222.0,-2320.0,7.65625
boiling water using justice.,inconceivable,568.0,728.0,-596.0,12.0625
breaking a coconut using a rock.,probable,256.0,-193.0,-2592.0,6.59375
breaking a coconut using a table.,improbable,362.0,-85.5,-2400.0,7.21875
breaking a coconut using a pillow.,impossible,470.0,-167.0,-2592.0,7.5625
breaking a coconut using a texture.,inconceivable,648.0,764.0,-1024.0,8.875
building a house out of brick.,probable,-88.0,-358.0,-2024.0,5.25
building a house out of grass.,improbable,688.0,110.5,-2304.0,5.5625
building a house out of gas.,impossible,728.0,572.0,-1688.0,6.09375
building a house out of language.,inconceivable,628.0,492.0,-1080.0,6.1875
building a bridge out of steel.,probable,138.0,-178.0,-2256.0,5.53125
building a bridge out of plastic.,improbable,478.0,-40.75,-2320.0,5.5
building a bridge out of soup.,impossible,752.0,316.0,-2272.0,6.46875
building a bridge out of dance.,inconceivable,692.0,636.0,-1024.0,6.5625
calling a friend using a phone.,probable,-137.0,-119.0,-1776.0,6.4375
calling a friend using a laptop.,improbable,370.0,-40.75,-1872.0,7.03125
calling a friend using a sandwich.,impossible,768.0,880.0,-1416.0,8.625
calling a friend using mass.,inconceivable,396.0,812.0,-300.0,8.9375
carrying groceries inside a tote bag.,probable,-608.0,-916.0,-2160.0,7.0625
carrying groceries inside a backpack.,improbable,-426.0,-820.0,-2256.0,8.0
carrying groceries inside a tornado.,impossible,494.0,54.75,-2240.0,8.8125
carrying groceries inside a law.,inconceivable,338.0,588.0,-640.0,9.8125
carving a statue using a chisel.,probable,-458.0,-720.0,-2448.0,5.28125
