sentence,label,probable,improbable,impossible,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone baked a cake inside a freezer.,impossible,0.0,0.0555555555555555,0.8333333333333334,0.1111111111111111,10.10396957397461,-4.958939075469971,-7.054962158203125,-4.958939075469971,-7.054962158203125
Someone baked a cake inside an airfryer.,improbable,0.425,0.525,0.05,0.0,11.14020824432373,-4.289642333984375,-6.837057113647461,-4.289642333984375,-6.837057113647461
Someone baked a cake inside a sigh.,inconceivable,0.0,0.0,0.0,1.0,10.855049133300781,-2.6937203407287598,-5.143779754638672,-2.6937203407287598,-5.143779754638672
Someone baked a cake inside an oven.,probable,1.0,0.0,0.0,0.0,10.779966354370117,-5.080880641937256,-7.2824506759643555,-5.080880641937256,-7.2824506759643555
Someone chopped a carrot using a rag.,impossible,0.0,0.1282051282051282,0.8205128205128205,0.0512820512820512,6.266018390655518,-6.2809553146362305,-8.997425079345703,-6.2809553146362305,-8.997425079345703
Someone chopped a carrot using a sword.,improbable,0.1935483870967742,0.8064516129032258,0.0,0.0,8.555901527404785,-6.006014823913574,-8.802728652954102,-6.006014823913574,-8.802728652954102
Someone chopped a carrot using a color.,inconceivable,0.0,0.0,0.1395348837209302,0.8604651162790697,6.417322635650635,-5.829394340515137,-8.088987350463867,-5.829394340515137,-8.088987350463867
Someone chopped a carrot using a knife.,probable,1.0,0.0,0.0,0.0,6.277777671813965,-5.698368549346924,-8.581737518310547,-5.698368549346924,-8.581737518310547
Someone cleaned a spill using mustard.,impossible,0.0232558139534883,0.2093023255813953,0.6046511627906976,0.1627906976744186,9.378218650817871,-3.6448965072631836,-7.220283508300781,-3.6448965072631836,-7.220283508300781
Someone cleaned a spill using a scarf.,improbable,0.2777777777777778,0.6944444444444444,0.0277777777777777,0.0,6.782059192657471,-4.850489616394043,-7.9339165687561035,-4.850489616394043,-7.9339165687561035
Someone cleaned a spill using a country.,inconceivable,0.0,0.0,0.0714285714285714,0.9285714285714286,2.9922404289245605,-5.930042266845703,-6.129339218139648,-5.930042266845703,-6.129339218139648
Someone cleaned a spill using a sponge.,probable,0.9523809523809524,0.0476190476190476,0.0,0.0,6.574118614196777,-5.508665084838867,-7.965566635131836,-5.508665084838867,-7.965566635131836
Someone cleaned a carpet using a crayon.,impossible,0.0238095238095238,0.238095238095238,0.6190476190476191,0.119047619047619,8.709881782531738,-4.117526054382324,-7.1829962730407715,-4.117526054382324,-7.1829962730407715
Someone cleaned a carpet using a hat.,improbable,0.0,0.5121951219512195,0.3902439024390244,0.0975609756097561,8.374820709228516,-4.649015426635742,-7.614008903503418,-4.649015426635742,-7.614008903503418
Someone cleaned a carpet using a week.,inconceivable,0.0,0.0,0.0344827586206896,0.9655172413793104,5.699782371520996,-4.801490783691406,-6.532981872558594,-4.801490783691406,-6.532981872558594
Someone cleaned a carpet using a vacuum.,probable,1.0,0.0,0.0,0.0,6.355154037475586,-5.484768867492676,-7.74246072769165,-5.484768867492676,-7.74246072769165
Someone climbed a tree using oil.,impossible,0.0,0.18,0.54,0.28,10.320940017700195,-2.649397611618042,-6.342073440551758,-2.649397611618042,-6.342073440551758
Someone climbed a tree using a rope.,improbable,0.9333333333333332,0.0333333333333333,0.0,0.0333333333333333,7.255954265594482,-4.79699182510376,-7.928621292114258,-4.79699182510376,-7.928621292114258
Someone climbed a tree using a poem.,inconceivable,0.0,0.0,0.0256410256410256,0.9743589743589745,10.81519603729248,-3.5916905403137207,-7.0590009689331055,-3.5916905403137207,-7.0590009689331055
Someone climbed a tree using a ladder.,probable,0.9666666666666668,0.0333333333333333,0.0,0.0,7.795795440673828,-4.731725692749023,-8.24372386932373,-4.731725692749023,-8.24372386932373
Someone closed a jacket using fog.,impossible,0.0,0.0,0.3111111111111111,0.6888888888888889,8.904088973999023,-4.141017913818359,-6.3944549560546875,-4.141017913818359,-6.3944549560546875
Someone closed a jacket using glue.,improbable,0.0588235294117647,0.8235294117647058,0.0588235294117647,0.0588235294117647,9.588263511657715,-4.369109153747559,-6.577812194824219,-4.369109153747559,-6.577812194824219
Someone closed a jacket using a word.,inconceivable,0.0,0.0,0.1612903225806451,0.8387096774193549,9.011392593383789,-3.601158618927002,-5.758354187011719,-3.601158618927002,-5.758354187011719
Someone closed a jacket using a zipper.,probable,0.9743589743589745,0.0,0.0,0.0256410256410256,6.807178497314453,-5.002044200897217,-7.709195137023926,-5.002044200897217,-7.709195137023926
Someone constructed a tower out of sparks.,impossible,0.0,0.0256410256410256,0.4871794871794871,0.4871794871794871,9.459356307983398,-4.570484638214111,-6.459097385406494,-4.570484638214111,-6.459097385406494
Someone constructed a tower out of bubbles.,improbable,0.05,0.275,0.6,0.075,10.06867504119873,-4.760218143463135,-6.545348167419434,-4.760218143463135,-6.545348167419434
Someone constructed a tower out of seasons.,inconceivable,0.0,0.0294117647058823,0.1176470588235294,0.8529411764705882,13.453876495361328,-4.240794658660889,-4.833551406860352,-4.240794658660889,-4.833551406860352
Someone constructed a tower out of blocks.,probable,1.0,0.0,0.0,0.0,9.445335388183594,-5.267302513122559,-6.888794422149658,-5.267302513122559,-6.888794422149658
Someone cooked dinner out of the moon.,impossible,0.0,0.0,0.1891891891891892,0.8108108108108109,14.227669715881348,-2.6426947116851807,-6.175106525421143,-2.6426947116851807,-6.175106525421143
Someone cooked dinner out of insects.,improbable,0.2121212121212121,0.7878787878787878,0.0,0.0,13.045783996582031,-3.4185423851013184,-5.926060676574707,-3.4185423851013184,-5.926060676574707
Someone cooked dinner out of thoughts.,inconceivable,0.0,0.027027027027027,0.2432432432432432,0.7297297297297297,11.507589340209961,-0.15051579475402832,-2.199537754058838,-0.15051579475402832,-2.199537754058838
Someone cooked dinner out of pasta.,probable,0.7619047619047619,0.0,0.0714285714285714,0.1666666666666666,7.908842086791992,-3.4542436599731445,-6.289645671844482,-3.4542436599731445,-6.289645671844482
Someone cooled a room using a heater.,impossible,0.075,0.125,0.75,0.05,7.799859046936035,-4.217226982116699,-7.038397312164307,-4.217226982116699,-7.038397312164307
