sentence,label,probable,improbable,impossible,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone baked a cake inside a freezer.,impossible,0.0,0.0555555555555555,0.8333333333333334,0.1111111111111111,46.7840461730957,-22.45901870727539,-122.11141204833984,-22.45901870727539,-675.3414306640625
Someone baked a cake inside an airfryer.,improbable,0.425,0.525,0.05,0.0,69.98416900634766,-32.64466857910156,-126.15919494628906,-32.64466857910156,-660.755126953125
Someone baked a cake inside a sigh.,inconceivable,0.0,0.0,0.0,1.0,91.72206115722656,31.92549705505371,-62.131526947021484,31.92549705505371,-2.617786407470703
Someone baked a cake inside an oven.,probable,1.0,0.0,0.0,0.0,8.835029602050781,-28.84402847290039,-122.21611022949219,-28.84402847290039,-632.2102661132812
Someone chopped a carrot using a rag.,impossible,0.0,0.1282051282051282,0.8205128205128205,0.0512820512820512,23.548717498779297,-27.29842758178711,-128.7575225830078,-27.29842758178711,-878.2744140625
Someone chopped a carrot using a sword.,improbable,0.1935483870967742,0.8064516129032258,0.0,0.0,35.0284309387207,-37.318115234375,-115.98725891113281,-37.318115234375,-780.6002807617188
Someone chopped a carrot using a color.,inconceivable,0.0,0.0,0.1395348837209302,0.8604651162790697,-2.649526596069336,13.191844940185547,-93.95094299316406,13.191844940185547,-465.9668884277344
Someone chopped a carrot using a knife.,probable,1.0,0.0,0.0,0.0,-32.81178283691406,-57.088741302490234,-124.02909851074219,-57.088741302490234,-915.1368408203125
Someone cleaned a spill using mustard.,impossible,0.0232558139534883,0.2093023255813953,0.6046511627906976,0.1627906976744186,80.7490234375,13.187015533447266,-109.05545043945312,13.187015533447266,-602.02099609375
Someone cleaned a spill using a scarf.,improbable,0.2777777777777778,0.6944444444444444,0.0277777777777777,0.0,52.365928649902344,-27.42485809326172,-119.01335144042969,-27.42485809326172,-672.3880615234375
Someone cleaned a spill using a country.,inconceivable,0.0,0.0,0.0714285714285714,0.9285714285714286,80.28399658203125,83.74005889892578,-62.74616622924805,83.74005889892578,288.33599853515625
Someone cleaned a spill using a sponge.,probable,0.9523809523809524,0.0476190476190476,0.0,0.0,12.338808059692383,-41.275604248046875,-126.8251724243164,-41.275604248046875,-785.7095947265625
Someone cleaned a carpet using a crayon.,impossible,0.0238095238095238,0.238095238095238,0.6190476190476191,0.119047619047619,24.478042602539062,-39.365509033203125,-128.54824829101562,-39.365509033203125,-829.1917724609375
Someone cleaned a carpet using a hat.,improbable,0.0,0.5121951219512195,0.3902439024390244,0.0975609756097561,50.634761810302734,-23.409595489501953,-117.57876586914062,-23.409595489501953,-710.7885131835938
Someone cleaned a carpet using a week.,inconceivable,0.0,0.0,0.0344827586206896,0.9655172413793104,60.95024871826172,39.97882080078125,-76.14612579345703,39.97882080078125,42.82927703857422
Someone cleaned a carpet using a vacuum.,probable,1.0,0.0,0.0,0.0,-8.857563018798828,-36.536773681640625,-126.53608703613281,-36.536773681640625,-857.1716918945312
Someone climbed a tree using oil.,impossible,0.0,0.18,0.54,0.28,50.26205825805664,0.9636211395263672,-117.97576904296875,0.9636211395263672,-753.5643310546875
Someone climbed a tree using a rope.,improbable,0.9333333333333332,0.0333333333333333,0.0,0.0333333333333333,-11.3076171875,-61.687599182128906,-134.17208862304688,-61.687599182128906,-916.514404296875
Someone climbed a tree using a poem.,inconceivable,0.0,0.0,0.0256410256410256,0.9743589743589745,47.772403717041016,-10.05355453491211,-77.8172607421875,-10.05355453491211,-587.5684814453125
Someone climbed a tree using a ladder.,probable,0.9666666666666668,0.0333333333333333,0.0,0.0,1.3562564849853516,-58.8027458190918,-126.26686096191406,-58.8027458190918,-887.2565307617188
Someone closed a jacket using fog.,impossible,0.0,0.0,0.3111111111111111,0.6888888888888889,71.4557113647461,31.519989013671875,-107.40978240966797,31.519989013671875,-503.2584228515625
Someone closed a jacket using glue.,improbable,0.0588235294117647,0.8235294117647058,0.0588235294117647,0.0588235294117647,26.437332153320312,-42.08527755737305,-118.67945861816406,-42.08527755737305,-817.6510009765625
Someone closed a jacket using a word.,inconceivable,0.0,0.0,0.1612903225806451,0.8387096774193549,12.335834503173828,6.481386184692383,-48.95695114135742,6.481386184692383,-271.43194580078125
Someone closed a jacket using a zipper.,probable,0.9743589743589745,0.0,0.0,0.0256410256410256,2.372058868408203,-47.40967559814453,-126.32341003417969,-47.40967559814453,-794.7013549804688
Someone constructed a tower out of sparks.,impossible,0.0,0.0256410256410256,0.4871794871794871,0.4871794871794871,73.6174087524414,-5.467142105102539,-84.51727294921875,-5.467142105102539,-567.9676513671875
Someone constructed a tower out of bubbles.,improbable,0.05,0.275,0.6,0.075,68.22888946533203,-1.3506221771240234,-99.72381591796875,-1.3506221771240234,-520.0885009765625
Someone constructed a tower out of seasons.,inconceivable,0.0,0.0294117647058823,0.1176470588235294,0.8529411764705882,95.8372802734375,46.80327606201172,-56.015769958496094,46.80327606201172,66.24806213378906
Someone constructed a tower out of blocks.,probable,1.0,0.0,0.0,0.0,28.613365173339844,-16.429824829101562,-96.165771484375,-16.429824829101562,-580.2275390625
Someone cooked dinner out of the moon.,impossible,0.0,0.0,0.1891891891891892,0.8108108108108109,106.78173065185547,18.709548950195312,-91.82012939453125,18.709548950195312,-363.81488037109375
Someone cooked dinner out of insects.,improbable,0.2121212121212121,0.7878787878787878,0.0,0.0,80.22244262695312,-12.765647888183594,-97.87718200683594,-12.765647888183594,-552.1243896484375
Someone cooked dinner out of thoughts.,inconceivable,0.0,0.027027027027027,0.2432432432432432,0.7297297297297297,78.13468933105469,44.25185012817383,-19.3315372467041,44.25185012817383,179.39779663085938
Someone cooked dinner out of pasta.,probable,0.7619047619047619,0.0,0.0714285714285714,0.1666666666666666,44.5745849609375,-29.472389221191406,-101.71553802490234,-29.472389221191406,-715.16796875
Someone cooled a room using a heater.,impossible,0.075,0.125,0.75,0.05,-4.873313903808594,-32.03760528564453,-110.66072082519531,-32.03760528564453,-803.0760498046875
Someone cooled a room using shades.,improbable,0.8387096774193549,0.064516129032258,0.064516129032258,0.032258064516129,43.742103576660156,-23.263301849365234,-93.29812622070312,-23.263301849365234,-621.1687622070312
Someone cooled a room using a taste.,inconceivable,0.0,0.0,0.054054054054054,0.945945945945946,57.28649139404297,45.34602355957031,-57.814266204833984,45.34602355957031,-151.50277709960938
Someone cooled a room using a fan.,probable,0.975609756097561,0.0,0.024390243902439,0.0,0.5830745697021484,-38.64533615112305,-114.61477661132812,-38.64533615112305,-785.261474609375
Someone covered a window using a hair.,impossible,0.0,0.3714285714285714,0.4857142857142857,0.1428571428571428,76.3973388671875,34.472694396972656,-108.38811492919922,34.472694396972656,-240.82200622558594
Someone covered a window using sheets.,improbable,0.7777777777777778,0.2222222222222222,0.0,0.0,41.21985626220703,-30.159170150756836,-122.24809265136719,-30.159170150756836,-677.2398071289062
Someone covered a window using a chant.,inconceivable,0.0,0.0294117647058823,0.1764705882352941,0.7941176470588235,40.49085235595703,-11.411864280700684,-73.33113861083984,-11.411864280700684,-395.6603698730469
Someone covered a window using curtains.,probable,1.0,0.0,0.0,0.0,17.012800216674805,-41.0730094909668,-129.97093200683594,-41.0730094909668,-766.2930908203125
Someone crafted a bowl out of smoke.,impossible,0.0,0.0606060606060606,0.6666666666666666,0.2727272727272727,43.97138977050781,-7.889507293701172,-96.29560852050781,-7.889507293701172,-485.16900634765625
Someone crafted a bowl out of mud.,improbable,0.4358974358974359,0.4615384615384615,0.1025641025641025,0.0,60.80646896362305,-9.90477180480957,-108.15255737304688,-9.90477180480957,-573.418701171875
Someone crafted a bowl out of math.,inconceivable,0.0,0.0,0.1794871794871795,0.8205128205128205,87.43316650390625,23.36690902709961,-49.451271057128906,23.36690902709961,37.88585662841797
Someone crafted a bowl out of clay.,probable,0.9736842105263158,0.0,0.0263157894736842,0.0,3.0054569244384766,-23.922998428344727,-120.06685638427734,-23.922998428344727,-622.0923461914062
Someone boiled water using a refrigerator.,impossible,0.0,0.0,0.8936170212765957,0.1063829787234042,24.837663650512695,-14.095254898071289,-119.0014877319336,-14.095254898071289,-747.954345703125
Someone boiled water using a microwave.,improbable,0.9615384615384616,0.0384615384615384,0.0,0.0,21.833642959594727,-24.810958862304688,-121.30671691894531,-24.810958862304688,-844.979736328125
Someone boiled water using justice.,inconceivable,0.0,0.0,0.0697674418604651,0.9302325581395348,87.40516662597656,51.449745178222656,-36.51012420654297,51.449745178222656,395.5712890625
Someone boiled water using a kettle.,probable,1.0,0.0,0.0,0.0,4.760822296142578,-27.183086395263672,-126.92927551269531,-27.183086395263672,-783.636962890625
Someone crushed a soda can using a tissue.,impossible,0.0,0.2,0.7428571428571429,0.0571428571428571,39.08767318725586,-26.985713958740234,-122.41795349121094,-26.985713958740234,-792.63525390625
Someone crushed a soda can using a chair.,improbable,0.4634146341463415,0.5365853658536586,0.0,0.0,53.52995300292969,-37.86357879638672,-123.15853881835938,-37.86357879638672,-783.785888671875
Someone crushed a soda can using a day.,inconceivable,0.0,0.0,0.073170731707317,0.926829268292683,63.36125564575195,54.4095458984375,-75.26519012451172,54.4095458984375,332.564208984375
Someone crushed a soda can using a shoe.,probable,0.8125,0.15625,0.03125,0.0,62.218013763427734,-23.104034423828125,-121.29696655273438,-23.104034423828125,-692.824951171875
Someone cut grass using a popsicle.,impossible,0.0,0.15625,0.59375,0.25,32.32356643676758,-10.38927936553955,-129.58839416503906,-10.38927936553955,-886.18310546875
Someone cut grass using a scythe.,improbable,0.4736842105263157,0.4736842105263157,0.0,0.0526315789473684,29.793880462646484,-44.3950309753418,-128.41427612304688,-44.3950309753418,-876.165771484375
Someone cut grass using an essay.,inconceivable,0.0,0.0571428571428571,0.2857142857142857,0.6571428571428571,42.35724639892578,2.052438974380493,-79.92459106445312,2.052438974380493,-576.8333740234375
Someone cut grass using a lawnmower.,probable,0.9772727272727272,0.0227272727272727,0.0,0.0,-9.822038650512695,-53.29925537109375,-130.41769409179688,-53.29925537109375,-999.129150390625
Someone cut cardboard using fur.,impossible,0.0,0.1333333333333333,0.7333333333333333,0.1333333333333333,55.57217788696289,-0.869598388671875,-129.78274536132812,-0.869598388671875,-781.58203125
Someone cut cardboard using a scalpel.,improbable,0.4137931034482758,0.5517241379310345,0.0344827586206896,0.0,2.1945266723632812,-57.51483154296875,-134.90794372558594,-57.51483154296875,-892.4055786132812
Someone cut cardboard using a snore.,inconceivable,0.0,0.0,0.2045454545454545,0.7954545454545454,66.3881607055664,10.06330680847168,-98.92285919189453,10.06330680847168,-623.7613525390625
Someone cut cardboard using scissors.,probable,0.9565217391304348,0.0217391304347826,0.0217391304347826,0.0,-8.218729019165039,-60.10939025878906,-127.95963287353516,-60.10939025878906,-888.2111206054688
Someone dented a car with a breeze.,impossible,0.0,0.0769230769230769,0.6153846153846154,0.3076923076923077,48.04368209838867,6.251911163330078,-93.18577575683594,6.251911163330078,-646.8590087890625
Someone dented a car with a dumbbell.,improbable,0.7105263157894737,0.2631578947368421,0.0263157894736842,0.0,33.852928161621094,-44.26456069946289,-124.9036636352539,-44.26456069946289,-882.2769775390625
Someone dented a car with a nap.,inconceivable,0.0,0.0188679245283018,0.1320754716981132,0.8490566037735849,78.09687805175781,12.03976821899414,-96.16983032226562,12.03976821899414,-588.8883056640625
Someone dented a car with a baseball bat.,probable,0.96875,0.0,0.03125,0.0,35.27060317993164,-59.11154556274414,-127.345458984375,-59.11154556274414,-920.23046875
