sentence,label,probable,improbable,impossible,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone baked a cake inside a freezer.,impossible,0.0,0.0555555555555555,0.8333333333333334,0.1111111111111111,-258.86988752449906,-157.35502082254467,117.5480769956626,-157.35502082254467,-167.82235945385514
Someone baked a cake inside an airfryer.,improbable,0.425,0.525,0.05,0.0,-194.53769031838632,-104.83318945618504,81.3671164199651,-104.83318945618504,-129.94077813064132
Someone baked a cake inside a sigh.,inconceivable,0.0,0.0,0.0,1.0,-274.55162371046765,-148.83805016886708,149.70019469758773,-148.83805016886708,-179.06855628980622
Someone baked a cake inside an oven.,probable,1.0,0.0,0.0,0.0,-195.17849019619638,-81.3676486150737,106.19662788474463,-81.3676486150737,-139.97422148384038
Someone chopped a carrot using a rag.,impossible,0.0,0.1282051282051282,0.8205128205128205,0.0512820512820512,-363.2023665635495,-267.60535497852555,91.64634254908617,-267.60535497852555,-162.53714835621807
Someone chopped a carrot using a sword.,improbable,0.1935483870967742,0.8064516129032258,0.0,0.0,-278.7460445364338,-194.79857333833354,104.57002227755362,-194.79857333833354,-117.8234528238846
Someone chopped a carrot using a color.,inconceivable,0.0,0.0,0.1395348837209302,0.8604651162790697,-255.77609442950387,-152.01245901215475,92.16205448197307,-152.01245901215475,-129.7591886748354
Someone chopped a carrot using a knife.,probable,1.0,0.0,0.0,0.0,-323.5587941509345,-246.54853263151853,118.50225836206351,-246.54853263151853,-174.20647850700837
Someone cleaned a spill using mustard.,impossible,0.0232558139534883,0.2093023255813953,0.6046511627906976,0.1627906976744186,-398.13163987065593,-283.7586168686773,103.75609075996576,-283.7586168686773,-148.90400306039288
Someone cleaned a spill using a scarf.,improbable,0.2777777777777778,0.6944444444444444,0.0277777777777777,0.0,-459.55492894963254,-346.6250199298192,107.2293793269599,-346.6250199298192,-182.1466137267825
Someone cleaned a spill using a country.,inconceivable,0.0,0.0,0.0714285714285714,0.9285714285714286,-160.86820719705952,-68.7987004429462,109.19872795338298,-68.7987004429462,-79.31846850241746
Someone cleaned a spill using a sponge.,probable,0.9523809523809524,0.0476190476190476,0.0,0.0,-465.3809103001138,-348.98528855581094,111.03885554103334,-348.98528855581094,-202.64453401154015
Someone cleaned a carpet using a crayon.,impossible,0.0238095238095238,0.238095238095238,0.6190476190476191,0.119047619047619,-436.05694323954765,-317.7980067490191,113.8452585892571,-317.7980067490191,-184.1630859204243
