sentence,label,possible,impossible,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone is about to be born with 12 toes.,improbable,0.8918918918918919,0.1081081081081081,44.89233834187701,41.78610167328543,-22.902944336661303,41.78610167328543,-16.036909612418057
Someone is about to be born with 2 feet.,possible,1.0,0.0,23.30846084082691,3.6934357744652493,-17.369814416633474,3.6934357744652493,-16.63378701442877
Someone is about to be born with 2 wings.,impossible,0.0789473684210526,0.9210526315789472,26.279895932472748,1.7048986234155432,-15.420700180952073,1.7048986234155432,-12.633510270837629
Someone is about to buy a large rock.,possible,0.9487179487179488,0.0512820512820512,29.558759539536794,19.82194054941314,-12.399570117152598,19.82194054941314,-12.988042651419176
Someone is about to clean a car.,possible,1.0,0.0,9.334201595421384,6.326490722480664,-9.097307076816143,6.326490722480664,-5.663494089913053
Someone is about to clean a cloud.,impossible,0.05,0.95,37.75275334243359,11.071319490387328,-8.61587477051333,11.071319490387328,-6.100977398655186
Someone is about to clean a road.,improbable,0.9743589743589745,0.0256410256410256,15.353259938475967,5.742494204396474,-13.373449712832985,5.742494204396474,-9.860441636792427
Someone is about to count all of the hairs on a dog.,improbable,0.2972972972972973,0.7027027027027027,-8.051185870209085,11.672857013801247,-8.635174658456247,11.672857013801247,-7.317815211916641
Someone is about to count all of the sand in the world.,impossible,0.025,0.975,38.05909986600018,31.14042645743645,-13.19352274807011,31.14042645743645,-9.066873396777396
Someone is about to count all of the students in a room.,possible,1.0,0.0,8.482228438963771,46.47053662563104,-15.422520375796434,46.47053662563104,-16.82019975869111
Someone is about to cut the line to go into the store.,improbable,1.0,0.0,14.43205925513947,-3.8459966850401344,-6.410879962033606,-3.8459966850401344,-1.0086294575849655
Someone is about to eat a brownie for dessert.,possible,1.0,0.0,12.157456202471291,9.953464404306954,-9.980115798459796,9.953464404306954,-6.716294043670114
Someone is about to eat a large rock.,impossible,0.1944444444444444,0.8055555555555556,36.77823942915081,11.377135179132335,-9.08030344606852,11.377135179132335,-10.48456714992299
Someone is about to eat a lollipop.,possible,1.0,0.0,18.49024957964574,7.928843980586956,-12.176215567342219,7.928843980586956,-7.223856982856696
Someone is about to eat a pickle for dessert.,improbable,0.95,0.05,31.290594402479684,20.794575594407654,-9.810687421607549,20.794575594407654,-7.075565040767888
Someone is about to eat a planet.,impossible,0.025,0.975,43.398358334415676,27.17333522201279,-12.696764533009114,27.17333522201279,-18.577045083497342
Someone is about to eat a rainbow for dessert.,impossible,0.0,1.0,27.37218435363954,31.375911558003757,-13.806828860398989,31.375911558003757,-13.297470015183118
Someone is about to eat a whole sandwich for dinner.,possible,1.0,0.0,21.29776144172542,2.3276437992495795,-6.4580926794311395,2.3276437992495795,-4.6620602315805915
Someone is about to eat a whole turkey for dinner.,improbable,0.9,0.1,16.191292986161333,10.480313070113674,-14.676610441998951,10.480313070113674,-11.366463320603245
Someone is about to eat a whole whale for dinner.,impossible,0.0263157894736842,0.9736842105263158,42.2017697411218,29.70008951826224,-21.291514344091176,29.70008951826224,-16.904848808379995
Someone is about to eat an insect.,improbable,0.9743589743589745,0.0256410256410256,37.654946510453605,23.911698760388454,-14.693698404669245,23.911698760388454,-7.527893289582645
Someone is about to find a monkey in a closet.,improbable,0.7368421052631579,0.2631578947368421,21.551469293628344,37.474827254286566,-22.59748086200192,37.474827254286566,-15.1281798255168
Someone is about to find a sweater in a closet.,possible,1.0,0.0,18.35809536196895,40.97973385250794,-15.397891595825719,40.97973385250794,-11.053020174990497
Someone is about to find a unicorn in a closet.,impossible,0.075,0.925,22.186627968477758,31.049744529401295,-27.389510593114473,31.049744529401295,-19.331650679936196
Someone is about to have a cat as a pet.,possible,1.0,0.0,42.607553121503656,38.045482491253914,-8.3813587518572,38.045482491253914,-2.120936118073651
Someone is about to have a lion as a pet.,improbable,0.6666666666666666,0.3333333333333333,32.06514621257311,10.286994742056974,-17.32185784744965,10.286994742056974,-6.811391471829451
Someone is about to have the moon as a pet.,impossible,0.0256410256410256,0.9743589743589745,44.010497802013425,33.90495428099541,-22.88225044836976,33.90495428099541,-15.307489478749282
Someone is about to know the name of someone they just met.,possible,0.9705882352941176,0.0294117647058823,19.199796527331017,21.18488080314241,-12.676844790091863,21.18488080314241,-14.795232259207143
Someone is about to know the names of everyone in the world.,impossible,0.0256410256410256,0.9743589743589745,49.85596968312831,54.54062202357122,-18.353306251985114,54.54062202357122,-6.7328927059110155
Someone is about to know the names of everyone they ever met.,improbable,0.5526315789473685,0.4473684210526316,34.28129661085278,42.206139863141914,-22.4232723957576,42.206139863141914,-14.348933363086472
Someone is about to live for 1000 years.,impossible,0.0,1.0,23.344007567783816,4.260134211803851,-10.528362618992947,4.260134211803851,-6.3801411993808115
Someone is about to live for 110 years.,improbable,1.0,0.0,37.26097123612861,37.25590864128312,-5.636782106154758,37.25590864128312,-0.9177650582862968
Someone is about to live for 60 years.,possible,1.0,0.0,5.3648687456804085,-6.599966417199347,4.300136710967691,-6.599966417199347,4.921753514658053
Someone is about to magically appear into the store.,impossible,0.0526315789473684,0.9473684210526316,28.58269256513302,33.63898398229865,-6.314689843883536,33.63898398229865,-5.931053212564205
Someone is about to make a house out of bricks.,possible,0.975,0.025,23.173286182948544,28.052527665386588,-10.527696925109845,28.052527665386588,-11.57610194504607
Someone is about to make a house out of gas.,impossible,0.0,1.0,53.3689345989353,48.26784047171749,-6.86448380752478,48.26784047171749,-4.029298984459295
Someone is about to make a house out of grass.,improbable,0.5135135135135135,0.4864864864864865,50.09796108576416,34.708885308216495,-13.029972410856924,34.708885308216495,-9.178537470413572
Someone is about to make their friend cry.,improbable,1.0,0.0,13.683463894124124,20.296137146432095,-11.413503177493041,20.296137146432095,-11.978518732996818
Someone is about to make their friend shrink.,impossible,0.0789473684210526,0.9210526315789472,30.02994880722189,13.736625881850538,-12.493075570892717,13.736625881850538,-10.2604306097714
Someone is about to make their friend smile.,possible,1.0,0.0,11.413574600401532,23.257678992690327,-5.289871263544766,23.257678992690327,-2.87649272539995
Someone is about to move a marble with their breath.,improbable,0.8205128205128205,0.1794871794871795,26.669742436750155,24.807390929711293,-8.07041564371616,24.807390929711293,-10.963828643001609
Someone is about to move a marble with their hand.,possible,1.0,0.0,10.35199544107763,16.198246967417504,-6.735133989020932,16.198246967417504,-9.582932966016779
Someone is about to move a marble with their mind.,impossible,0.0512820512820512,0.9487179487179488,28.563450266131046,60.11157400610149,-8.406036432752401,60.11157400610149,-7.137788386930784
Someone is about to not eat for 1 hour.,possible,1.0,0.0,21.324790522986493,12.808055092750989,-5.562165209345967,12.808055092750989,-4.386912068457329
Someone is about to not eat for 10 days.,improbable,0.8108108108108109,0.1891891891891892,7.561455007300211,1.2527389868577554,-11.229946935880136,1.2527389868577554,-2.4691401172243155
Someone is about to not eat for 100 days.,impossible,0.054054054054054,0.945945945945946,11.785653112862057,-5.061708592102223,-14.036218810305161,-5.061708592102223,-6.114689331477908
Someone is about to open a window with their breath.,impossible,0.1351351351351351,0.8648648648648649,37.03084632320805,27.487347267771895,-10.45385904605173,27.487347267771895,-9.16406667415226
Someone is about to open a window with their feet.,improbable,0.8974358974358975,0.1025641025641025,24.093920372339113,22.54237958885393,-6.274888936803756,22.54237958885393,-5.961088081928144
Someone is about to open a window with their hand.,possible,1.0,0.0,27.807172852868533,26.850210298093554,-5.4512954026854334,26.850210298093554,-7.104022546368789
Someone is about to paint polka dots on a cloud.,impossible,0.025,0.975,28.620182684275107,24.698318685814513,-7.014668549285496,24.698318685814513,-4.560832100078535
Someone is about to paint polka dots on a plane.,improbable,0.925,0.075,18.403423581366592,2.291317836306799,-15.632818038180197,2.291317836306799,-7.492622890023153
Someone is about to paint polka dots on a wall.,possible,1.0,0.0,24.015209099032035,7.658534295713563,-14.241685419525597,7.658534295713563,-9.094562255021723
Someone is about to play with a toy.,possible,1.0,0.0,12.634815827840466,12.721665309970069,-12.159284873911025,12.721665309970069,-9.900872027295893
Someone is about to play with a wolf.,improbable,0.8,0.2,28.92419213164191,38.93028391756857,-10.847728577755444,38.93028391756857,0.8427435074988292
Someone is about to play with magic.,impossible,0.4358974358974359,0.5641025641025641,45.6493128188639,28.348991115803422,-2.2446215686567035,28.348991115803422,2.0507511376289327
Someone is about to ride a cow.,improbable,0.85,0.15,23.47777876044436,0.3279839813268417,-12.857952167155874,0.3279839813268417,-7.782379313955818
Someone is about to ride a horse.,possible,1.0,0.0,12.676313728588505,-4.654651450827565,-10.437952611945354,-4.654651450827565,-7.690458837067248
Someone is about to ride an ogre.,impossible,0.0769230769230769,0.9230769230769232,19.78209520684134,-3.302813801890575,-8.175018295695372,-3.302813801890575,-5.083080718035893
Someone is about to shake someone's hand with their hand.,possible,1.0,0.0,20.12627801587378,32.93139455727574,-9.0808784895615,32.93139455727574,-10.068048085161786
Someone is about to shake someone's hand with their mind.,impossible,0.0263157894736842,0.9736842105263158,37.15650272133647,71.04360000416736,-7.244365406804803,71.04360000416736,-5.950330709081426
Someone is about to shake someone's hand with their mouth.,improbable,0.5641025641025641,0.4358974358974359,22.576383213777238,14.632939485517703,-5.93597126650536,14.632939485517703,-6.102961383812846
Someone is about to stay awake for 5 days.,improbable,0.525,0.475,-6.066187842489594,-31.36368673217091,-6.663496066096757,-31.36368673217091,2.2670420103032054
Someone is about to stay awake for 5 hours.,possible,1.0,0.0,-11.51989391841781,-29.182882075618714,-4.02919333515755,-29.182882075618714,3.045893248896036
Someone is about to stay awake for 5 years.,impossible,0.0512820512820512,0.9487179487179488,-4.671832264337613,-28.646212059259323,-7.716021549126919,-28.646212059259323,-0.08191198115997
Someone is about to steal a large rock.,improbable,0.975,0.025,20.05511881976161,9.36244636314991,-16.75550714773367,9.36244636314991,-17.387612640910802
Someone is about to turn an onion into apple juice.,impossible,0.0,1.0,24.93678732171107,3.6253618800797565,-6.615315264198451,3.6253618800797565,-0.256504132320023
Someone is about to turn an onion into onion juice.,improbable,0.9230769230769232,0.0769230769230769,20.22094834608659,15.163409137329358,-6.2974584746779145,15.163409137329358,-2.0508892282459623
Someone is about to turn an onion into onion slices.,possible,0.9736842105263158,0.0263157894736842,9.398598759553064,8.764112056587562,-8.42754429693641,8.764112056587562,-6.7496823374027555
Someone is about to unlock a door with a doorkey.,possible,1.0,0.0,18.353490114123794,17.613004682270102,-14.16074541244467,17.613004682270102,-14.203060201590482
Someone is about to unlock a door with a toothpick.,improbable,0.6666666666666666,0.3333333333333333,21.539202831054084,2.497736796365735,-13.564624181614773,2.497736796365735,-12.839205400324989
Someone is about to unlock a door with their mind.,impossible,0.05,0.95,40.41123605344435,62.94538029427612,-15.172189793496184,62.94538029427612,-14.816636251148445
Someone is about to wait in line to go into the store.,possible,1.0,0.0,6.754539262486572,16.755156671594296,-10.130204159409516,16.755156671594296,-5.5175953666578454
Someone is about to walk through a brick wall.,impossible,0.1025641025641025,0.8974358974358975,38.777246356911704,16.03302114671247,-19.58927054248023,16.03302114671247,-14.742633513567649
