item_set_id,sentence,label,metadata
0,The halftime show at the football match was organised by the goalpost.,inconceivable,related
0,The halftime show at the football match was organised by the cheerleader.,probable,
0,The halftime show at the football match was organised by the rum.,inconceivable,unrelated
0,The halftime show at the football match was organised by the alcoholic.,improbable,unrelated
0,The halftime show at the football match was organised by the striker.,improbable,related
1,During the solo music performance the strings were plucked by the workman.,improbable,unrelated
1,During the solo music performance the strings were plucked by the sculpture.,inconceivable,unrelated
1,During the solo music performance the strings were plucked by the trumpeter.,improbable,related
1,During the solo music performance the strings were plucked by the harpist.,probable,
1,During the solo music performance the strings were plucked by the violin.,inconceivable,related
2,At the restaurant all the meals were cooked by the arrow.,inconceivable,unrelated
2,At the restaurant all the meals were cooked by the diner.,improbable,related
2,At the restaurant all the meals were cooked by the chef.,probable,
2,At the restaurant all the meals were cooked by the plate.,inconceivable,related
2,At the restaurant all the meals were cooked by the aboriginal.,improbable,unrelated
3,The scientific research was funded by the volunteer.,improbable,related
3,The scientific research was funded by the sponsor.,probable,
3,The scientific research was funded by the microscope.,inconceivable,related
3,The scientific research was funded by the traveller.,improbable,unrelated
3,The scientific research was funded by the suitcase.,inconceivable,unrelated
4,Tenants were upset when housing prices were raised by the proprietor.,probable,
4,Tenants were upset when housing prices were raised by the property.,inconceivable,related
4,Tenants were upset when housing prices were raised by the script.,inconceivable,unrelated
4,Tenants were upset when housing prices were raised by the occupant.,improbable,related
4,Tenants were upset when housing prices were raised by the actress.,improbable,unrelated
5,After crying and waking up his parents the baby was breast-fed by his mummy.,probable,
5,After crying and waking up his parents the baby was breast-fed by his brother.,improbable,related
5,After crying and waking up his parents the baby was breast-fed by his carry-cot.,inconceivable,related
5,After crying and waking up his parents the baby was breast-fed by his coach.,improbable,unrelated
5,After crying and waking up his parents the baby was breast-fed by his stadium.,inconceivable,unrelated
6,"At the baseball game, a ball was thrown by the suspect.",improbable,unrelated
6,"At the baseball game, a ball was thrown by the pitcher.",probable,
6,"At the baseball game, a ball was thrown by the scoreboard.",inconceivable,related
6,"At the baseball game, a ball was thrown by the catcher.",improbable,related
6,"At the baseball game, a ball was thrown by the passport.",inconceivable,unrelated
7,The cure for the disease was discovered by the doctor.,probable,
7,The cure for the disease was discovered by the patient.,improbable,related
7,The cure for the disease was discovered by the guest.,improbable,unrelated
7,The cure for the disease was discovered by the stamp.,inconceivable,unrelated
7,The cure for the disease was discovered by the medication.,inconceivable,related
8,At the theatre the programs were given by the ticket.,inconceivable,related
8,At the theatre the programs were given by the controller.,improbable,unrelated
8,At the theatre the programs were given by the usher.,probable,
8,At the theatre the programs were given by the audience.,improbable,related
8,At the theatre the programs were given by the turbine.,inconceivable,unrelated
9,At the wedding ceremony the ring was brought by the reverend.,improbable,related
9,At the wedding ceremony the ring was brought by the groom.,probable,
9,At the wedding ceremony the ring was brought by the veil.,inconceivable,related
9,At the wedding ceremony the ring was brought by the diabetic.,improbable,unrelated
9,At the wedding ceremony the ring was brought by the aspirin.,inconceivable,unrelated
10,At the club the cocktails are served by the tonic.,inconceivable,related
10,At the club the cocktails are served by the barmaid.,probable,
10,At the club the cocktails are served by the queen.,improbable,unrelated
10,At the club the cocktails are served by the dirt.,inconceivable,unrelated
10,At the club the cocktails are served by the drunkard.,improbable,related
11,The rules of the game show were explained by the tomb.,inconceivable,unrelated
11,The rules of the game show were explained by the undertaker.,improbable,unrelated
11,The rules of the game show were explained by the host.,probable,
11,The rules of the game show were explained by the contestant.,improbable,related
11,The rules of the game show were explained by the prize.,inconceivable,related
12,The next bus stop was announced by the bell.,inconceivable,related
12,The next bus stop was announced by the drunkard.,improbable,unrelated
12,The next bus stop was announced by the coachman.,probable,
12,The next bus stop was announced by the user.,improbable,related
12,The next bus stop was announced by the tonic.,inconceivable,unrelated
13,The child's dirty nappy was changed by his mum.,probable,
13,The child's dirty nappy was changed by his captive.,improbable,unrelated
13,The child's dirty nappy was changed by his toddler.,improbable,related
13,The child's dirty nappy was changed by his powder.,inconceivable,related
13,The child's dirty nappy was changed by his cannon.,inconceivable,unrelated
14,"At the ballet, the music was played by the orchestra.",probable,
14,"At the ballet, the music was played by the tutu.",inconceivable,related
14,"At the ballet, the music was played by the dancer.",improbable,related
14,"At the ballet, the music was played by the medicine.",inconceivable,unrelated
14,"At the ballet, the music was played by the hypochondriac.",improbable,unrelated
15,In ancient Egypt the people were governed by the pyramid.,inconceivable,related
15,In ancient Egypt the people were governed by the slave.,improbable,related
