,train_feature,fold,layer,condition,accuracy
0,improbable,0,0,probable,0.5714285714285714
1,improbable,0,0,improbable,0.5
2,improbable,0,0,impossible,0.5
3,improbable,0,0,inconceivable,0.2857142857142857
4,improbable,0,0,syntactic,0.6428571428571429
5,improbable,0,0,shuffled,0.5714285714285714
6,improbable,0,0,train,0.6875
7,improbable,0,1,probable,0.5
8,improbable,0,1,improbable,0.42857142857142855
9,improbable,0,1,impossible,0.6428571428571429
10,improbable,0,1,inconceivable,0.5
11,improbable,0,1,syntactic,0.5714285714285714
12,improbable,0,1,shuffled,0.5714285714285714
13,improbable,0,1,train,0.7232142857142857
14,improbable,0,2,probable,0.5
15,improbable,0,2,improbable,0.5714285714285714
16,improbable,0,2,impossible,0.35714285714285715
17,improbable,0,2,inconceivable,0.8571428571428571
18,improbable,0,2,syntactic,0.6428571428571429
19,improbable,0,2,shuffled,0.6428571428571429
20,improbable,0,2,train,0.6875
21,improbable,0,3,probable,0.42857142857142855
22,improbable,0,3,improbable,0.5714285714285714
23,improbable,0,3,impossible,0.5714285714285714
24,improbable,0,3,inconceivable,0.9285714285714286
25,improbable,0,3,syntactic,0.6428571428571429
26,improbable,0,3,shuffled,0.7857142857142857
27,improbable,0,3,train,0.7857142857142857
28,improbable,0,4,probable,0.6428571428571429
29,improbable,0,4,improbable,0.5714285714285714
30,improbable,0,4,impossible,0.8571428571428571
31,improbable,0,4,inconceivable,0.8571428571428571
32,improbable,0,4,syntactic,0.7857142857142857
33,improbable,0,4,shuffled,0.8571428571428571
34,improbable,0,4,train,0.7857142857142857
35,improbable,0,5,probable,0.6428571428571429
36,improbable,0,5,improbable,0.5
37,improbable,0,5,impossible,0.6428571428571429
38,improbable,0,5,inconceivable,0.8571428571428571
39,improbable,0,5,syntactic,1.0
40,improbable,0,5,shuffled,0.5
41,improbable,0,5,train,0.8125
42,improbable,0,6,probable,0.6428571428571429
43,improbable,0,6,improbable,0.5
44,improbable,0,6,impossible,0.5
45,improbable,0,6,inconceivable,1.0
46,improbable,0,6,syntactic,1.0
47,improbable,0,6,shuffled,0.6428571428571429
48,improbable,0,6,train,0.8392857142857143
49,improbable,0,7,probable,0.5
50,improbable,0,7,improbable,0.5714285714285714
51,improbable,0,7,impossible,0.7857142857142857
52,improbable,0,7,inconceivable,0.8571428571428571
53,improbable,0,7,syntactic,1.0
54,improbable,0,7,shuffled,0.8571428571428571
55,improbable,0,7,train,0.8303571428571429
56,improbable,0,8,probable,0.7857142857142857
57,improbable,0,8,improbable,0.7142857142857143
58,improbable,0,8,impossible,0.8571428571428571
59,improbable,0,8,inconceivable,0.8571428571428571
60,improbable,0,8,syntactic,1.0
61,improbable,0,8,shuffled,0.7857142857142857
62,improbable,0,8,train,0.7321428571428571
63,improbable,0,9,probable,0.6428571428571429
64,improbable,0,9,improbable,0.35714285714285715
65,improbable,0,9,impossible,0.6428571428571429
66,improbable,0,9,inconceivable,0.8571428571428571
67,improbable,0,9,syntactic,0.9285714285714286
68,improbable,0,9,shuffled,0.7142857142857143
69,improbable,0,9,train,0.75
70,improbable,0,10,probable,0.5
71,improbable,0,10,improbable,0.5
72,improbable,0,10,impossible,0.7857142857142857
73,improbable,0,10,inconceivable,0.7857142857142857
74,improbable,0,10,syntactic,0.8571428571428571
75,improbable,0,10,shuffled,0.9285714285714286
76,improbable,0,10,train,0.8125
77,improbable,0,11,probable,0.5714285714285714
78,improbable,0,11,improbable,0.6428571428571429
79,improbable,0,11,impossible,0.8571428571428571
80,improbable,0,11,inconceivable,0.8571428571428571
81,improbable,0,11,syntactic,0.7857142857142857
82,improbable,0,11,shuffled,0.7857142857142857
83,improbable,0,11,train,0.6964285714285714
84,impossible,0,0,probable,0.5714285714285714
85,impossible,0,0,improbable,0.8571428571428571
86,impossible,0,0,impossible,0.35714285714285715
87,impossible,0,0,inconceivable,0.6428571428571429
88,impossible,0,0,syntactic,0.6428571428571429
89,impossible,0,0,shuffled,0.8571428571428571
90,impossible,0,0,train,0.75
91,impossible,0,1,probable,0.6428571428571429
92,impossible,0,1,improbable,0.5714285714285714
93,impossible,0,1,impossible,0.21428571428571427
94,impossible,0,1,inconceivable,0.7857142857142857
95,impossible,0,1,syntactic,0.5
96,impossible,0,1,shuffled,0.5
97,impossible,0,1,train,0.8214285714285714
98,impossible,0,2,probable,0.5
99,impossible,0,2,improbable,0.5714285714285714
100,impossible,0,2,impossible,0.7142857142857143
101,impossible,0,2,inconceivable,0.7142857142857143
102,impossible,0,2,syntactic,0.9285714285714286
103,impossible,0,2,shuffled,0.5714285714285714
104,impossible,0,2,train,0.8035714285714286
105,impossible,0,3,probable,0.5
106,impossible,0,3,improbable,0.5
107,impossible,0,3,impossible,0.6428571428571429
108,impossible,0,3,inconceivable,0.9285714285714286
109,impossible,0,3,syntactic,0.9285714285714286
110,impossible,0,3,shuffled,0.7857142857142857
111,impossible,0,3,train,0.8571428571428571
112,impossible,0,4,probable,0.42857142857142855
113,impossible,0,4,improbable,0.7142857142857143
114,impossible,0,4,impossible,0.7857142857142857
115,impossible,0,4,inconceivable,0.8571428571428571
116,impossible,0,4,syntactic,0.9285714285714286
117,impossible,0,4,shuffled,0.7142857142857143
118,impossible,0,4,train,0.8571428571428571
119,impossible,0,5,probable,0.6428571428571429
120,impossible,0,5,improbable,0.14285714285714285
121,impossible,0,5,impossible,0.5714285714285714
122,impossible,0,5,inconceivable,0.9285714285714286
123,impossible,0,5,syntactic,1.0
124,impossible,0,5,shuffled,0.42857142857142855
125,impossible,0,5,train,0.7767857142857143
126,impossible,0,6,probable,0.5714285714285714
127,impossible,0,6,improbable,0.2857142857142857
128,impossible,0,6,impossible,0.5
129,impossible,0,6,inconceivable,0.9285714285714286
130,impossible,0,6,syntactic,1.0
131,impossible,0,6,shuffled,0.7857142857142857
132,impossible,0,6,train,0.8035714285714286
133,impossible,0,7,probable,0.7857142857142857
134,impossible,0,7,improbable,0.42857142857142855
135,impossible,0,7,impossible,0.42857142857142855
136,impossible,0,7,inconceivable,0.9285714285714286
137,impossible,0,7,syntactic,1.0
138,impossible,0,7,shuffled,0.6428571428571429
139,impossible,0,7,train,0.8392857142857143
140,impossible,0,8,probable,0.8571428571428571
141,impossible,0,8,improbable,0.42857142857142855
142,impossible,0,8,impossible,0.6428571428571429
143,impossible,0,8,inconceivable,1.0
144,impossible,0,8,syntactic,1.0
145,impossible,0,8,shuffled,0.8571428571428571
146,impossible,0,8,train,0.7857142857142857
147,impossible,0,9,probable,0.8571428571428571
148,impossible,0,9,improbable,0.42857142857142855
149,impossible,0,9,impossible,0.6428571428571429
150,impossible,0,9,inconceivable,0.9285714285714286
151,impossible,0,9,syntactic,1.0
152,impossible,0,9,shuffled,0.7142857142857143
153,impossible,0,9,train,0.7589285714285714
154,impossible,0,10,probable,0.5714285714285714
155,impossible,0,10,improbable,0.35714285714285715
156,impossible,0,10,impossible,0.7142857142857143
