sentence,label,probable,improbable,impossible,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone baked a cake inside a freezer.,impossible,0.0,0.0555555555555555,0.8333333333333334,0.1111111111111111,-113.07470209023721,23.36661508436455,-106.05723495150298,23.36661508436455,-190.85160528653427
Someone baked a cake inside an airfryer.,improbable,0.425,0.525,0.05,0.0,-99.90945755647121,17.999821704509923,-102.55418933139217,17.999821704509923,-187.81617754647814
Someone baked a cake inside a sigh.,inconceivable,0.0,0.0,0.0,1.0,-111.96230146805601,18.664980392733334,-97.66507691016065,18.664980392733334,-171.8759545898936
Someone baked a cake inside an oven.,probable,1.0,0.0,0.0,0.0,-105.44016417759725,20.73907396214576,-106.98530876942408,20.73907396214576,-189.6184412693809
Someone chopped a carrot using a rag.,impossible,0.0,0.1282051282051282,0.8205128205128205,0.0512820512820512,-103.98156893707721,20.694030923197857,-92.8526523654924,20.694030923197857,-174.2958255417148
Someone chopped a carrot using a sword.,improbable,0.1935483870967742,0.8064516129032258,0.0,0.0,-99.4989771714044,20.05319266951132,-98.70317070279981,20.05319266951132,-181.20333810287605
Someone chopped a carrot using a color.,inconceivable,0.0,0.0,0.1395348837209302,0.8604651162790697,-101.93414801042248,19.372942944629585,-84.41435107677286,19.372942944629585,-171.01730653038132
Someone chopped a carrot using a knife.,probable,1.0,0.0,0.0,0.0,-101.9142139691434,21.931048015574127,-97.63312127775696,21.931048015574127,-178.53029551563768
Someone cleaned a spill using mustard.,impossible,0.0232558139534883,0.2093023255813953,0.6046511627906976,0.1627906976744186,-119.28310771720069,26.539616571544112,-111.72059494477148,26.539616571544112,-168.03938104131717
Someone cleaned a spill using a scarf.,improbable,0.2777777777777778,0.6944444444444444,0.0277777777777777,0.0,-113.44858532764854,26.245165691359006,-104.78477226093491,26.245165691359006,-171.246066328266
Someone cleaned a spill using a country.,inconceivable,0.0,0.0,0.0714285714285714,0.9285714285714286,-103.94906859523233,31.335756842736394,-91.5099326769151,31.335756842736394,-138.49934396851867
Someone cleaned a spill using a sponge.,probable,0.9523809523809524,0.0476190476190476,0.0,0.0,-115.75219255323759,24.607823509936804,-102.46997126492398,24.607823509936804,-173.99017176915007
Someone cleaned a carpet using a crayon.,impossible,0.0238095238095238,0.238095238095238,0.6190476190476191,0.119047619047619,-103.2314872038708,20.712525530433407,-100.8650414796527,20.712525530433407,-180.08373982580514
Someone cleaned a carpet using a hat.,improbable,0.0,0.5121951219512195,0.3902439024390244,0.0975609756097561,-101.87635999816652,25.837977035822433,-107.33361307358074,25.837977035822433,-179.63930005921387
Someone cleaned a carpet using a week.,inconceivable,0.0,0.0,0.0344827586206896,0.9655172413793104,-90.75198518658088,25.3062507579762,-94.00073731855966,25.3062507579762,-171.7113416873242
Someone cleaned a carpet using a vacuum.,probable,1.0,0.0,0.0,0.0,-102.34464331801419,22.929096907355472,-101.76733926278423,22.929096907355472,-184.4776669151811
