sentence,label,probable,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
A boy being entertained by a podcast.,probable,1.0,0.0,-12.194089889526367,107.36164093017578,-41.38997268676758,107.36164093017578,-88.53031921386719
A crumb applying for a job.,near,0.3333333333333333,0.6666666666666666,-22.355361938476562,120.66779327392578,-36.523841857910156,120.66779327392578,-68.36925506591797
A crumb being greater than 10.,far,0.1333333333333333,0.8666666666666667,1.231339931488037,77.60547637939453,-47.513084411621094,77.60547637939453,-42.76898956298828
A door being a multiple of 5.,far,0.0,1.0,2.293694496154785,76.60731506347656,-58.01004409790039,76.60731506347656,-45.979820251464844
A door feeling regretful.,near,0.2857142857142857,0.7142857142857143,-19.596599578857422,123.0350570678711,-7.298174858093262,123.0350570678711,-10.117671966552734
A girl writing a play.,probable,1.0,0.0,-23.313095092773438,116.46551513671875,-32.37632751464844,116.46551513671875,-68.40199279785156
A kilogram being a prime number.,near,0.4444444444444444,0.5555555555555556,-8.938431739807129,172.23927307128906,-44.97657775878906,172.23927307128906,-57.09800720214844
A kilogram writing a play.,far,0.0,1.0,-15.191883087158203,146.91555786132812,-37.11940002441406,146.91555786132812,-61.7592887878418
A liter being a multiple of 5.,near,0.75,0.25,1.2853994369506836,90.03275299072266,-63.68893051147461,90.03275299072266,-54.511016845703125
A liter feeling regretful.,far,0.1428571428571428,0.8571428571428571,-11.459980964660645,132.37925720214844,-0.40049099922180176,132.37925720214844,-4.528231620788574
A man being a multiple of 5.,far,0.2222222222222222,0.7777777777777778,6.919818878173828,52.6890869140625,-54.726409912109375,52.6890869140625,-39.718284606933594
A man feeling regretful.,probable,1.0,0.0,-22.484130859375,115.6872787475586,-8.747450828552246,115.6872787475586,-15.556868553161621
A mile being surprised by a news article.,far,0.0,1.0,-18.981510162353516,112.65370178222656,-15.406962394714355,112.65370178222656,-50.176414489746094
A pill being amused by a tv show.,near,0.2,0.8,-3.8630828857421875,99.20272827148438,-53.56961441040039,99.20272827148438,-94.36322784423828
A rock being a prime number.,far,0.0833333333333333,0.9166666666666666,-3.1660218238830566,178.4699249267578,-34.533660888671875,178.4699249267578,-47.46333312988281
A rock writing a play.,near,0.2727272727272727,0.7272727272727273,-20.79298973083496,133.4298553466797,-28.534446716308594,133.4298553466797,-61.811180114746094
A shirt being surprised by a news article.,near,0.2,0.8,-14.680739402770996,90.92093658447266,-22.962642669677734,90.92093658447266,-78.75422668457031
A teenager being surprised by a news article.,probable,1.0,0.0,-16.835725784301758,88.65409851074219,-22.439983367919922,88.65409851074219,-68.21466827392578
A toddler being amused by a tv show.,probable,1.0,0.0,-7.2881059646606445,87.62188720703125,-58.22576141357422,87.62188720703125,-101.15199279785156
A wall being entertained by a podcast.,near,0.25,0.75,-13.962541580200195,118.03914642333984,-39.11046600341797,118.03914642333984,-99.1280288696289
A week being entertained by a podcast.,far,0.5454545454545454,0.4545454545454545,-12.012836456298828,144.83140563964844,-28.869476318359375,144.83140563964844,-59.51324462890625
A woman applying for a job.,probable,1.0,0.0,-33.48732376098633,100.88008880615234,-41.26023483276367,100.88008880615234,-84.61204528808594
A woman being greater than 10.,far,0.4666666666666667,0.5333333333333333,0.5057578086853027,54.496673583984375,-46.10490417480469,54.496673583984375,-40.581764221191406
Adding a boy to 79.,far,0.0,1.0,11.975926399230957,81.3626480102539,-43.785316467285156,81.3626480102539,-33.37421417236328
Adding a wall to 79.,far,0.0,1.0,10.32679271697998,74.08545684814453,-49.865943908691406,74.08545684814453,-46.0135383605957
Adding a week to 79.,near,0.4166666666666667,0.5833333333333334,13.220171928405762,91.35640716552734,-36.545494079589844,91.35640716552734,-12.382448196411133
An inch applying for a job.,far,0.0714285714285714,0.9285714285714286,-23.474931716918945,120.46031188964844,-35.8289794921875,120.46031188964844,-69.29838562011719
Dividing 12 by a mile.,near,0.125,0.875,-21.585676193237305,123.93760681152344,-72.71237182617188,123.93760681152344,-95.34866333007812
Dividing 12 by a shirt.,far,0.0769230769230769,0.9230769230769232,-4.9540300369262695,112.37789916992188,-89.39030456542969,112.37789916992188,-146.40769958496094
Dividing 12 by a teenager.,far,0.0,1.0,-13.950664520263672,114.36871337890625,-62.46930694580078,114.36871337890625,-94.85106658935547
Dividing 12 by the number 4.,probable,0.8,0.2,2.2751998901367188,119.29866027832031,-51.153751373291016,119.29866027832031,-56.148170471191406
Taking the square root of a month.,near,0.2222222222222222,0.7777777777777778,-12.323284149169922,162.17193603515625,-25.729324340820312,162.17193603515625,-19.1938533782959
