,stimuli,condition,elo
0,cleaning a spill using_impossible,impossible,1399.150851007701
1,making a sandwich using_impossible,impossible,1426.1376296037029
2,entering a room through_inconceivable,inconceivable,1398.1092232965852
3,entering a room through_impossible,impossible,1341.0360551561957
4,cutting grass using_improbable,improbable,1343.0696328689141
5,shaving [POSS] beard using_improbable,improbable,1427.800077202385
6,hiding a gift inside_inconceivable,inconceivable,1414.6850183072163
7,wrapping a present using_inconceivable,inconceivable,1470.5442710381162
8,painting a wall using_inconceivable,inconceivable,1453.0437346832227
9,wearing shoes made of_improbable,improbable,1416.9994490191423
10,making a sandwich using_inconceivable,inconceivable,1345.0646035823677
11,lifting a box using_improbable,improbable,1383.9192315229645
12,popping a balloon using_impossible,impossible,1354.2214303900544
13,drying laundry using_improbable,improbable,1402.7128876934898
14,displaying books on_improbable,improbable,1353.7533231223442
15,entering a room through_improbable,improbable,1428.145008566358
16,denting a car with_improbable,improbable,1459.2163805887405
17,writing a letter using_inconceivable,inconceivable,1429.5945629615046
18,cutting cardboard using_inconceivable,inconceivable,1344.884392652483
19,cutting grass using_inconceivable,inconceivable,1399.413165168174
20,drying [POSS] hands using_improbable,improbable,1388.9486113598687
21,filling a bucket with_inconceivable,inconceivable,1417.7007014731407
22,lifting a box using_inconceivable,inconceivable,1373.9767451220143
23,rinsing fruit using_impossible,impossible,1412.9691200189661
24,making a smoothie using_impossible,impossible,1390.0068874855742
25,hiding a gift inside_impossible,impossible,1426.3215478275856
26,splitting a log using_impossible,impossible,1430.7247122479166
27,popping a balloon using_improbable,improbable,1356.1247501377206
28,cooking dinner out of_inconceivable,inconceivable,1427.8549222248291
29,eating soup using_impossible,impossible,1437.729095089085
30,cutting cardboard using_impossible,impossible,1358.8145239069368
31,splitting a log using_inconceivable,inconceivable,1372.0081747922316
32,chilling a drink using_improbable,improbable,1348.6747050981223
33,carving a statue using_inconceivable,inconceivable,1355.1733156398184
34,calling a friend using_impossible,impossible,1338.9599865184143
35,wrapping a present using_impossible,impossible,1414.2757939759063
36,building a bridge out of_improbable,improbable,1432.1592577686586
37,building a house out of_inconceivable,inconceivable,1373.015334215557
38,sewing a shirt using_improbable,improbable,1414.312424392184
39,drying [POSS] hands using_inconceivable,inconceivable,1438.6028234235773
40,packing a suit inside_improbable,improbable,1374.1851397174446
41,storing dishes inside_inconceivable,inconceivable,1413.830350057662
42,growing flowers inside_inconceivable,inconceivable,1343.4285025959655
43,breaking a coconut using_improbable,improbable,1385.6105344444952
44,breaking a coconut using_inconceivable,inconceivable,1418.607555208399
45,washing [POSS] hair using_inconceivable,inconceivable,1464.717634072468
46,opening a jar using_impossible,impossible,1416.7845521118331
47,sewing a shirt using_inconceivable,inconceivable,1416.0971304997336
48,building a bridge out of_impossible,impossible,1398.5992634106765
49,opening a jar using_improbable,improbable,1438.4189160035771
50,cooking dinner out of_impossible,impossible,1437.1159753087798
51,writing a letter using_impossible,impossible,1374.6864615136694
52,shaving [POSS] beard using_impossible,impossible,1367.729209077247
53,crafting a bowl out of_impossible,impossible,1386.0953103913423
54,carrying groceries inside_inconceivable,inconceivable,1390.3272081092011
55,catching a fish in_inconceivable,inconceivable,1399.574884625294
56,unlocking a door using_inconceivable,inconceivable,1325.5180349656057
57,docking a boat using_inconceivable,inconceivable,1382.8120314572725
58,wearing shoes made of_inconceivable,inconceivable,1412.8270606607343
59,shattering a window using_inconceivable,inconceivable,1424.6259764250935
60,docking a boat using_impossible,impossible,1428.9355006408593
61,cooking dinner out of_improbable,improbable,1415.3145117808108
62,growing flowers inside_improbable,improbable,1397.236843299506
63,carving a statue using_improbable,improbable,1384.183896343949
64,plucking a hair using_improbable,improbable,1371.429672973235
65,dipping a biscuit into_inconceivable,inconceivable,1376.586358188208
66,drying laundry using_impossible,impossible,1320.0770137790737
67,cleaning a spill using_inconceivable,inconceivable,1340.9800186823722
68,plucking a hair using_inconceivable,inconceivable,1426.6531729012224
69,paving a road using_improbable,improbable,1400.6912498953159
70,baking a cake inside_improbable,improbable,1359.6570112327565
71,cooling a room using_inconceivable,inconceivable,1372.109954271825
72,painting a wall using_impossible,impossible,1373.9668528442264
73,taking a vacation to_improbable,improbable,1399.0237724227109
74,building a bridge out of_inconceivable,inconceivable,1414.8671980872584
75,removing a stain using_improbable,improbable,1357.5563860975976
76,painting a wall using_improbable,improbable,1424.1514649148303
77,baking a cake inside_impossible,impossible,1397.0722042916518
78,tightening a bolt using_inconceivable,inconceivable,1400.7149074464394
79,melting a chocolate bar using_improbable,improbable,1401.1356500311638
80,writing an equation on_impossible,impossible,1384.149809811311
81,hanging a painting using_inconceivable,inconceivable,1429.3667313964072
82,cooling a room using_impossible,impossible,1386.3749644289364
83,crafting a bowl out of_improbable,improbable,1441.0897663977294
84,taking a vacation to_inconceivable,inconceivable,1429.475101384212
85,chopping a carrot using_improbable,improbable,1386.7575000749919
86,smashing a pumpkin using_inconceivable,inconceivable,1396.9808312112402
87,crafting a bowl out of_inconceivable,inconceivable,1416.1662419459408
88,squishing a blueberry using_inconceivable,inconceivable,1422.2554265471065
89,lighting a candle using_impossible,impossible,1359.9168360061083
90,growing flowers inside_impossible,impossible,1415.0585062731398
91,covering a window using_improbable,improbable,1339.3924083543086
92,cutting grass using_impossible,impossible,1399.586947135406
93,splitting a log using_improbable,improbable,1474.9732296605891
94,filling a bucket with_impossible,impossible,1355.6022379004216
95,digging a hole using_impossible,impossible,1387.592672435657
96,making a sandwich using_improbable,improbable,1413.3212480896932
97,squishing a blueberry using_impossible,impossible,1431.9019039304223
98,popping a balloon using_inconceivable,inconceivable,1426.471206972148
99,climbing a tree using_improbable,improbable,1473.5692237761425
100,closing a jacket using_inconceivable,inconceivable,1381.837253809304
