layer,pc,split,accuracy
1,0,0,0.5
1,0,1,0.5
1,0,2,0.5
1,0,3,0.5
1,0,4,0.5714285714285714
1,1,0,0.5
1,1,1,0.5714285714285714
1,1,2,0.35714285714285715
1,1,3,0.5714285714285714
1,1,4,0.6428571428571429
1,2,0,0.7142857142857143
1,2,1,0.5
1,2,2,0.35714285714285715
1,2,3,0.5
1,2,4,0.5714285714285714
2,0,0,0.8571428571428572
2,0,1,0.7142857142857143
2,0,2,0.5
2,0,3,0.5714285714285714
2,0,4,0.6428571428571428
2,1,0,0.7142857142857143
2,1,1,0.6428571428571429
2,1,2,0.42857142857142855
2,1,3,0.35714285714285715
2,1,4,0.35714285714285715
2,2,0,0.4285714285714286
2,2,1,0.4285714285714286
2,2,2,0.7857142857142857
2,2,3,0.8571428571428572
2,2,4,0.5
3,0,0,0.3571428571428571
3,0,1,0.6428571428571428
3,0,2,0.5
3,0,3,0.6428571428571428
3,0,4,0.5714285714285714
3,1,0,0.7857142857142857
3,1,1,0.6428571428571429
3,1,2,0.7142857142857143
3,1,3,0.5
3,1,4,0.35714285714285715
3,2,0,0.7142857142857143
3,2,1,0.7142857142857143
3,2,2,0.5
3,2,3,0.6428571428571429
3,2,4,0.6428571428571429
4,0,0,0.6428571428571428
4,0,1,0.5714285714285714
4,0,2,0.7857142857142857
4,0,3,0.7857142857142857
4,0,4,0.7142857142857143
4,1,0,0.6428571428571429
4,1,1,0.5714285714285714
4,1,2,0.7142857142857143
4,1,3,0.5714285714285714
4,1,4,0.42857142857142855
4,2,0,0.7142857142857143
4,2,1,0.7142857142857143
4,2,2,0.7142857142857143
4,2,3,0.6428571428571429
4,2,4,0.7857142857142857
5,0,0,0.5714285714285714
5,0,1,0.3571428571428571
5,0,2,0.5714285714285714
5,0,3,0.6428571428571428
5,0,4,0.6428571428571428
5,1,0,0.7857142857142857
5,1,1,0.7857142857142857
5,1,2,0.6428571428571429
5,1,3,0.7142857142857143
5,1,4,0.7142857142857143
5,2,0,0.7857142857142857
5,2,1,0.8571428571428571
5,2,2,0.5714285714285714
5,2,3,0.7857142857142857
5,2,4,0.8571428571428571
6,0,0,0.5714285714285714
6,0,1,0.6428571428571428
6,0,2,0.8571428571428572
6,0,3,0.6428571428571428
6,0,4,0.8571428571428572
6,1,0,0.7857142857142857
6,1,1,0.7857142857142857
6,1,2,0.7142857142857143
6,1,3,0.6428571428571429
6,1,4,0.6428571428571429
6,2,0,0.7142857142857143
6,2,1,0.8571428571428571
6,2,2,0.7142857142857143
6,2,3,0.7857142857142857
6,2,4,0.8571428571428571
7,0,0,0.6428571428571428
7,0,1,0.6428571428571428
7,0,2,0.7142857142857143
7,0,3,0.7857142857142857
7,0,4,0.6428571428571428
7,1,0,0.8571428571428571
7,1,1,0.8571428571428571
7,1,2,0.7857142857142857
7,1,3,0.7142857142857143
7,1,4,0.7857142857142857
7,2,0,0.8571428571428571
7,2,1,0.7857142857142857
7,2,2,0.7857142857142857
7,2,3,0.7857142857142857
7,2,4,1.0
8,0,0,0.5
8,0,1,0.5
8,0,2,0.5714285714285714
8,0,3,0.5714285714285714
8,0,4,0.4285714285714286
8,1,0,1.0
8,1,1,0.9285714285714286
8,1,2,0.9285714285714286
8,1,3,0.7857142857142857
8,1,4,0.9285714285714286
8,2,0,0.7142857142857143
8,2,1,0.5714285714285714
8,2,2,0.7142857142857143
8,2,3,0.6428571428571429
8,2,4,0.7142857142857143
9,0,0,0.7142857142857143
9,0,1,0.9285714285714286
9,0,2,0.5714285714285714
9,0,3,0.5714285714285714
9,0,4,0.6428571428571429
9,1,0,0.7857142857142857
9,1,1,0.7142857142857143
9,1,2,0.6428571428571429
9,1,3,0.5714285714285714
9,1,4,0.42857142857142855
9,2,0,0.6428571428571429
9,2,1,0.5
9,2,2,0.6428571428571429
9,2,3,0.5
9,2,4,0.42857142857142855
10,0,0,0.7142857142857143
10,0,1,0.7857142857142857
10,0,2,0.7142857142857143
10,0,3,0.6428571428571429
10,0,4,0.7857142857142857
10,1,0,0.7857142857142857
10,1,1,0.9285714285714286
10,1,2,0.8571428571428571
10,1,3,0.7142857142857143
10,1,4,0.8571428571428571
10,2,0,0.5714285714285714
10,2,1,0.6428571428571428
10,2,2,0.4285714285714286
10,2,3,0.5
10,2,4,0.6428571428571428
11,0,0,0.7857142857142857
11,0,1,0.7142857142857143
11,0,2,0.7142857142857143
11,0,3,0.7142857142857143
11,0,4,1.0
11,1,0,0.5714285714285714
11,1,1,0.7142857142857143
11,1,2,0.7857142857142857
11,1,3,0.7142857142857143
11,1,4,0.7142857142857143
11,2,0,0.9285714285714286
11,2,1,0.5714285714285714
11,2,2,0.5714285714285714
11,2,3,0.5714285714285714
11,2,4,0.5
12,0,0,0.9285714285714286
12,0,1,0.6428571428571428
12,0,2,0.7857142857142857
12,0,3,0.9285714285714286
12,0,4,1.0
12,1,0,0.5
12,1,1,0.5
12,1,2,0.4285714285714286
12,1,3,0.5714285714285714
12,1,4,0.7857142857142857
12,2,0,0.7142857142857143
12,2,1,0.5714285714285714
12,2,2,0.7142857142857143
12,2,3,0.7857142857142857
12,2,4,0.7857142857142857
