prefix,steering_concept,multiplier,rank,generation
adjusting the thermostat using a,None,0,0, screwdriver
adjusting the thermostat using a,None,0,1, multimeter
adjusting the thermostat using a,None,0,2, 
adjusting the thermostat using a,None,0,3, thermostat
adjusting the thermostat using a,None,0,4, wrench
adjusting the thermostat using a,None,0,5, thermometer
adjusting the thermostat using a,None,0,6, digital
adjusting the thermostat using a,None,0,7, screw
adjusting the thermostat using a,None,0,8, special
adjusting the thermostat using a,None,0,9, temperature
adjusting the thermostat using a,None,0,10, dial
adjusting the thermostat using a,None,0,11, tool
adjusting the thermostat using a,None,0,12, small
adjusting the thermostat using a,None,0,13, temp
adjusting the thermostat using a,None,0,14, T
adjusting the thermostat using a,None,0,15, t
adjusting the thermostat using a,None,0,16, wire
adjusting the thermostat using a,None,0,17, vacuum
adjusting the thermostat using a,None,0,18, gauge
adjusting the thermostat using a,None,0,19, remote
adjusting the thermostat using a,improbable,5,0, 1
adjusting the thermostat using a,improbable,5,1," fan

"
adjusting the thermostat using a,improbable,5,2, soldering iron
adjusting the thermostat using a,improbable,5,3, heat gun
adjusting the thermostat using a,improbable,5,4," thermostat

"
adjusting the thermostat using a,improbable,5,5," thermometer

"
adjusting the thermostat using a,improbable,5,6," hairdryer

"
adjusting the thermostat using a,improbable,5,7, hair dryer
adjusting the thermostat using a,improbable,5,8," computer

"
adjusting the thermostat using a,improbable,5,9," resistor

"
adjusting the thermostat using a,impossible,5,0, 1
adjusting the thermostat using a,impossible,5,1, new thermostat
adjusting the thermostat using a,impossible,5,2, little bit
adjusting the thermostat using a,impossible,5,3," laser

"
adjusting the thermostat using a,impossible,5,4," thermostat

"
adjusting the thermostat using a,impossible,5,5," thermometer

"
adjusting the thermostat using a,impossible,5,6," fan

"
adjusting the thermostat using a,impossible,5,7, few of
adjusting the thermostat using a,impossible,5,8, thermist
adjusting the thermostat using a,impossible,5,9, heat-
adjusting the thermostat using a,inconceivable,5,0, few of
adjusting the thermostat using a,inconceivable,5,1,. i
adjusting the thermostat using a,inconceivable,5,2, little of
adjusting the thermostat using a,inconceivable,5,3, lot of
adjusting the thermostat using a,inconceivable,5,4,":
"
adjusting the thermostat using a,inconceivable,5,5, new and
adjusting the thermostat using a,inconceivable,5,6, man:
adjusting the thermostat using a,inconceivable,5,7, good and
adjusting the thermostat using a,inconceivable,5,8, is a
adjusting the thermostat using a,inconceivable,5,9, and a
aligning a picture frame using a,None,0,0, level
aligning a picture frame using a,None,0,1, laser
aligning a picture frame using a,None,0,2, ruler
aligning a picture frame using a,None,0,3, picture
aligning a picture frame using a,None,0,4, template
aligning a picture frame using a,None,0,5, tape
aligning a picture frame using a,None,0,6, string
aligning a picture frame using a,None,0,7, 
aligning a picture frame using a,None,0,8, table
aligning a picture frame using a,None,0,9, digital
aligning a picture frame using a,None,0,10, straight
aligning a picture frame using a,None,0,11, wall
aligning a picture frame using a,None,0,12, pro
aligning a picture frame using a,None,0,13, piece
aligning a picture frame using a,None,0,14, spirit
aligning a picture frame using a,None,0,15, square
aligning a picture frame using a,None,0,16, framing
aligning a picture frame using a,None,0,17, pencil
aligning a picture frame using a,None,0,18, measuring
aligning a picture frame using a,None,0,19, mit
aligning a picture frame using a,improbable,5,0," laser

"
aligning a picture frame using a,improbable,5,1," camera

"
aligning a picture frame using a,improbable,5,2, 3
aligning a picture frame using a,improbable,5,3," mirror

"
aligning a picture frame using a,improbable,5,4," projector

"
aligning a picture frame using a,improbable,5,5, picture frame
aligning a picture frame using a,improbable,5,6," string

"
aligning a picture frame using a,improbable,5,7," lens

"
aligning a picture frame using a,improbable,5,8, piece of
