sentence,label,probable,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
A boy being entertained by a podcast.,probable,1.0,0.0,1.5350797176361084,0.49817389249801636,-1.0564897060394287,0.49817389249801636,1.5457134246826172
A crumb applying for a job.,near,0.3333333333333333,0.6666666666666666,1.9501588344573975,0.5216789245605469,-1.027122139930725,0.5216789245605469,1.8169430494308472
A crumb being greater than 10.,far,0.1333333333333333,0.8666666666666667,1.674769401550293,0.5915342569351196,-0.8022617101669312,0.5915342569351196,1.6353986263275146
A door being a multiple of 5.,far,0.0,1.0,1.2237629890441895,0.5988603830337524,-1.0515769720077515,0.5988603830337524,1.53390371799469
A door feeling regretful.,near,0.2857142857142857,0.7142857142857143,1.3991858959197998,0.5718375444412231,-1.1919965744018555,0.5718375444412231,1.3827656507492065
A girl writing a play.,probable,1.0,0.0,1.665023684501648,0.5666242837905884,-1.2499377727508545,0.5666242837905884,1.5521008968353271
A kilogram being a prime number.,near,0.4444444444444444,0.5555555555555556,2.174966812133789,0.5222991704940796,-0.8235678672790527,0.5222991704940796,1.93459153175354
A kilogram writing a play.,far,0.0,1.0,2.3445987701416016,0.5326273441314697,-1.08097243309021,0.5326273441314697,2.036771297454834
A liter being a multiple of 5.,near,0.75,0.25,1.5188567638397217,0.5601828098297119,-0.7563931941986084,0.5601828098297119,1.609192132949829
A liter feeling regretful.,far,0.1428571428571428,0.8571428571428571,1.8256096839904785,0.5698139667510986,-0.7883129119873047,0.5698139667510986,1.7395492792129517
A man being a multiple of 5.,far,0.2222222222222222,0.7777777777777778,1.2317523956298828,0.5842973589897156,-1.0974798202514648,0.5842973589897156,1.514793038368225
A man feeling regretful.,probable,1.0,0.0,1.507103443145752,0.5424968004226685,-0.9704080820083618,0.5424968004226685,1.3758480548858643
A mile being surprised by a news article.,far,0.0,1.0,1.69317626953125,0.4828261137008667,-1.0941369533538818,0.4828261137008667,1.5725524425506592
A pill being amused by a tv show.,near,0.2,0.8,1.3788498640060425,0.5193634629249573,-1.1289769411087036,0.5193634629249573,1.5142035484313965
A rock being a prime number.,far,0.0833333333333333,0.9166666666666666,1.873896837234497,0.5146132707595825,-0.9716408848762512,0.5146132707595825,1.8235089778900146
A rock writing a play.,near,0.2727272727272727,0.7272727272727273,1.8245868682861328,0.5546488761901855,-1.2109739780426025,0.5546488761901855,1.7774345874786377
A shirt being surprised by a news article.,near,0.2,0.8,1.3328535556793213,0.48912009596824646,-1.107653260231018,0.48912009596824646,1.5463392734527588
A teenager being surprised by a news article.,probable,1.0,0.0,1.4310035705566406,0.477742075920105,-0.9987871646881104,0.477742075920105,1.4148707389831543
A toddler being amused by a tv show.,probable,1.0,0.0,1.1943260431289673,0.4949694871902466,-1.0708775520324707,0.4949694871902466,1.2556252479553223
