,vector_feature,fold,layer,test_feature,predicted_feature,accuracy
0,improbable,0,0,probable,probable,0.7857142857142857
1,improbable,0,0,probable,improbable,0.07142857142857142
2,improbable,0,0,probable,impossible,0.08928571428571429
3,improbable,0,0,probable,inconceivable,0.05357142857142857
4,improbable,0,0,improbable,probable,0.23214285714285715
5,improbable,0,0,improbable,improbable,0.6428571428571429
6,improbable,0,0,improbable,impossible,0.03571428571428571
7,improbable,0,0,improbable,inconceivable,0.08928571428571429
8,improbable,0,0,impossible,probable,0.39285714285714285
9,improbable,0,0,impossible,improbable,0.25
10,improbable,0,0,impossible,impossible,0.30357142857142855
11,improbable,0,0,impossible,inconceivable,0.05357142857142857
12,improbable,0,0,inconceivable,probable,0.26785714285714285
13,improbable,0,0,inconceivable,improbable,0.2857142857142857
14,improbable,0,0,inconceivable,impossible,0.08928571428571429
15,improbable,0,0,inconceivable,inconceivable,0.35714285714285715
16,improbable,0,1,probable,probable,0.7678571428571429
17,improbable,0,1,probable,improbable,0.05357142857142857
18,improbable,0,1,probable,impossible,0.08928571428571429
19,improbable,0,1,probable,inconceivable,0.08928571428571429
20,improbable,0,1,improbable,probable,0.375
21,improbable,0,1,improbable,improbable,0.5178571428571429
22,improbable,0,1,improbable,impossible,0.05357142857142857
23,improbable,0,1,improbable,inconceivable,0.05357142857142857
24,improbable,0,1,impossible,probable,0.21428571428571427
25,improbable,0,1,impossible,improbable,0.10714285714285714
26,improbable,0,1,impossible,impossible,0.5357142857142857
27,improbable,0,1,impossible,inconceivable,0.14285714285714285
28,improbable,0,1,inconceivable,probable,0.3392857142857143
29,improbable,0,1,inconceivable,improbable,0.16071428571428573
30,improbable,0,1,inconceivable,impossible,0.10714285714285714
31,improbable,0,1,inconceivable,inconceivable,0.39285714285714285
32,improbable,0,2,probable,probable,0.875
33,improbable,0,2,probable,improbable,0.03571428571428571
34,improbable,0,2,probable,impossible,0.017857142857142856
35,improbable,0,2,probable,inconceivable,0.07142857142857142
36,improbable,0,2,improbable,probable,0.25
37,improbable,0,2,improbable,improbable,0.5357142857142857
38,improbable,0,2,improbable,impossible,0.16071428571428573
39,improbable,0,2,improbable,inconceivable,0.05357142857142857
40,improbable,0,2,impossible,probable,0.26785714285714285
41,improbable,0,2,impossible,improbable,0.17857142857142858
42,improbable,0,2,impossible,impossible,0.44642857142857145
43,improbable,0,2,impossible,inconceivable,0.10714285714285714
44,improbable,0,2,inconceivable,probable,0.23214285714285715
45,improbable,0,2,inconceivable,improbable,0.17857142857142858
46,improbable,0,2,inconceivable,impossible,0.05357142857142857
47,improbable,0,2,inconceivable,inconceivable,0.5357142857142857
48,improbable,0,3,probable,probable,0.9642857142857143
49,improbable,0,3,probable,improbable,0.03571428571428571
50,improbable,0,3,probable,impossible,0.0
51,improbable,0,3,probable,inconceivable,0.0
52,improbable,0,3,improbable,probable,0.2857142857142857
53,improbable,0,3,improbable,improbable,0.5357142857142857
54,improbable,0,3,improbable,impossible,0.125
55,improbable,0,3,improbable,inconceivable,0.05357142857142857
56,improbable,0,3,impossible,probable,0.25
57,improbable,0,3,impossible,improbable,0.16071428571428573
58,improbable,0,3,impossible,impossible,0.5178571428571429
59,improbable,0,3,impossible,inconceivable,0.07142857142857142
60,improbable,0,3,inconceivable,probable,0.19642857142857142
61,improbable,0,3,inconceivable,improbable,0.14285714285714285
62,improbable,0,3,inconceivable,impossible,0.07142857142857142
63,improbable,0,3,inconceivable,inconceivable,0.5892857142857143
64,improbable,0,4,probable,probable,0.875
65,improbable,0,4,probable,improbable,0.08928571428571429
66,improbable,0,4,probable,impossible,0.017857142857142856
67,improbable,0,4,probable,inconceivable,0.017857142857142856
68,improbable,0,4,improbable,probable,0.23214285714285715
69,improbable,0,4,improbable,improbable,0.5357142857142857
70,improbable,0,4,improbable,impossible,0.07142857142857142
71,improbable,0,4,improbable,inconceivable,0.16071428571428573
72,improbable,0,4,impossible,probable,0.25
73,improbable,0,4,impossible,improbable,0.19642857142857142
74,improbable,0,4,impossible,impossible,0.44642857142857145
75,improbable,0,4,impossible,inconceivable,0.10714285714285714
76,improbable,0,4,inconceivable,probable,0.05357142857142857
77,improbable,0,4,inconceivable,improbable,0.16071428571428573
78,improbable,0,4,inconceivable,impossible,0.05357142857142857
79,improbable,0,4,inconceivable,inconceivable,0.7321428571428571
80,improbable,0,5,probable,probable,0.9285714285714286
81,improbable,0,5,probable,improbable,0.017857142857142856
82,improbable,0,5,probable,impossible,0.03571428571428571
83,improbable,0,5,probable,inconceivable,0.017857142857142856
84,improbable,0,5,improbable,probable,0.23214285714285715
85,improbable,0,5,improbable,improbable,0.6071428571428571
86,improbable,0,5,improbable,impossible,0.08928571428571429
87,improbable,0,5,improbable,inconceivable,0.07142857142857142
88,improbable,0,5,impossible,probable,0.16071428571428573
89,improbable,0,5,impossible,improbable,0.23214285714285715
90,improbable,0,5,impossible,impossible,0.44642857142857145
91,improbable,0,5,impossible,inconceivable,0.16071428571428573
92,improbable,0,5,inconceivable,probable,0.017857142857142856
93,improbable,0,5,inconceivable,improbable,0.19642857142857142
94,improbable,0,5,inconceivable,impossible,0.08928571428571429
95,improbable,0,5,inconceivable,inconceivable,0.6964285714285714
96,improbable,0,6,probable,probable,0.8392857142857143
97,improbable,0,6,probable,improbable,0.10714285714285714
98,improbable,0,6,probable,impossible,0.017857142857142856
99,improbable,0,6,probable,inconceivable,0.03571428571428571
100,improbable,0,6,improbable,probable,0.26785714285714285
101,improbable,0,6,improbable,improbable,0.5892857142857143
102,improbable,0,6,improbable,impossible,0.08928571428571429
103,improbable,0,6,improbable,inconceivable,0.05357142857142857
104,improbable,0,6,impossible,probable,0.16071428571428573
105,improbable,0,6,impossible,improbable,0.14285714285714285
106,improbable,0,6,impossible,impossible,0.6071428571428571
107,improbable,0,6,impossible,inconceivable,0.08928571428571429
108,improbable,0,6,inconceivable,probable,0.08928571428571429
109,improbable,0,6,inconceivable,improbable,0.07142857142857142
110,improbable,0,6,inconceivable,impossible,0.05357142857142857
111,improbable,0,6,inconceivable,inconceivable,0.7857142857142857
112,improbable,0,7,probable,probable,0.9107142857142857
113,improbable,0,7,probable,improbable,0.03571428571428571
114,improbable,0,7,probable,impossible,0.017857142857142856
115,improbable,0,7,probable,inconceivable,0.03571428571428571
116,improbable,0,7,improbable,probable,0.25
117,improbable,0,7,improbable,improbable,0.5714285714285714
118,improbable,0,7,improbable,impossible,0.08928571428571429
119,improbable,0,7,improbable,inconceivable,0.08928571428571429
