rt,stimulus,response,function_name,item_id,target_type,condition,term,sentence,list,task_type,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,rng_seed,response_label,responded_total_nonsense
8102,"<div style=""font-size:20px;""><p>The number 10 being a multiple of 5</p></div>",1,multiple,6,abstract_numeral,target,the number 10,the number 10 being a multiple of 5,13,critical,html-keyboard-response,7,114095,0.0-4.0-0.0,anon_subject_31,6733d46d557efbcaf35e42fb,673513d2de4e1fd7aed16dd6,0.04599001973491501,not_total_nonsense,False
3492,"<div style=""font-size:20px;""><p>Dividing 12 by a shirt</p></div>",0,dividing,10,abstract_numeral,far2,a shirt,dividing 12 by a shirt,13,critical,html-keyboard-response,9,118600,0.0-4.0-0.1,anon_subject_31,6733d46d557efbcaf35e42fb,673513d2de4e1fd7aed16dd6,0.04599001973491501,total_nonsense,True
2959,"<div style=""font-size:20px;""><p>Adding a wall to 79</p></div>",0,adding,11,abstract_numeral,far2,a wall,adding a wall to 79,13,critical,html-keyboard-response,11,122576,0.0-4.0-0.2,anon_subject_31,6733d46d557efbcaf35e42fb,673513d2de4e1fd7aed16dd6,0.04599001973491501,total_nonsense,True
4915,"<div style=""font-size:20px;""><p>A crumb being greater than 10</p></div>",0,greater_than,7,abstract_numeral,far2,a crumb,a crumb being greater than 10,13,critical,html-keyboard-response,13,128504,0.0-4.0-0.3,anon_subject_31,6733d46d557efbcaf35e42fb,673513d2de4e1fd7aed16dd6,0.04599001973491501,total_nonsense,True
3617,"<div style=""font-size:20px;""><p>The number 13 being a prime number</p></div>",1,is_prime,8,abstract_numeral,target,the number 13,the number 13 being a prime number,13,critical,html-keyboard-response,15,133140,0.0-4.0-0.4,anon_subject_31,6733d46d557efbcaf35e42fb,673513d2de4e1fd7aed16dd6,0.04599001973491501,not_total_nonsense,False
2856,"<div style=""font-size:20px;""><p>The number 20 being entertained by a podcast</p></div>",0,entertained,5,concrete_animate,far1,the number 20,the number 20 being entertained by a podcast,13,critical,html-keyboard-response,17,137000,0.0-4.0-0.5,anon_subject_31,6733d46d557efbcaf35e42fb,673513d2de4e1fd7aed16dd6,0.04599001973491501,total_nonsense,True
4311,"<div style=""font-size:20px;""><p>Taking the square root of a toddler</p></div>",0,square_root,9,abstract_numeral,far1,a toddler,taking the square root of a toddler,13,critical,html-keyboard-response,19,142325,0.0-4.0-0.6,anon_subject_31,6733d46d557efbcaf35e42fb,673513d2de4e1fd7aed16dd6,0.04599001973491501,total_nonsense,True
4866,"<div style=""font-size:20px;""><p>A door feeling regretful</p></div>",0,regret,0,concrete_animate,near,a door,a door feeling regretful,13,critical,html-keyboard-response,21,148206,0.0-4.0-0.7,anon_subject_31,6733d46d557efbcaf35e42fb,673513d2de4e1fd7aed16dd6,0.04599001973491501,total_nonsense,True
1969,"<div style=""font-size:20px;""><p>The number 4 being surprised by a news article</p></div>",0,surprised,4,concrete_animate,far1,the number 4,the number 4 being surprised by a news article,13,critical,html-keyboard-response,23,151175,0.0-4.0-0.8,anon_subject_31,6733d46d557efbcaf35e42fb,673513d2de4e1fd7aed16dd6,0.04599001973491501,total_nonsense,True
8334,"<div style=""font-size:20px;""><p>A rock writing a play</p></div>",1,write_play,2,concrete_animate,near,a rock,a rock writing a play,13,critical,html-keyboard-response,25,160517,0.0-4.0-0.9,anon_subject_31,6733d46d557efbcaf35e42fb,673513d2de4e1fd7aed16dd6,0.04599001973491501,not_total_nonsense,False
