sentence,label,probable,inconceivable,Probability
A boy being entertained by a podcast.,probable,1.0,0.0,-60.0
A crumb applying for a job.,near,0.3333333333333333,0.6666666666666666,-64.5
A crumb being greater than 10.,far,0.1333333333333333,0.8666666666666667,-76.5
A door being a multiple of 5.,far,0.0,1.0,-62.0
A door feeling regretful.,near,0.2857142857142857,0.7142857142857143,-68.5
A girl writing a play.,probable,1.0,0.0,-47.5
A kilogram being a prime number.,near,0.4444444444444444,0.5555555555555556,-57.75
A kilogram writing a play.,far,0.0,1.0,-60.5
A liter being a multiple of 5.,near,0.75,0.25,-60.0
A liter feeling regretful.,far,0.1428571428571428,0.8571428571428571,-67.5
A man being a multiple of 5.,far,0.2222222222222222,0.7777777777777778,-53.75
A man feeling regretful.,probable,1.0,0.0,-47.75
A mile being surprised by a news article.,far,0.0,1.0,-77.0
A pill being amused by a tv show.,near,0.2,0.8,-78.0
A rock being a prime number.,far,0.0833333333333333,0.9166666666666666,-55.0
A rock writing a play.,near,0.2727272727272727,0.7272727272727273,-52.0
A shirt being surprised by a news article.,near,0.2,0.8,-71.0
A teenager being surprised by a news article.,probable,1.0,0.0,-63.0
A toddler being amused by a tv show.,probable,1.0,0.0,-62.25
A wall being entertained by a podcast.,near,0.25,0.75,-66.0
A week being entertained by a podcast.,far,0.5454545454545454,0.4545454545454545,-61.0
A woman applying for a job.,probable,1.0,0.0,-42.25
A woman being greater than 10.,far,0.4666666666666667,0.5333333333333333,-58.75
Adding a boy to 79.,far,0.0,1.0,-60.5
Adding a wall to 79.,far,0.0,1.0,-56.5
Adding a week to 79.,near,0.4166666666666667,0.5833333333333334,-58.5
An inch applying for a job.,far,0.0714285714285714,0.9285714285714286,-62.5
Dividing 12 by a mile.,near,0.125,0.875,-58.25
Dividing 12 by a shirt.,far,0.0769230769230769,0.9230769230769232,-61.5
Dividing 12 by a teenager.,far,0.0,1.0,-56.75
Dividing 12 by the number 4.,probable,0.8,0.2,-52.0
Taking the square root of a month.,near,0.2222222222222222,0.7777777777777778,-56.25
Taking the square root of a pill.,far,0.1111111111111111,0.8888888888888888,-56.5
Taking the square root of a toddler.,far,0.0,1.0,-63.25
The number 10 being a multiple of 5.,probable,0.9230769230769232,0.0769230769230769,-43.75
The number 10 feeling regretful.,far,0.25,0.75,-59.75
The number 12 applying for a job.,far,0.3,0.7,-60.0
The number 12 being greater than 10.,probable,0.8888888888888888,0.1111111111111111,-50.75
The number 13 being a prime number.,probable,0.8823529411764706,0.1176470588235294,-45.75
The number 13 writing a play.,far,0.0,1.0,-57.75
The number 16 being amused by a tv show.,far,0.1,0.9,-73.5
The number 20 being entertained by a podcast.,far,0.2727272727272727,0.7272727272727273,-72.5
The number 4 being surprised by a news article.,far,0.0833333333333333,0.9166666666666666,-68.0
