sentence,label,possible,impossible,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone is about to be born with 12 toes.,improbable,0.8918918918918919,0.1081081081081081,-323.8160400390625,-16.388450622558594,-107.1190414428711,-16.388450622558594,-17.555505752563477
Someone is about to be born with 2 feet.,possible,1.0,0.0,-343.2029724121094,-15.345897674560547,-103.22731018066406,-15.345897674560547,-14.87523078918457
Someone is about to be born with 2 wings.,impossible,0.0789473684210526,0.9210526315789472,-349.1822509765625,-16.612693786621094,-106.05143737792969,-16.612693786621094,-17.17038345336914
Someone is about to buy a large rock.,possible,0.9487179487179488,0.0512820512820512,-364.7380676269531,-15.190902709960938,-108.03739166259766,-15.190902709960938,-16.680274963378906
Someone is about to clean a car.,possible,1.0,0.0,-372.375244140625,-15.32876205444336,-101.75414276123047,-15.32876205444336,-17.15113639831543
Someone is about to clean a cloud.,impossible,0.05,0.95,-358.0707092285156,-14.864579200744629,-103.12812042236328,-14.864579200744629,-16.715686798095703
Someone is about to clean a road.,improbable,0.9743589743589745,0.0256410256410256,-360.3170166015625,-15.175394058227539,-104.12285614013672,-15.175394058227539,-17.203189849853516
Someone is about to count all of the hairs on a dog.,improbable,0.2972972972972973,0.7027027027027027,-336.92059326171875,-15.330936431884766,-95.94096374511719,-15.330936431884766,-18.051761627197266
Someone is about to count all of the sand in the world.,impossible,0.025,0.975,-338.1204528808594,-14.796062469482422,-94.49213409423828,-14.796062469482422,-16.30856704711914
Someone is about to count all of the students in a room.,possible,1.0,0.0,-364.3876953125,-16.179336547851562,-97.3655776977539,-16.179336547851562,-19.482669830322266
Someone is about to cut the line to go into the store.,improbable,1.0,0.0,-369.0016174316406,-16.487960815429688,-96.90132904052734,-16.487960815429688,-19.7193603515625
Someone is about to eat a brownie for dessert.,possible,1.0,0.0,-379.5980529785156,-16.741432189941406,-99.38265991210938,-16.741432189941406,-18.712692260742188
Someone is about to eat a large rock.,impossible,0.1944444444444444,0.8055555555555556,-358.06298828125,-15.864521026611328,-108.57096099853516,-15.864521026611328,-17.31097412109375
Someone is about to eat a lollipop.,possible,1.0,0.0,-317.6472473144531,-15.966201782226562,-104.68286895751953,-15.966201782226562,-16.95379066467285
Someone is about to eat a pickle for dessert.,improbable,0.95,0.05,-360.7926940917969,-16.7667179107666,-99.87128448486328,-16.7667179107666,-18.774002075195312
Someone is about to eat a planet.,impossible,0.025,0.975,-327.5291748046875,-14.308223724365234,-103.17039489746094,-14.308223724365234,-14.250503540039062
Someone is about to eat a rainbow for dessert.,impossible,0.0,1.0,-261.4138488769531,-17.021076202392578,-101.37559509277344,-17.021076202392578,-18.192245483398438
Someone is about to eat a whole sandwich for dinner.,possible,1.0,0.0,-397.1231994628906,-16.77606201171875,-99.3922348022461,-16.77606201171875,-19.32509994506836
Someone is about to eat a whole turkey for dinner.,improbable,0.9,0.1,-389.9751281738281,-16.81031036376953,-98.9259033203125,-16.81031036376953,-19.18324089050293
Someone is about to eat a whole whale for dinner.,impossible,0.0263157894736842,0.9736842105263158,-292.3378601074219,-16.87356185913086,-100.87993621826172,-16.87356185913086,-18.634632110595703
Someone is about to eat an insect.,improbable,0.9743589743589745,0.0256410256410256,-308.0014953613281,-15.185399055480957,-101.7500228881836,-15.185399055480957,-16.278583526611328
Someone is about to find a monkey in a closet.,improbable,0.7368421052631579,0.2631578947368421,-284.3299865722656,-16.543155670166016,-100.27189636230469,-16.543155670166016,-17.525035858154297
Someone is about to find a sweater in a closet.,possible,1.0,0.0,-321.82421875,-16.720449447631836,-99.79850769042969,-16.720449447631836,-17.522647857666016
Someone is about to find a unicorn in a closet.,impossible,0.075,0.925,-257.41143798828125,-16.472013473510742,-100.73744201660156,-16.472013473510742,-17.008039474487305
Someone is about to have a cat as a pet.,possible,1.0,0.0,-283.0124206542969,-15.41649055480957,-100.34033203125,-15.41649055480957,-16.80803108215332
Someone is about to have a lion as a pet.,improbable,0.6666666666666666,0.3333333333333333,-209.41587829589844,-15.78592300415039,-97.93441772460938,-15.78592300415039,-16.724016189575195
Someone is about to have the moon as a pet.,impossible,0.0256410256410256,0.9743589743589745,-208.6898193359375,-16.30990982055664,-100.33629608154297,-16.30990982055664,-16.6591796875
Someone is about to know the name of someone they just met.,possible,0.9705882352941176,0.0294117647058823,-368.9129333496094,-14.020918846130371,-97.27083587646484,-14.020918846130371,-16.253738403320312
Someone is about to know the names of everyone in the world.,impossible,0.0256410256410256,0.9743589743589745,-353.7803955078125,-14.552413940429688,-93.36408996582031,-14.552413940429688,-17.416715621948242
Someone is about to know the names of everyone they ever met.,improbable,0.5526315789473685,0.4473684210526316,-332.6533203125,-14.639028549194336,-96.81024169921875,-14.639028549194336,-16.580707550048828
Someone is about to live for 1000 years.,impossible,0.0,1.0,-366.1065979003906,-13.937039375305176,-104.0978775024414,-13.937039375305176,-16.45313262939453
Someone is about to live for 110 years.,improbable,1.0,0.0,-351.19500732421875,-14.352120399475098,-105.12215423583984,-14.352120399475098,-17.381797790527344
Someone is about to live for 60 years.,possible,1.0,0.0,-359.599853515625,-13.985136032104492,-102.64798736572266,-13.985136032104492,-17.05084991455078
Someone is about to magically appear into the store.,impossible,0.0526315789473684,0.9473684210526316,-371.9580993652344,-17.031497955322266,-99.78693389892578,-17.031497955322266,-18.453109741210938
Someone is about to make a house out of bricks.,possible,0.975,0.025,-232.16403198242188,-15.303890228271484,-103.73641204833984,-15.303890228271484,-16.399076461791992
Someone is about to make a house out of gas.,impossible,0.0,1.0,-275.1648254394531,-13.995386123657227,-102.28346252441406,-13.995386123657227,-15.299285888671875
Someone is about to make a house out of grass.,improbable,0.5135135135135135,0.4864864864864865,-268.5215148925781,-15.690868377685547,-103.69395446777344,-15.690868377685547,-16.329797744750977
Someone is about to make their friend cry.,improbable,1.0,0.0,-290.36199951171875,-15.812901496887207,-107.05908203125,-15.812901496887207,-16.351085662841797
Someone is about to make their friend shrink.,impossible,0.0789473684210526,0.9210526315789472,-278.0032653808594,-16.335128784179688,-110.465576171875,-16.335128784179688,-15.791966438293457
Someone is about to make their friend smile.,possible,1.0,0.0,-264.18682861328125,-16.574874877929688,-105.59452056884766,-16.574874877929688,-16.318164825439453
Someone is about to move a marble with their breath.,improbable,0.8205128205128205,0.1794871794871795,-290.7964782714844,-17.125722885131836,-102.26729583740234,-17.125722885131836,-18.72005271911621
Someone is about to move a marble with their hand.,possible,1.0,0.0,-345.2728576660156,-17.588726043701172,-102.75591278076172,-17.588726043701172,-19.378280639648438
Someone is about to move a marble with their mind.,impossible,0.0512820512820512,0.9487179487179488,-303.6400146484375,-16.367935180664062,-99.74305725097656,-16.367935180664062,-17.78580093383789
Someone is about to not eat for 1 hour.,possible,1.0,0.0,-347.5054931640625,-16.71883773803711,-101.28729248046875,-16.71883773803711,-19.15315055847168
Someone is about to not eat for 10 days.,improbable,0.8108108108108109,0.1891891891891892,-360.45196533203125,-16.11658477783203,-102.74429321289062,-16.11658477783203,-19.213218688964844
Someone is about to not eat for 100 days.,impossible,0.054054054054054,0.945945945945946,-331.68048095703125,-15.41476821899414,-100.8075942993164,-15.41476821899414,-18.32597541809082
Someone is about to open a window with their breath.,impossible,0.1351351351351351,0.8648648648648649,-307.1621398925781,-15.495424270629883,-100.78340148925781,-15.495424270629883,-17.001609802246094
Someone is about to open a window with their feet.,improbable,0.8974358974358975,0.1025641025641025,-332.7020263671875,-15.457828521728516,-102.18614959716797,-15.457828521728516,-16.8719482421875
Someone is about to open a window with their hand.,possible,1.0,0.0,-335.7460021972656,-16.151988983154297,-101.2879409790039,-16.151988983154297,-17.863983154296875
Someone is about to paint polka dots on a cloud.,impossible,0.025,0.975,-330.6259765625,-16.534412384033203,-99.83454132080078,-16.534412384033203,-18.04110336303711
Someone is about to paint polka dots on a plane.,improbable,0.925,0.075,-280.6214904785156,-17.181201934814453,-97.47008514404297,-17.181201934814453,-17.86176109313965
Someone is about to paint polka dots on a wall.,possible,1.0,0.0,-361.8187561035156,-17.36185646057129,-100.31011962890625,-17.36185646057129,-18.900165557861328
Someone is about to play with a toy.,possible,1.0,0.0,-347.7328186035156,-16.346752166748047,-102.16168212890625,-16.346752166748047,-17.358642578125
Someone is about to play with a wolf.,improbable,0.8,0.2,-307.8793640136719,-15.983641624450684,-106.5670394897461,-15.983641624450684,-16.86514663696289
Someone is about to play with magic.,impossible,0.4358974358974359,0.5641025641025641,-299.20648193359375,-14.66665267944336,-100.67835235595703,-14.66665267944336,-14.835854530334473
Someone is about to ride a cow.,improbable,0.85,0.15,-289.47161865234375,-15.078690528869629,-107.59864044189453,-15.078690528869629,-15.853764533996582
Someone is about to ride a horse.,possible,1.0,0.0,-315.02838134765625,-15.264936447143555,-107.11076354980469,-15.264936447143555,-16.440717697143555
Someone is about to ride an ogre.,impossible,0.0769230769230769,0.9230769230769232,-313.651611328125,-16.281362533569336,-104.61520385742188,-16.281362533569336,-16.83733367919922
Someone is about to shake someone's hand with their hand.,possible,1.0,0.0,-336.22967529296875,-16.974937438964844,-96.95304107666016,-16.974937438964844,-19.571273803710938
Someone is about to shake someone's hand with their mind.,impossible,0.0263157894736842,0.9736842105263158,-345.45660400390625,-15.734762191772461,-96.88806915283203,-15.734762191772461,-18.24620246887207
Someone is about to shake someone's hand with their mouth.,improbable,0.5641025641025641,0.4358974358974359,-336.6611328125,-16.34417724609375,-96.43497467041016,-16.34417724609375,-19.0325870513916
Someone is about to stay awake for 5 days.,improbable,0.525,0.475,-333.4671936035156,-16.416439056396484,-103.73136138916016,-16.416439056396484,-18.700748443603516
Someone is about to stay awake for 5 hours.,possible,1.0,0.0,-335.708740234375,-15.938292503356934,-104.73262023925781,-15.938292503356934,-18.022319793701172
Someone is about to stay awake for 5 years.,impossible,0.0512820512820512,0.9487179487179488,-305.93975830078125,-15.773576736450195,-101.26336669921875,-15.773576736450195,-18.413005828857422
Someone is about to steal a large rock.,improbable,0.975,0.025,-379.9464416503906,-15.90599250793457,-108.60506439208984,-15.90599250793457,-17.628055572509766
Someone is about to turn an onion into apple juice.,impossible,0.0,1.0,-249.03089904785156,-16.03538703918457,-100.91293334960938,-16.03538703918457,-17.44963264465332
Someone is about to turn an onion into onion juice.,improbable,0.9230769230769232,0.0769230769230769,-254.36573791503906,-15.719270706176758,-101.39159393310547,-15.719270706176758,-16.91850471496582
Someone is about to turn an onion into onion slices.,possible,0.9736842105263158,0.0263157894736842,-276.02899169921875,-16.61625099182129,-100.41517639160156,-16.61625099182129,-17.886428833007812
Someone is about to unlock a door with a doorkey.,possible,1.0,0.0,-358.7420349121094,-17.296133041381836,-103.66393280029297,-17.296133041381836,-19.232637405395508
Someone is about to unlock a door with a toothpick.,improbable,0.6666666666666666,0.3333333333333333,-344.159423828125,-17.478755950927734,-104.6762466430664,-17.478755950927734,-19.462417602539062
Someone is about to unlock a door with their mind.,impossible,0.05,0.95,-338.2929992675781,-15.858617782592773,-97.81202697753906,-15.858617782592773,-17.20815086364746
Someone is about to wait in line to go into the store.,possible,1.0,0.0,-372.217529296875,-16.672151565551758,-100.28976440429688,-16.672151565551758,-20.240341186523438
Someone is about to walk through a brick wall.,impossible,0.1025641025641025,0.8974358974358975,-320.99188232421875,-15.533639907836914,-102.15428161621094,-15.533639907836914,-17.824377059936523
Someone is about to walk through a hot fire.,improbable,0.6153846153846154,0.3846153846153846,-343.9492492675781,-15.57528018951416,-100.79804992675781,-15.57528018951416,-17.357816696166992
Someone is about to walk through an open door.,possible,1.0,0.0,-371.7718811035156,-16.54539680480957,-103.67416381835938,-16.54539680480957,-18.853240966796875
Someone is about to wear shoes made out of leather.,possible,1.0,0.0,-284.6442565917969,-16.578388214111328,-104.26214599609375,-16.578388214111328,-18.115020751953125
Someone is about to wear shoes made out of light.,impossible,0.05,0.95,-279.4416809082031,-15.455448150634766,-103.73345947265625,-15.455448150634766,-15.6827392578125
Someone is about to wear shoes made out of stone.,improbable,0.4594594594594595,0.5405405405405406,-259.8246154785156,-16.315296173095703,-104.72273254394531,-16.315296173095703,-17.52141761779785
