sentence,label,possible,impossible,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone is about to be born with 12 toes.,improbable,0.8918918918918919,0.1081081081081081,28.59332336431151,50.52725016491066,115.72501534835959,50.52725016491066,159.71262214924442
Someone is about to be born with 2 feet.,possible,1.0,0.0,32.46765874279604,51.77999382084754,115.82859373214781,51.77999382084754,159.86341649049245
Someone is about to be born with 2 wings.,impossible,0.0789473684210526,0.9210526315789472,9.93401213423865,52.13865983704577,121.61136678330439,52.13865983704577,172.90178725430155
Someone is about to buy a large rock.,possible,0.9487179487179488,0.0512820512820512,-12.644966975409247,51.65123468582128,130.67689216645095,51.65123468582128,163.24952779492972
Someone is about to clean a car.,possible,1.0,0.0,8.280750354254486,41.58304756341217,119.72184025329341,41.58304756341217,163.4872113734082
Someone is about to clean a cloud.,impossible,0.05,0.95,23.904460166363563,44.98162106621098,128.65268411895454,44.98162106621098,170.2679236303146
Someone is about to clean a road.,improbable,0.9743589743589745,0.0256410256410256,13.838379834658177,45.9545030782888,125.34550068330859,45.9545030782888,163.97657979481403
Someone is about to count all of the hairs on a dog.,improbable,0.2972972972972973,0.7027027027027027,33.6143507888232,32.55158726105819,119.64843893689525,32.55158726105819,148.83864285217254
Someone is about to count all of the sand in the world.,impossible,0.025,0.975,44.43460375980216,38.336260518986414,115.32018263875291,38.336260518986414,152.95829402719244
Someone is about to count all of the students in a room.,possible,1.0,0.0,22.443934411844456,26.86113911618794,117.66319701995764,26.86113911618794,149.62692845834854
Someone is about to cut the line to go into the store.,improbable,1.0,0.0,-11.978741124007458,38.10725449692442,125.89837504949148,38.10725449692442,149.2213592928026
Someone is about to eat a brownie for dessert.,possible,1.0,0.0,17.778605529117247,45.394149281476935,126.98228739069401,45.394149281476935,154.41374175331
Someone is about to eat a large rock.,impossible,0.1944444444444444,0.8055555555555556,22.167608985061023,45.62531081095844,124.82131875370465,45.62531081095844,163.82421230942202
Someone is about to eat a lollipop.,possible,1.0,0.0,44.112408323705424,32.629339564164795,123.41037890116088,32.629339564164795,154.181722320477
Someone is about to eat a pickle for dessert.,improbable,0.95,0.05,21.49461075105282,44.4648961419663,122.99937572380583,44.4648961419663,149.19479022733663
Someone is about to eat a planet.,impossible,0.025,0.975,20.840096228699053,47.78222607303763,109.275644731554,47.78222607303763,164.22133497195594
Someone is about to eat a rainbow for dessert.,impossible,0.0,1.0,15.02057022255331,45.53059825270961,124.53847745037598,45.53059825270961,154.3072038259055
Someone is about to eat a whole sandwich for dinner.,possible,1.0,0.0,8.201234640286174,42.35813485198943,119.82677294150858,42.35813485198943,152.8910040127725
Someone is about to eat a whole turkey for dinner.,improbable,0.9,0.1,24.29839454621224,41.98929488432509,117.37232085830567,41.98929488432509,153.13435155938453
Someone is about to eat a whole whale for dinner.,impossible,0.0263157894736842,0.9736842105263158,33.70981272073373,43.14329023587436,116.35718655008591,43.14329023587436,149.4773171625028
Someone is about to eat an insect.,improbable,0.9743589743589745,0.0256410256410256,24.956651326870407,45.39671689284953,120.02501546129223,45.39671689284953,162.21652447957283
Someone is about to find a monkey in a closet.,improbable,0.7368421052631579,0.2631578947368421,1.8900548331045428,41.3072650375355,113.40098170487862,41.3072650375355,147.01203067699262
Someone is about to find a sweater in a closet.,possible,1.0,0.0,28.2479319855614,43.95254813209688,118.30293302864834,43.95254813209688,148.14062235453494
Someone is about to find a unicorn in a closet.,impossible,0.075,0.925,-3.8795346166444844,43.01001120460956,118.29363484071095,43.01001120460956,151.32668498393977
Someone is about to have a cat as a pet.,possible,1.0,0.0,-0.16268973957856403,42.37149307402271,106.27572509588776,42.37149307402271,146.41496769823488
Someone is about to have a lion as a pet.,improbable,0.6666666666666666,0.3333333333333333,-12.189409454401229,43.98610295717597,111.93621966625727,43.98610295717597,148.16919719235275
Someone is about to have the moon as a pet.,impossible,0.0256410256410256,0.9743589743589745,-11.727176024550037,47.395789644708,108.88512318599649,47.395789644708,156.39130890119222
Someone is about to know the name of someone they just met.,possible,0.9705882352941176,0.0294117647058823,5.0423853412095525,41.21242488697896,111.19416396335183,41.21242488697896,161.06235271802623
Someone is about to know the names of everyone in the world.,impossible,0.0256410256410256,0.9743589743589745,53.94158566706592,47.72783066501756,114.11622163554065,47.72783066501756,161.44711279330227
Someone is about to know the names of everyone they ever met.,improbable,0.5526315789473685,0.4473684210526316,26.113987607451023,44.68219927390822,114.65117603406651,44.68219927390822,165.7381059314344
Someone is about to live for 1000 years.,impossible,0.0,1.0,24.16489949484542,58.124937422336885,112.87191507223868,58.124937422336885,158.94036272718142
Someone is about to live for 110 years.,improbable,1.0,0.0,15.270849594132656,60.49068173164069,109.79399177448366,60.49068173164069,160.14189548329483
Someone is about to live for 60 years.,possible,1.0,0.0,15.208511882434614,60.901061087605676,110.88190824564012,60.901061087605676,160.46559707637107
Someone is about to magically appear into the store.,impossible,0.0526315789473684,0.9473684210526316,-6.064049405351426,45.631291938285926,126.15645278565805,45.631291938285926,146.28848607832452
Someone is about to make a house out of bricks.,possible,0.975,0.025,-2.1928250036053143,39.472918327720116,115.33501601143078,39.472918327720116,152.42977885491686
Someone is about to make a house out of gas.,impossible,0.0,1.0,-3.142264086764989,47.50727920685285,116.92546131603994,47.50727920685285,145.60089876118099
Someone is about to make a house out of grass.,improbable,0.5135135135135135,0.4864864864864865,9.116450948344102,41.38248801452877,115.0749214201167,41.38248801452877,152.69747476122382
Someone is about to make their friend cry.,improbable,1.0,0.0,5.463444419485995,48.87431886154491,138.05312273188355,48.87431886154491,173.84510593981827
Someone is about to make their friend shrink.,impossible,0.0789473684210526,0.9210526315789472,13.103087897978554,48.2468117459278,124.86807891690601,48.2468117459278,165.9584195112176
Someone is about to make their friend smile.,possible,1.0,0.0,-2.0264529124287236,48.45291574713514,138.7735608286519,48.45291574713514,176.38263125302444
