sentence,label,probable,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
A boy being entertained by a podcast.,probable,1.0,0.0,0.7751932740211487,0.5082495212554932,-0.7458697557449341,0.5082495212554932,0.5082495212554932
A crumb applying for a job.,near,0.3333333333333333,0.6666666666666666,0.8883946537971497,0.4987160861492157,-0.7067328095436096,0.4987160861492157,0.4987160861492157
A crumb being greater than 10.,far,0.1333333333333333,0.8666666666666667,0.6643375158309937,0.3489925265312195,-0.5642861127853394,0.3489925265312195,0.3489925265312195
A door being a multiple of 5.,far,0.0,1.0,0.9389443397521973,0.41124749183654785,-1.0203086137771606,0.41124749183654785,0.41124749183654785
A door feeling regretful.,near,0.2857142857142857,0.7142857142857143,0.8203039765357971,0.527087926864624,-0.6675214767456055,0.527087926864624,0.527087926864624
A girl writing a play.,probable,1.0,0.0,0.9256208539009094,0.4664704203605652,-0.7972054481506348,0.4664704203605652,0.4664704203605652
A kilogram being a prime number.,near,0.4444444444444444,0.5555555555555556,1.1946219205856323,0.39700978994369507,-1.0906671285629272,0.39700978994369507,0.39700978994369507
A kilogram writing a play.,far,0.0,1.0,0.9926548004150391,0.38490402698516846,-0.7100741267204285,0.38490402698516846,0.38490402698516846
A liter being a multiple of 5.,near,0.75,0.25,0.8971368074417114,0.36406487226486206,-0.9734739065170288,0.36406487226486206,0.36406487226486206
A liter feeling regretful.,far,0.1428571428571428,0.8571428571428571,0.792919397354126,0.564852774143219,-0.5865405201911926,0.564852774143219,0.564852774143219
A man being a multiple of 5.,far,0.2222222222222222,0.7777777777777778,0.9074575901031494,0.3761293888092041,-0.9592339992523193,0.3761293888092041,0.3761293888092041
A man feeling regretful.,probable,1.0,0.0,0.7960487008094788,0.5201972723007202,-0.7168457508087158,0.5201972723007202,0.5201972723007202
A mile being surprised by a news article.,far,0.0,1.0,0.8628031015396118,0.4634074866771698,-0.6785401701927185,0.4634074866771698,0.4634074866771698
A pill being amused by a tv show.,near,0.2,0.8,0.7494450211524963,0.4613698124885559,-0.7953634262084961,0.4613698124885559,0.4613698124885559
A rock being a prime number.,far,0.0833333333333333,0.9166666666666666,1.1179723739624023,0.45053350925445557,-1.0811091661453247,0.45053350925445557,0.45053350925445557
A rock writing a play.,near,0.2727272727272727,0.7272727272727273,0.8429970741271973,0.4600173830986023,-0.6154566407203674,0.4600173830986023,0.4600173830986023
A shirt being surprised by a news article.,near,0.2,0.8,0.8805148601531982,0.4411858916282654,-0.8581004738807678,0.4411858916282654,0.4411858916282654
A teenager being surprised by a news article.,probable,1.0,0.0,0.8791001439094543,0.43772298097610474,-0.8250888586044312,0.43772298097610474,0.43772298097610474
A toddler being amused by a tv show.,probable,1.0,0.0,0.7486311197280884,0.40375882387161255,-0.8247045874595642,0.40375882387161255,0.40375882387161255
A wall being entertained by a podcast.,near,0.25,0.75,0.8378877639770508,0.5672427415847778,-0.7109909057617188,0.5672427415847778,0.5672427415847778
A week being entertained by a podcast.,far,0.5454545454545454,0.4545454545454545,0.851061224937439,0.4997755289077759,-0.6701030135154724,0.4997755289077759,0.4997755289077759
A woman applying for a job.,probable,1.0,0.0,0.8005615472793579,0.4637361764907837,-0.7684114575386047,0.4637361764907837,0.4637361764907837
A woman being greater than 10.,far,0.4666666666666667,0.5333333333333333,0.7254223227500916,0.34586888551712036,-0.6759839057922363,0.34586888551712036,0.34586888551712036
Adding a boy to 79.,far,0.0,1.0,0.6600600481033325,0.3509114384651184,-0.5074606537818909,0.3509114384651184,0.3509114384651184
Adding a wall to 79.,far,0.0,1.0,0.6105412840843201,0.3357737958431244,-0.3578079342842102,0.3357737958431244,0.3357737958431244
Adding a week to 79.,near,0.4166666666666667,0.5833333333333334,0.6224586963653564,0.342886745929718,-0.386974573135376,0.342886745929718,0.342886745929718
An inch applying for a job.,far,0.0714285714285714,0.9285714285714286,0.9141241908073425,0.4772672951221466,-0.721104621887207,0.4772672951221466,0.4772672951221466
Dividing 12 by a mile.,near,0.125,0.875,0.7183465957641602,0.503337025642395,-0.6418300867080688,0.503337025642395,0.503337025642395
Dividing 12 by a shirt.,far,0.0769230769230769,0.9230769230769232,0.7949861288070679,0.4110104739665985,-0.7699610590934753,0.4110104739665985,0.4110104739665985
Dividing 12 by a teenager.,far,0.0,1.0,0.8175240755081177,0.4131072759628296,-0.6986454129219055,0.4131072759628296,0.4131072759628296
Dividing 12 by the number 4.,probable,0.8,0.2,0.6843653321266174,0.41268491744995117,-0.8527023196220398,0.41268491744995117,0.41268491744995117
Taking the square root of a month.,near,0.2222222222222222,0.7777777777777778,0.8626409769058228,0.4372052252292633,-0.9142359495162964,0.4372052252292633,0.4372052252292633
Taking the square root of a pill.,far,0.1111111111111111,0.8888888888888888,0.9344052076339722,0.40980514883995056,-0.872370719909668,0.40980514883995056,0.40980514883995056
Taking the square root of a toddler.,far,0.0,1.0,0.8874766826629639,0.43047040700912476,-0.9099997878074646,0.43047040700912476,0.43047040700912476
The number 10 being a multiple of 5.,probable,0.9230769230769232,0.0769230769230769,0.9478011131286621,0.30647575855255127,-1.040088415145874,0.30647575855255127,0.30647575855255127
The number 10 feeling regretful.,far,0.25,0.75,0.8736343383789062,0.49483630061149597,-0.5486413836479187,0.49483630061149597,0.49483630061149597
The number 12 applying for a job.,far,0.3,0.7,0.9842058420181274,0.42834383249282837,-0.7800511717796326,0.42834383249282837,0.42834383249282837
The number 12 being greater than 10.,probable,0.8888888888888888,0.1111111111111111,0.8528487682342529,0.33182790875434875,-0.927568793296814,0.33182790875434875,0.33182790875434875
The number 13 being a prime number.,probable,0.8823529411764706,0.1176470588235294,1.0355068445205688,0.3879784941673279,-1.080917477607727,0.3879784941673279,0.3879784941673279
The number 13 writing a play.,far,0.0,1.0,0.8363372087478638,0.34080591797828674,-0.6041616201400757,0.34080591797828674,0.34080591797828674
The number 16 being amused by a tv show.,far,0.1,0.9,0.8730393648147583,0.4043880105018616,-0.8148882985115051,0.4043880105018616,0.4043880105018616
The number 20 being entertained by a podcast.,far,0.2727272727272727,0.7272727272727273,0.9372961521148682,0.4437677264213562,-0.7506750822067261,0.4437677264213562,0.4437677264213562
The number 4 being surprised by a news article.,far,0.0833333333333333,0.9166666666666666,0.9325885772705078,0.3893964886665344,-0.7361491918563843,0.3893964886665344,0.3893964886665344
