item_set_id,sentence,label,voice
1,The actor won the award.,probable,active
1,The actor won the battle.,improbable,active
2,The anchorman told the news.,probable,active
2,The anchorman told the parable.,improbable,active
3,The animal found the food.,probable,active
3,The animal found the map.,improbable,active
4,The ant stacked the supply.,probable,active
4,The ant stacked the suitcase.,improbable,active
5,The archeologist examined the epigraph.,probable,active
5,The archeologist examined the dog.,improbable,active
6,The archer released the arrow.,probable,active
6,The archer released the interview.,improbable,active
7,The artist assembled the art.,probable,active
7,The artist assembled the tent.,improbable,active
8,The artist hung the picture.,probable,active
8,The artist hung the motorcycle.,improbable,active
9,The assistant helped the cook.,probable,active
9,The assistant helped the soldier.,improbable,active
10,The astronaut reached the moon.,probable,active
10,The astronaut reached the baker.,improbable,active
11,The astronaut touched the ground.,probable,active
11,The astronaut touched the guitar.,improbable,active
12,The athlete celebrated the victory.,probable,active
12,The athlete celebrated the marriage.,improbable,active
13,The athlete started the match.,probable,active
13,The athlete started the vacuum.,improbable,active
14,The athlete won the cup.,probable,active
14,The athlete won the toy.,improbable,active
15,The author signed the book.,probable,active
15,The author signed the check.,improbable,active
16,The baker gathered the bread.,probable,active
16,The baker gathered the soldier.,improbable,active
17,The baker sold the bread.,probable,active
17,The baker sold the stroller.,improbable,active
18,The bank assigned the code.,probable,active
18,The bank assigned the book.,improbable,active
19,The barber cut the hair.,probable,active
19,The barber cut the cake.,improbable,active
20,The barber used the razor.,probable,active
20,The barber used the microscope.,improbable,active
21,The bartender handed the drink.,probable,active
21,The bartender handed the lancet.,improbable,active
22,The bartender shook the drink.,probable,active
22,The bartender shook the flag.,improbable,active
23,The beautician spread the cream.,probable,active
23,The beautician spread the paint.,improbable,active
24,The biker started the motorcycle.,probable,active
24,The biker started the lesson.,improbable,active
25,The biker wore the helmet.,probable,active
25,The biker wore the swimsuit.,improbable,active
26,The billionaire donated the money.,probable,active
26,The billionaire donated the book.,improbable,active
27,The binman collected the trash.,probable,active
27,The binman collected the flower.,improbable,active
28,The biologist used the microscope.,probable,active
28,The biologist used the razor.,improbable,active
29,The blacksmith poured the metal.,probable,active
29,The blacksmith poured the wine.,improbable,active
30,The bodybuilder lifted the weight.,probable,active
30,The bodybuilder lifted the flag.,improbable,active
31,The boss assigned the job.,probable,active
31,The boss assigned the medal.,improbable,active
32,The boss promised the promotion.,probable,active
32,The boss promised the heaven.,improbable,active
33,The botanist examined the plant.,probable,active
33,The botanist examined the tire.,improbable,active
34,The boxer delivered the punch.,probable,active
34,The boxer delivered the drink.,improbable,active
35,The breeder sold the dog.,probable,active
35,The breeder sold the cigarette.,improbable,active
36,The burglar climbed the wall.,probable,active
36,The burglar climbed the rock.,improbable,active
37,The businessman read the report.,probable,active
37,The businessman read the fable.,improbable,active
38,The businessman tied the necktie.,probable,active
38,The businessman tied the prisoner.,improbable,active
39,The businessman wore the tie.,probable,active
39,The businessman wore the uniform.,improbable,active
40,The butcher carved the meat.,probable,active
40,The butcher carved the stone.,improbable,active
41,The butcher cut the meat.,probable,active
41,The butcher cut the tree.,improbable,active
42,The butcher sold the meat.,probable,active
42,The butcher sold the weapon.,improbable,active
43,The butcher used the knife.,probable,active
43,The butcher used the camera.,improbable,active
44,The cameraman recorded the video.,probable,active
44,The cameraman recorded the sale.,improbable,active
45,The candidate celebrated the victory.,probable,active
45,The candidate celebrated the holiday.,improbable,active
46,The carpenter fixed the chair.,probable,active
46,The carpenter fixed the shoe.,improbable,active
47,The carpenter flipped the board.,probable,active
47,The carpenter flipped the hair.,improbable,active
48,The carpenter grabbed the board.,probable,active
48,The carpenter grabbed the ball.,improbable,active
49,The carver built the sculpture.,probable,active
49,The carver built the house.,improbable,active
50,The cat chased the bird.,probable,active
50,The cat chased the kite.,improbable,active
51,The cat drank the milk.,probable,active
51,The cat drank the coffee.,improbable,active
52,The champion held the cup.,probable,active
52,The champion held the guitar.,improbable,active
53,The chauffeur carried the passenger.,probable,active
53,The chauffeur carried the rifle.,improbable,active
54,The cheerleader carried the flag.,probable,active
54,The cheerleader carried the rifle.,improbable,active
55,The cheerleader performed the dance.,probable,active
55,The cheerleader performed the spell.,improbable,active
56,The cheerleader shook the flag.,probable,active
56,The cheerleader shook the drink.,improbable,active
57,The chemist mixed the substance.,probable,active
57,The chemist mixed the music.,improbable,active
58,The chemist poured the compound.,probable,active
58,The chemist poured the juice.,improbable,active
59,The chemist sold the drug.,probable,active
59,The chemist sold the dog.,improbable,active
60,The child ate the candy.,probable,active
60,The child ate the bone.,improbable,active
61,The child built the snowman.,probable,active
61,The child built the sculpture.,improbable,active
62,The child celebrated the birthday.,probable,active
62,The child celebrated the victory.,improbable,active
63,The child chased the toy.,probable,active
63,The child chased the thief.,improbable,active
64,The child climbed the tree.,probable,active
64,The child climbed the mountain.,improbable,active
65,The child crossed the park.,probable,active
65,The child crossed the river.,improbable,active
66,The child cut the paper.,probable,active
66,The child cut the tree.,improbable,active
67,The child drank the coke.,probable,active
67,The child drank the beer.,improbable,active
68,The child drew the flower.,probable,active
68,The child drew the horse.,improbable,active
69,The child enjoyed the ride.,probable,active
69,The child enjoyed the lecture.,improbable,active
70,The child found the doll.,probable,active
70,The child found the corpse.,improbable,active
71,The child grabbed the frisbee.,probable,active
71,The child grabbed the tyre.,improbable,active
72,The child lent the pen.,probable,active
72,The child lent the car.,improbable,active
73,The child opened the present.,probable,active
73,The child opened the congress.,improbable,active
74,The child picked the flower.,probable,active
74,The child picked the investment.,improbable,active
75,The child rode the bus.,probable,active
75,The child rode the bull.,improbable,active
76,The child threw the ball.,probable,active
76,The child threw the bottle.,improbable,active
77,The child threw the snowball.,probable,active
77,The child threw the spear.,improbable,active
78,The child told the lie.,probable,active
78,The child told the verdict.,improbable,active
79,The child visited the grandmother.,probable,active
79,The child visited the president.,improbable,active
80,The child visited the zoo.,probable,active
80,The child visited the prisoner.,improbable,active
81,The child wrote the conjugation.,probable,active
81,The child wrote the diagnosis.,improbable,active
82,The climber climbed the rock.,probable,active
82,The climber climbed the staircase.,improbable,active
83,The climber faced the wall.,probable,active
83,The climber faced the ocean.,improbable,active
84,The climber used the rope.,probable,active
84,The climber used the blackboard.,improbable,active
85,The coach checked the team.,probable,active
85,The coach checked the car.,improbable,active
86,The cobbler fixed the shoe.,probable,active
86,The cobbler fixed the phone.,improbable,active
87,The cobbler sewed the shoe.,probable,active
87,The cobbler sewed the parachute.,improbable,active
88,The collector donated the painting.,probable,active
88,The collector donated the blood.,improbable,active
89,The comedian entertained the audience.,probable,active
89,The comedian entertained the soldier.,improbable,active
90,The confectioner decorated the cake.,probable,active
90,The confectioner decorated the tree.,improbable,active
91,The confectioner spread the icing.,probable,active
91,The confectioner spread the cement.,improbable,active
92,The cook bought the food.,probable,active
92,The cook bought the ticket.,improbable,active
93,The cook checked the groceries.,probable,active
93,The cook checked the tire.,improbable,active
94,The cook cleaned the fish.,probable,active
94,The cook cleaned the window.,improbable,active
95,The cook cut the fish.,probable,active
95,The cook cut the grass.,improbable,active
96,The cook flipped the pancake.,probable,active
96,The cook flipped the hair.,improbable,active
97,The cook mixed the ingredient.,probable,active
97,The cook mixed the paint.,improbable,active
98,The cowboy enjoyed the ride.,probable,active
98,The cowboy enjoyed the snack.,improbable,active
99,The cowboy rode the bull.,probable,active
99,The cowboy rode the bike.,improbable,active
100,The crew loaded the container.,probable,active
100,The crew loaded the stroller.,improbable,active
101,The customer read the menu.,probable,active
101,The customer read the music.,improbable,active
102,The cyclist completed the race.,probable,active
