sentence,label,possible,impossible,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone is about to be born with 12 toes.,improbable,0.8918918918918919,0.1081081081081081,1.0278148651123047,-0.14500072598457336,-1.0576086044311523,-0.14500072598457336,-1.2392653226852417
Someone is about to be born with 2 feet.,possible,1.0,0.0,1.1908698081970215,-0.1607692986726761,-0.9286166429519653,-0.1607692986726761,-1.0973026752471924
Someone is about to be born with 2 wings.,impossible,0.0789473684210526,0.9210526315789472,1.407012939453125,-0.10242895781993866,-0.7653869986534119,-0.10242895781993866,-1.0634077787399292
Someone is about to buy a large rock.,possible,0.9487179487179488,0.0512820512820512,1.235580325126648,-0.16184820234775543,-1.1548277139663696,-0.16184820234775543,-1.215322494506836
Someone is about to clean a car.,possible,1.0,0.0,1.0216044187545776,-0.06150464713573456,-0.9509833455085754,-0.06150464713573456,-1.158040165901184
Someone is about to clean a cloud.,impossible,0.05,0.95,1.3219704627990723,-0.06449099630117416,-1.0388662815093994,-0.06449099630117416,-1.0151846408843994
Someone is about to clean a road.,improbable,0.9743589743589745,0.0256410256410256,1.1658618450164795,-0.05580899119377136,-1.044722080230713,-0.05580899119377136,-1.0404229164123535
Someone is about to count all of the hairs on a dog.,improbable,0.2972972972972973,0.7027027027027027,0.919705867767334,-0.1592836081981659,-1.104933500289917,-0.1592836081981659,-1.1679993867874146
Someone is about to count all of the sand in the world.,impossible,0.025,0.975,1.152795433998108,-0.17462748289108276,-0.9029398560523987,-0.17462748289108276,-1.0262926816940308
Someone is about to count all of the students in a room.,possible,1.0,0.0,0.5959523916244507,-0.20690900087356567,-1.0536911487579346,-0.20690900087356567,-1.0522770881652832
Someone is about to cut the line to go into the store.,improbable,1.0,0.0,1.064305067062378,-0.05112157762050629,-1.1012530326843262,-0.05112157762050629,-1.1744753122329712
Someone is about to eat a brownie for dessert.,possible,1.0,0.0,0.9123571515083313,-0.08854615688323975,-1.1142544746398926,-0.08854615688323975,-1.120485782623291
Someone is about to eat a large rock.,impossible,0.1944444444444444,0.8055555555555556,1.1036324501037598,-0.13819897174835205,-1.108344554901123,-0.13819897174835205,-1.0941989421844482
Someone is about to eat a lollipop.,possible,1.0,0.0,1.0214180946350098,-0.09423618018627167,-1.0778000354766846,-0.09423618018627167,-1.157893180847168
Someone is about to eat a pickle for dessert.,improbable,0.95,0.05,1.0586345195770264,-0.08096477389335632,-1.1341190338134766,-0.08096477389335632,-1.1302666664123535
Someone is about to eat a planet.,impossible,0.025,0.975,1.320857048034668,-0.0771627277135849,-0.8486661911010742,-0.0771627277135849,-0.8859841227531433
Someone is about to eat a rainbow for dessert.,impossible,0.0,1.0,1.1516106128692627,-0.08655408024787903,-1.108942985534668,-0.08655408024787903,-1.0127389430999756
Someone is about to eat a whole sandwich for dinner.,possible,1.0,0.0,0.9022525548934937,-0.10470138490200043,-1.084783911705017,-0.10470138490200043,-1.0186576843261719
Someone is about to eat a whole turkey for dinner.,improbable,0.9,0.1,1.0097472667694092,-0.09382674098014832,-1.0008906126022339,-0.09382674098014832,-1.0587162971496582
Someone is about to eat a whole whale for dinner.,impossible,0.0263157894736842,0.9736842105263158,1.2286187410354614,-0.11717917025089264,-0.985137939453125,-0.11717917025089264,-1.0417461395263672
Someone is about to eat an insect.,improbable,0.9743589743589745,0.0256410256410256,1.197432518005371,-0.13329434394836426,-1.0905137062072754,-0.13329434394836426,-1.1367597579956055
Someone is about to find a monkey in a closet.,improbable,0.7368421052631579,0.2631578947368421,1.269872784614563,-0.12056143581867218,-1.050724744796753,-0.12056143581867218,-1.1909542083740234
Someone is about to find a sweater in a closet.,possible,1.0,0.0,0.9482673406600952,-0.08837060630321503,-0.943474292755127,-0.08837060630321503,-1.1139863729476929
Someone is about to find a unicorn in a closet.,impossible,0.075,0.925,1.3986738920211792,-0.06868508458137512,-1.0053954124450684,-0.06868508458137512,-1.1441645622253418
Someone is about to have a cat as a pet.,possible,1.0,0.0,1.0463582277297974,-0.19424472749233246,-0.9441187381744385,-0.19424472749233246,-1.1417402029037476
Someone is about to have a lion as a pet.,improbable,0.6666666666666666,0.3333333333333333,1.0142887830734253,-0.24036987125873566,-1.044547200202942,-0.24036987125873566,-1.2123432159423828
Someone is about to have the moon as a pet.,impossible,0.0256410256410256,0.9743589743589745,1.2964086532592773,-0.18326595425605774,-1.0479447841644287,-0.18326595425605774,-1.2010350227355957
Someone is about to know the name of someone they just met.,possible,0.9705882352941176,0.0294117647058823,0.8982938528060913,0.007756829261779785,-0.8754217624664307,0.007756829261779785,-1.0358320474624634
Someone is about to know the names of everyone in the world.,impossible,0.0256410256410256,0.9743589743589745,0.9761215448379517,-0.03746248781681061,-0.856724739074707,-0.03746248781681061,-0.8625702857971191
Someone is about to know the names of everyone they ever met.,improbable,0.5526315789473685,0.4473684210526316,0.8289189338684082,-0.04863571375608444,-0.8254832029342651,-0.04863571375608444,-0.9654729962348938
Someone is about to live for 1000 years.,impossible,0.0,1.0,1.269589900970459,-0.07291150093078613,-0.8724617958068848,-0.07291150093078613,-0.9503235816955566
Someone is about to live for 110 years.,improbable,1.0,0.0,1.2165194749832153,-0.09737257659435272,-0.9079941511154175,-0.09737257659435272,-1.001625657081604
Someone is about to live for 60 years.,possible,1.0,0.0,1.1039642095565796,-0.09844787418842316,-0.8638120889663696,-0.09844787418842316,-0.7708726525306702
Someone is about to magically appear into the store.,impossible,0.0526315789473684,0.9473684210526316,1.4035487174987793,-0.006986945867538452,-0.9556254148483276,-0.006986945867538452,-0.943784236907959
Someone is about to make a house out of bricks.,possible,0.975,0.025,1.3304046392440796,-0.056191906332969666,-0.9342459440231323,-0.056191906332969666,-1.09033203125
Someone is about to make a house out of gas.,impossible,0.0,1.0,1.5583117008209229,-0.1032218188047409,-0.8732574582099915,-0.1032218188047409,-1.0548744201660156
Someone is about to make a house out of grass.,improbable,0.5135135135135135,0.4864864864864865,1.3090131282806396,-0.01390954852104187,-1.0316141843795776,-0.01390954852104187,-1.2283450365066528
Someone is about to make their friend cry.,improbable,1.0,0.0,1.25557279586792,-0.05288940668106079,-0.8756891489028931,-0.05288940668106079,-1.0649255514144897
Someone is about to make their friend shrink.,impossible,0.0789473684210526,0.9210526315789472,1.5721440315246582,-0.026664286851882935,-0.7658706903457642,-0.026664286851882935,-1.1035946607589722
Someone is about to make their friend smile.,possible,1.0,0.0,1.2690684795379639,-0.04870828986167908,-0.8430193662643433,-0.04870828986167908,-0.9998295307159424
Someone is about to move a marble with their breath.,improbable,0.8205128205128205,0.1794871794871795,1.1238844394683838,-0.05501921474933624,-1.0006358623504639,-0.05501921474933624,-1.2154948711395264
Someone is about to move a marble with their hand.,possible,1.0,0.0,0.8380105495452881,-0.09508699178695679,-1.1874020099639893,-0.09508699178695679,-1.2821606397628784
Someone is about to move a marble with their mind.,impossible,0.0512820512820512,0.9487179487179488,0.9160884618759155,-0.07909935712814331,-1.0653893947601318,-0.07909935712814331,-1.1219524145126343
Someone is about to not eat for 1 hour.,possible,1.0,0.0,1.147807240486145,-0.06583738327026367,-0.9781178832054138,-0.06583738327026367,-0.810675859451294
Someone is about to not eat for 10 days.,improbable,0.8108108108108109,0.1891891891891892,1.2023825645446777,-0.15409937500953674,-0.8912711143493652,-0.15409937500953674,-0.8447303771972656
Someone is about to not eat for 100 days.,impossible,0.054054054054054,0.945945945945946,1.278324842453003,-0.20552712678909302,-0.9454230070114136,-0.20552712678909302,-1.0215357542037964
Someone is about to open a window with their breath.,impossible,0.1351351351351351,0.8648648648648649,1.0729920864105225,-0.10828016698360443,-0.9163403511047363,-0.10828016698360443,-1.100954294204712
