,stimuli,layer,improbable_impossible_projection,impossible_inconceivable_projection
0,filling a bucket with buildings_impossible,0,-0.07568359375,-0.031982421875
1,filling a bucket with buildings_impossible,1,-0.12158203125,-0.4140625
2,filling a bucket with buildings_impossible,2,-0.057373046875,-0.375
3,filling a bucket with buildings_impossible,3,0.421875,-0.72265625
4,filling a bucket with buildings_impossible,4,-0.28515625,-2.4375
5,filling a bucket with buildings_impossible,5,1.0078125,-0.26171875
6,filling a bucket with buildings_impossible,6,-0.73828125,-2.6875
7,filling a bucket with buildings_impossible,7,-0.1328125,-7.09375
8,filling a bucket with buildings_impossible,8,-0.296875,-7.78125
9,filling a bucket with buildings_impossible,9,0.2197265625,-5.4375
10,filling a bucket with buildings_impossible,10,1.9453125,-9.125
11,filling a bucket with buildings_impossible,11,2.65625,-11.75
12,filling a bucket with buildings_impossible,12,1.859375,-10.25
13,filling a bucket with buildings_impossible,13,4.21875,-13.5625
14,filling a bucket with buildings_impossible,14,4.71875,-12.9375
15,filling a bucket with buildings_impossible,15,2.328125,-19.125
16,filling a bucket with buildings_impossible,16,3.0625,-16.375
17,filling a bucket with buildings_impossible,17,-0.314453125,-16.125
18,filling a bucket with buildings_impossible,18,-0.25390625,-18.125
19,filling a bucket with buildings_impossible,19,-1.4453125,-14.6875
20,filling a bucket with buildings_impossible,20,0.2001953125,-13.3125
21,filling a bucket with buildings_impossible,21,2.953125,-11.6875
22,filling a bucket with buildings_impossible,22,3.203125,-13.375
23,filling a bucket with buildings_impossible,23,5.125,-13.0
24,filling a bucket with buildings_impossible,24,6.1875,-10.75
25,filling a bucket with buildings_impossible,25,7.40625,14.0
26,drying laundry using a fan_improbable,0,-0.0595703125,-0.1279296875
27,drying laundry using a fan_improbable,1,-0.1640625,-0.490234375
28,drying laundry using a fan_improbable,2,-0.1123046875,-0.435546875
29,drying laundry using a fan_improbable,3,0.0206298828125,-1.2265625
30,drying laundry using a fan_improbable,4,-0.671875,-2.75
31,drying laundry using a fan_improbable,5,0.35546875,-1.21875
32,drying laundry using a fan_improbable,6,-1.484375,-4.0625
33,drying laundry using a fan_improbable,7,-1.46875,-8.8125
34,drying laundry using a fan_improbable,8,-2.296875,-9.875
35,drying laundry using a fan_improbable,9,-2.65625,-8.3125
36,drying laundry using a fan_improbable,10,-1.59375,-12.3125
37,drying laundry using a fan_improbable,11,-3.140625,-16.875
38,drying laundry using a fan_improbable,12,-4.84375,-15.1875
39,drying laundry using a fan_improbable,13,-3.28125,-18.125
40,drying laundry using a fan_improbable,14,-3.125,-17.25
41,drying laundry using a fan_improbable,15,-7.4375,-25.375
42,drying laundry using a fan_improbable,16,-6.78125,-21.625
43,drying laundry using a fan_improbable,17,-9.875,-20.375
44,drying laundry using a fan_improbable,18,-10.875,-21.25
45,drying laundry using a fan_improbable,19,-11.625,-18.375
46,drying laundry using a fan_improbable,20,-10.8125,-17.25
47,drying laundry using a fan_improbable,21,-8.3125,-15.9375
48,drying laundry using a fan_improbable,22,-8.0,-17.5
49,drying laundry using a fan_improbable,23,-7.21875,-17.625
50,drying laundry using a fan_improbable,24,-6.6875,-14.375
51,drying laundry using a fan_improbable,25,-6.34375,6.875
52,unlocking a door using a marshmallow_impossible,0,-0.05810546875,-0.11083984375
53,unlocking a door using a marshmallow_impossible,1,-0.140625,-0.470703125
54,unlocking a door using a marshmallow_impossible,2,-0.08056640625,-0.419921875
55,unlocking a door using a marshmallow_impossible,3,0.78125,-0.8671875
56,unlocking a door using a marshmallow_impossible,4,0.00335693359375,-2.125
57,unlocking a door using a marshmallow_impossible,5,1.578125,0.03369140625
58,unlocking a door using a marshmallow_impossible,6,-0.2890625,-3.078125
59,unlocking a door using a marshmallow_impossible,7,0.03271484375,-8.0
60,unlocking a door using a marshmallow_impossible,8,-0.3671875,-9.25
61,unlocking a door using a marshmallow_impossible,9,0.625,-7.34375
62,unlocking a door using a marshmallow_impossible,10,2.28125,-11.0
63,unlocking a door using a marshmallow_impossible,11,3.90625,-14.3125
64,unlocking a door using a marshmallow_impossible,12,2.015625,-13.5
65,unlocking a door using a marshmallow_impossible,13,4.15625,-17.75
66,unlocking a door using a marshmallow_impossible,14,4.90625,-17.375
67,unlocking a door using a marshmallow_impossible,15,1.703125,-25.25
68,unlocking a door using a marshmallow_impossible,16,2.1875,-23.0
69,unlocking a door using a marshmallow_impossible,17,-0.64453125,-22.0
70,unlocking a door using a marshmallow_impossible,18,0.203125,-24.625
71,unlocking a door using a marshmallow_impossible,19,-0.6328125,-21.375
72,unlocking a door using a marshmallow_impossible,20,0.9375,-20.125
73,unlocking a door using a marshmallow_impossible,21,3.78125,-19.0
74,unlocking a door using a marshmallow_impossible,22,4.125,-20.875
75,unlocking a door using a marshmallow_impossible,23,5.84375,-20.875
76,unlocking a door using a marshmallow_impossible,24,6.6875,-19.75
77,unlocking a door using a marshmallow_impossible,25,8.9375,0.9765625
78,building a bridge out of plastic_improbable,0,-0.041259765625,-0.1376953125
79,building a bridge out of plastic_improbable,1,-0.1591796875,-0.34765625
80,building a bridge out of plastic_improbable,2,-0.0908203125,-0.333984375
81,building a bridge out of plastic_improbable,3,0.427734375,-1.046875
82,building a bridge out of plastic_improbable,4,-0.490234375,-2.6875
83,building a bridge out of plastic_improbable,5,0.69921875,-0.99609375
84,building a bridge out of plastic_improbable,6,-1.109375,-3.734375
85,building a bridge out of plastic_improbable,7,-0.8203125,-8.5625
86,building a bridge out of plastic_improbable,8,-0.99609375,-9.375
87,building a bridge out of plastic_improbable,9,-0.8359375,-7.90625
88,building a bridge out of plastic_improbable,10,0.41796875,-11.875
89,building a bridge out of plastic_improbable,11,-0.2412109375,-15.6875
90,building a bridge out of plastic_improbable,12,-1.6640625,-14.0625
91,building a bridge out of plastic_improbable,13,0.69921875,-17.125
92,building a bridge out of plastic_improbable,14,1.5,-16.0
93,building a bridge out of plastic_improbable,15,-0.90234375,-22.125
94,building a bridge out of plastic_improbable,16,0.2353515625,-19.5
95,building a bridge out of plastic_improbable,17,-2.90625,-18.5
96,building a bridge out of plastic_improbable,18,-1.8125,-20.0
97,building a bridge out of plastic_improbable,19,-2.25,-16.25
98,building a bridge out of plastic_improbable,20,-0.53125,-14.8125
99,building a bridge out of plastic_improbable,21,2.46875,-13.25
100,building a bridge out of plastic_improbable,22,2.703125,-15.1875
101,building a bridge out of plastic_improbable,23,4.53125,-14.6875
102,building a bridge out of plastic_improbable,24,5.125,-13.3125
103,building a bridge out of plastic_improbable,25,5.625,8.875
104,cooking dinner out of the moon_impossible,0,-0.04248046875,-0.062255859375
105,cooking dinner out of the moon_impossible,1,-0.125,-0.275390625
106,cooking dinner out of the moon_impossible,2,-0.049072265625,-0.2265625
107,cooking dinner out of the moon_impossible,3,0.640625,-0.326171875
108,cooking dinner out of the moon_impossible,4,-0.1845703125,-2.09375
109,cooking dinner out of the moon_impossible,5,1.28125,0.2265625
110,cooking dinner out of the moon_impossible,6,-0.53125,-2.71875
111,cooking dinner out of the moon_impossible,7,0.326171875,-7.15625
112,cooking dinner out of the moon_impossible,8,0.419921875,-7.40625
113,cooking dinner out of the moon_impossible,9,1.0859375,-5.53125
114,cooking dinner out of the moon_impossible,10,2.609375,-9.25
115,cooking dinner out of the moon_impossible,11,2.78125,-12.375
116,cooking dinner out of the moon_impossible,12,1.8671875,-10.375
117,cooking dinner out of the moon_impossible,13,4.875,-13.6875
118,cooking dinner out of the moon_impossible,14,5.03125,-13.1875
119,cooking dinner out of the moon_impossible,15,2.359375,-18.75
120,cooking dinner out of the moon_impossible,16,3.25,-16.625
