,stimuli,condition,elo
0,writing an equation on a scream_inconceivable,inconceivable,1383.3493525237714
1,shattering a window using confetti_impossible,impossible,1407.9554069400585
2,cutting cardboard using a snore_inconceivable,inconceivable,1339.371402680074
3,painting a wall using a whisper_inconceivable,inconceivable,1312.4862339642616
4,hanging a painting using a handshake_inconceivable,inconceivable,1338.9629334831372
5,digging a hole using dirt_impossible,impossible,1401.0683518036578
6,unlocking a door using a marshmallow_impossible,impossible,1360.6102045983441
7,taking a vacation to the sun_impossible,impossible,1309.7109074762427
8,drinking a cup full of minutes_inconceivable,inconceivable,1494.5463382352032
9,building a bridge out of plastic_improbable,improbable,1412.7902760909792
10,filling a bucket with buildings_impossible,impossible,1351.5849215737223
11,eating soup using a bucket_improbable,improbable,1382.055817836721
12,packing a suit inside a pocket_improbable,improbable,1397.5913618244222
13,sewing a shirt using a toothpick_improbable,improbable,1389.008498608458
14,baking a cake inside a sigh_inconceivable,inconceivable,1344.4880698194158
15,squishing a blueberry using [POSS] nose_improbable,improbable,1444.8450262254432
16,drying laundry using a fan_improbable,improbable,1416.5796017825912
17,cooling a room using a taste_inconceivable,inconceivable,1279.3463897076997
18,crafting a bowl out of smoke_impossible,impossible,1369.0749028480298
19,carving a statue using a sock_impossible,impossible,1368.4721593838067
20,plucking a hair using sympathy_inconceivable,inconceivable,1334.1260988933564
21,polishing jewelry using a chainsaw_impossible,impossible,1391.1465733196148
22,catching a fish in a puddle_improbable,improbable,1401.9535847126479
23,cleaning a spill using a country_inconceivable,inconceivable,1407.8894545216694
24,cooking dinner out of the moon_impossible,impossible,1347.3896552611013
25,lighting a candle using yogurt_impossible,impossible,1379.6840405133269
26,denting a car with a dumbbell_improbable,improbable,1327.5310887061632
27,carrying groceries inside a backpack_improbable,improbable,1377.3116513208872
28,crushing a soda can using a chair_improbable,improbable,1379.807366888135
29,shaving [POSS] beard using a belief_inconceivable,inconceivable,1381.2623284570586
