sentence,5-Gram Log-Prob,GPT2-XL Log-Prob,PCFG Log-Prob,Arousal,Conversational,Sense,Gram.,Frequency,Imageability,Others Thoughts,Physical,Places,Valence
"""I think it's overblown,"" he said.",-2.2106595262885,-2.1182187,-8.2975136363636,2.4117647058824,3.6666666666667,6.9411764705882,6.5294117647059,5.1875,3.6875,6.0714285714286,1.2666666666667,1.0,1.9444444444444
A Begins address is legalizing required.,-3.8623088087354,-10.221188,-12.2425085714286,1.6,1.1333333333333,1.4166666666667,2.4166666666667,1.1176470588235,1.3333333333333,1.1176470588235,1.1875,1.125,1.1538461538462
A PH of a reporters Aw.,-3.2789429255894,-8.81247,-12.5897914285714,1.3333333333333,1.0,1.25,2.9166666666667,1.1176470588235,1.1666666666667,1.1764705882353,1.375,1.0625,1.2307692307692
A bunny can be fluffy sometimes.,-3.4308373417173,-5.690008,-10.9251742857143,3.2777777777778,4.9375,6.9444444444444,6.8333333333333,5.1875,6.1333333333333,3.125,5.5,2.4285714285714,5.2941176470588
A car drove down the road.,-1.9424080167498,-4.052844,-9.97484,2.2222222222222,5.9375,6.8333333333333,7.0,6.625,6.2666666666667,2.8125,6.6875,4.8571428571429,3.4117647058824
"A childish notion, to be sure.",-2.9417276723044,-3.7634919,-8.94180625,1.7857142857143,4.2666666666667,6.9333333333333,6.5333333333333,4.6666666666667,2.3076923076923,4.3888888888889,1.5714285714286,1.3333333333333,2.5
A cigarette would taste particularly good.,-3.1213825941086,-6.1558943,-11.7069014285714,3.4,5.0666666666667,6.25,6.75,5.2352941176471,4.75,4.5294117647059,5.1875,2.0625,2.6923076923077
A creature both demon and beast.,-3.3028007745743,-5.3408337,-14.0799685714286,5.1875,3.25,6.1818181818182,5.3636363636364,3.4375,4.9375,2.8235294117647,4.4666666666667,2.0,1.5
A fully substantiated and provable fact.,-3.2107419768969,-4.611006,-13.5989785714286,3.3571428571429,4.5,6.8461538461538,6.3076923076923,4.2941176470588,1.625,2.7777777777778,1.2307692307692,1.1875,3.8823529411765
"A game of football, I suggest?",-2.3841452172824,-4.6475186,-10.5638075,2.9285714285714,4.5384615384615,5.8235294117647,4.8823529411765,3.6428571428571,4.75,3.9285714285714,4.8125,2.75,4.25
A gun fired into the air.,-1.7218424720424,-3.626271,-10.1917957142857,4.2142857142857,4.2666666666667,6.8,6.6,5.3888888888889,6.3076923076923,2.3888888888889,6.2142857142857,3.4,2.0
A king must have an heir.,-2.4379422409194,-4.0414066,-9.7905,3.1875,3.3571428571429,6.9,6.9,3.4,3.8,3.2352941176471,2.1176470588235,2.4285714285714,2.7058823529412
A large band played folk tunes.,-2.5760711261204,-5.7007666,-11.7092928571429,4.1764705882353,4.2,6.9411764705882,6.9411764705882,5.6875,5.9375,4.6428571428571,4.3333333333333,2.7777777777778,4.2222222222222
A letter awaited her at Princeton.,-2.9139202322279,-5.611307,-10.84872,3.5,3.3076923076923,6.8235294117647,6.7647058823529,4.4285714285714,5.1875,3.3571428571429,6.0625,4.5,4.9375
