prefix,steering_concept,multiplier,rank,full_generation,first_token_generation,surprisal
Someone beat a drum with a,None,,0, stick, stick,1.6015625
Someone beat a drum with a,None,,1, 1, ,2.84375
Someone beat a drum with a,None,,2, wooden stick, wooden,3.34375
Someone beat a drum with a,None,,3, length of 1, length,3.71875
Someone beat a drum with a,None,,4, piece of wood, piece,3.84375
Someone beat a drum with a,impossible,3.0,0, drum, drum,3.84375
Someone beat a drum with a,impossible,3.0,1, stick, stick,1.6015625
Someone beat a drum with a,impossible,3.0,2, 1, ,2.84375
Someone beat a drum with a,impossible,3.0,3, beat, beat,3.84375
Someone beat a drum with a,impossible,3.0,4, new song, new,6.96875
Someone beat a drum with a,impossible,5.0,0, drum, drum,3.84375
Someone beat a drum with a,impossible,5.0,1, new album, new,6.96875
Someone beat a drum with a,impossible,5.0,2, beat, beat,3.84375
Someone beat a drum with a,impossible,5.0,3, flute, flute,11.0
Someone beat a drum with a,impossible,5.0,4, song, song,7.09375
Someone beat a drum with a,inconceivable,3.0,0, drum, drum,3.84375
Someone beat a drum with a,inconceivable,3.0,1, <em><strong>, ,2.84375
Someone beat a drum with a,inconceivable,3.0,2, beat, beat,3.84375
Someone beat a drum with a,inconceivable,3.0,3, heart, heart,6.96875
Someone beat a drum with a,inconceivable,3.0,4, man, man,8.5
Someone beat a drum with a,inconceivable,5.0,0, team, team,10.375
Someone beat a drum with a,inconceivable,5.0,1, drum, drum,3.84375
Someone beat a drum with a,inconceivable,5.0,2, smile, smile,7.21875
Someone beat a drum with a,inconceivable,5.0,3, <i><b>, ,2.84375
Someone beat a drum with a,inconceivable,5.0,4, beat, beat,3.84375
Someone beat a drum with a,improbable,3.0,0, 1, ,2.84375
Someone beat a drum with a,improbable,3.0,1, drum, drum,3.84375
Someone beat a drum with a,improbable,3.0,2, stick, stick,1.6015625
Someone beat a drum with a,improbable,3.0,3, broken drum, broken,4.34375
Someone beat a drum with a,improbable,3.0,4, dead body, dead,4.34375
Someone beat a drum with a,improbable,5.0,0, drum, drum,3.84375
Someone beat a drum with a,improbable,5.0,1, 1, ,2.84375
Someone beat a drum with a,improbable,5.0,2, broken drum, broken,4.34375
Someone beat a drum with a,improbable,5.0,3, stick, stick,1.6015625
Someone beat a drum with a,improbable,5.0,4, band of people, band,8.5
Someone bought a car with a,None,,0, 1, ,1.984375
Someone bought a car with a,None,,1, bad engine, bad,2.859375
Someone bought a car with a,None,,2, broken window, broken,3.109375
Someone bought a car with a,None,,3, $1, $,3.234375
Someone bought a car with a,None,,4, title that was stolen, title,3.484375
Someone bought a car with a,impossible,3.0,0, 2, ,1.984375
Someone bought a car with a,impossible,3.0,1, $1, $,3.234375
Someone bought a car with a,impossible,3.0,2, bad engine, bad,2.859375
Someone bought a car with a,impossible,3.0,3, gun, gun,7.46875
Someone bought a car with a,impossible,3.0,4, down payment, down,7.59375
Someone bought a car with a,impossible,5.0,0, 1, ,1.984375
Someone bought a car with a,impossible,5.0,1, gun, gun,7.46875
Someone bought a car with a,impossible,5.0,2, car, car,5.21875
Someone bought a car with a,impossible,5.0,3, new car, new,4.34375
Someone bought a car with a,impossible,5.0,4, $1, $,3.234375
Someone bought a car with a,inconceivable,3.0,0, 1, ,1.984375
Someone bought a car with a,inconceivable,3.0,1, smile, smile,10.75
Someone bought a car with a,inconceivable,3.0,2, mortgage on it, mortgage,8.375
Someone bought a car with a,inconceivable,3.0,3, lot of money, lot,4.34375
Someone bought a car with a,inconceivable,3.0,4, car, car,5.21875
Someone bought a car with a,inconceivable,5.0,0, team, team,14.25
