,sentence,log-prob-5gram_mean,log-prob-gpt2-xl_mean,log-prob-pcfg_mean,rating_arousal_mean,rating_conversational_mean,rating_sense_mean,rating_gram_mean,rating_frequency_mean,rating_imageability_mean,rating_others_thoughts_mean,rating_physical_mean,rating_places_mean,rating_valence_mean
50000,Taste that fowl and those fish.,-3.5124948195049,-5.150524,-13.0976514285714,3.2142857142857,2.75,6.2307692307692,6.1538461538462,2.3529411764706,4.1875,3.2222222222222,5.5384615384615,2.3125,2.4117647058824
50001,All sorts of treasure there too.,-2.4808108628328,-5.603484,-12.9623214285714,4.4375,5.25,6.0625,5.1875,3.3333333333333,4.8666666666667,2.6315789473684,4.8125,3.7142857142857,5.2941176470588
50002,The small flock of birds circled.,-3.0035103474345,-5.17123,-11.1607557142857,2.7647058823529,3.4666666666667,6.7058823529412,6.3529411764706,5.375,6.375,2.0714285714286,5.0,5.1666666666667,3.7222222222222
50003,The music drums inside my head.,-2.5398962497711,-5.3405046,-10.9129328571429,3.7857142857143,4.2307692307692,6.2352941176471,6.2941176470588,4.0714285714286,4.875,4.7857142857143,3.625,1.8333333333333,4.6875
50004,They are very devoted and faithful.,-2.5984076431819,-4.697894,-9.4030471428571,2.6153846153846,5.1111111111111,6.9411764705882,6.9411764705882,5.4705882352941,3.4615384615385,5.125,1.5,1.375,5.1578947368421
50005,What an amazing and wonderful metamorphosis.,-2.8329744083541,-3.7328331,-12.7616157142857,4.0625,3.0,7.0,6.9,4.2,3.5333333333333,4.8823529411765,2.4705882352941,2.2857142857143,4.9411764705882
50006,She began to worry about infection.,-2.1498024229492,-4.8194118,-9.4865928571429,4.4285714285714,4.4375,7.0,6.8823529411765,4.5882352941176,4.6428571428571,6.0714285714286,3.0,1.3571428571429,1.3076923076923
50007,It has a light tangy flavor.,-2.9113166161946,-4.2729816,-9.9342214285714,3.4,6.1333333333333,6.9166666666667,7.0,5.9411764705882,4.0833333333333,3.7647058823529,3.25,1.875,4.2307692307692
50008,We love rich tourists on vacation.,-3.1660995568548,-5.808282,-11.0390414285714,3.2,4.875,6.7272727272727,6.7272727272727,4.8947368421053,4.2142857142857,4.6875,3.2222222222222,4.1333333333333,3.5333333333333
50009,Across the street was a pub.,-1.8592162856034,-4.5593224,-10.8462028571429,2.6875,5.4166666666667,7.0,6.5454545454545,5.8125,6.375,2.4117647058824,5.8,5.6315789473684,4.75
50010,Would she put him in jail?,-2.3949825678553,-3.9310124,-10.1367257142857,4.4444444444444,4.7333333333333,6.8235294117647,6.6470588235294,4.6923076923077,3.2,5.5,2.5625,4.1578947368421,2.2352941176471
50011,Where are you keeping it safe?,-2.61654652868,-3.9103343,-9.75484,3.3888888888889,5.875,6.6111111111111,6.5,5.8125,2.0666666666667,3.4375,3.0,2.0,3.3529411764706
50012,"It was all ridiculous, crazy, insane.",-3.121835069997,-4.4495425,-10.0816488888889,4.5,5.2857142857143,6.5,5.5,4.9333333333333,2.2,5.4117647058824,1.1764705882353,1.3571428571429,2.5882352941176
50013,"A childish notion, to be sure.",-2.9417276723044,-3.7634919,-8.94180625,1.7857142857143,4.2666666666667,6.9333333333333,6.5333333333333,4.6666666666667,2.3076923076923,4.3888888888889,1.5714285714286,1.3333333333333,2.5
50014,Sophia was asleep on the sofa.,-2.4429385960102,-3.321891,-11.2978414285714,1.7142857142857,5.0588235294118,7.0,6.9444444444444,5.6470588235294,6.3125,5.0,5.7692307692308,4.25,4.625
50015,Her answer was difficult to grasp.,-2.4163769653865,-4.3579454,-9.3756877142857,3.0588235294118,4.4285714285714,6.9333333333333,7.0,5.7333333333333,2.5384615384615,4.5882352941176,1.4666666666667,1.2,1.5833333333333
50016,It meant waving a white flag.,-2.0231553465128,-4.644438,-10.3408871428571,3.0,3.8125,6.3636363636364,6.6363636363636,4.3684210526316,5.6428571428571,3.875,5.3888888888889,2.1333333333333,2.4666666666667
50017,The crowd burst into spontaneous applause.,-2.1017783454486,-3.6386483,-12.2098485714286,4.2666666666667,3.2857142857143,6.8,6.8666666666667,4.8571428571429,6.3333333333333,4.7142857142857,4.0714285714286,3.5,4.6666666666667
50018,His leg is too badly damaged.,-2.0483196143593,-4.6701465,-10.3182514285714,3.8,5.4285714285714,6.6666666666667,6.4666666666667,3.9285714285714,6.0,5.1428571428571,4.3571428571429,2.0,1.0833333333333
50019,He treated them like puppy dogs.,-3.0013584750039,-4.4234176,-11.3564342857143,2.8571428571429,5.4375,6.8235294117647,6.5294117647059,5.0,5.1428571428571,4.5,4.6666666666667,1.5,4.6923076923077
50020,It looked like a trash heap.,-1.9744197300502,-3.6833835,-9.9961214285714,2.7142857142857,5.25,7.0,6.8823529411765,5.2352941176471,6.1428571428571,3.3571428571429,5.6,4.3571428571429,2.0
50021,A car drove down the road.,-1.9424080167498,-4.052844,-9.97484,2.2222222222222,5.9375,6.8333333333333,7.0,6.625,6.2666666666667,2.8125,6.6875,4.8571428571429,3.4117647058824
50022,People are getting hungry and desperate.,-2.8084891608783,-3.9418676,-10.2533485714286,5.0666666666667,6.0,7.0,7.0,5.9411764705882,5.5,6.1764705882353,2.4375,2.8125,1.6153846153846
50023,He held out a duffel bag.,-2.0668923216207,-3.6373243,-9.4195428571429,2.9333333333333,4.0,6.75,6.75,5.2352941176471,5.9166666666667,4.2352941176471,6.125,2.9375,2.3076923076923
