,prompt,base_class,surprisal,improbable_impossible,impossible_inconceivable,class
4,cooking pasta using a hairdryer.,improbable,8.6875,0.1748046875,0.271484375,improbable
5,juggling oranges while riding a unicycle.,improbable,4.78125,0.1611328125,0.2451171875,improbable
6,painting a portrait with a broomstick.,improbable,6.34375,0.1650390625,0.24609375,improbable
10,painting a house with a toothbrush.,improbable,6.375,0.181640625,0.271484375,improbable
11,cooking pasta using a flashlight.,improbable,9.0625,0.162109375,0.2578125,improbable
14,sailing a boat on a trampoline.,improbable,6.84375,0.1689453125,0.23046875,improbable
15,grating cheese using a chainsaw.,improbable,8.0625,0.1767578125,0.271484375,improbable
16,slicing bread with a samurai sword.,improbable,4.5625,0.1640625,0.2578125,improbable
20,sculpting ice with a hairdryer.,improbable,6.8125,0.1708984375,0.275390625,improbable
29,baking cookies on a skateboard.,improbable,7.53125,0.1640625,0.2421875,improbable
30,painting a mural with a toothbrush.,improbable,6.59375,0.166015625,0.26171875,improbable
36,painting a canvas using a spoon.,improbable,6.65625,0.173828125,0.275390625,improbable
39,knitting a sweater using a garden rake.,improbable,6.3125,0.166015625,0.255859375,improbable
47,drinking tea using a broomstick.,improbable,7.71875,0.166015625,0.236328125,improbable
50,cooking an egg using a baseball bat.,improbable,6.46875,0.1630859375,0.26171875,improbable
59,chopping vegetables with a rubber band.,improbable,5.8125,0.1669921875,0.2421875,improbable
61,painting a mural on a moving train.,improbable,5.4375,0.16015625,0.2578125,improbable
66,painting a mural with a toothbrush.,improbable,6.59375,0.166015625,0.26171875,improbable
68,building a chair from marshmallows.,improbable,8.5625,0.16796875,0.265625,improbable
69,hanging paintings on a fence.,improbable,7.375,0.171875,0.22265625,improbable
71,painting a portrait with a toothbrush.,improbable,6.46875,0.1669921875,0.26953125,improbable
80,baking a cake using a flashlight.,improbable,7.03125,0.16015625,0.26171875,improbable
83,wrapping a gift using a leaf blower.,improbable,6.53125,0.1865234375,0.26953125,improbable
84,mixing a smoothie using a hairdryer.,improbable,8.4375,0.169921875,0.26953125,improbable
90,shaving a cat with a chainsaw.,improbable,5.5625,0.18359375,0.267578125,improbable
92,washing dishes with a paintbrush.,improbable,6.59375,0.158203125,0.2451171875,improbable
93,painting a fence with a sponge.,improbable,5.96875,0.17578125,0.2470703125,improbable
95,baking a cake using a leaf blower.,improbable,5.9375,0.1728515625,0.283203125,improbable
97,slicing bread using a trampoline.,improbable,7.25,0.16796875,0.2890625,improbable
117,painting a wall with a paintbrush made of hair.,improbable,4.53125,0.162109375,0.2451171875,improbable
122,running a marathon in roller skates.,improbable,6.53125,0.1572265625,0.265625,improbable
125,spinning a pizza using a book.,improbable,7.84375,0.158203125,0.25,improbable
127,painting a fence with a toothbrush.,improbable,6.46875,0.18359375,0.271484375,improbable
137,painting a wall with a sponge.,improbable,5.4375,0.1591796875,0.2236328125,improbable
140,baking a cake using a hairdryer.,improbable,6.625,0.177734375,0.26171875,improbable
141,painting a wall with a toothbrush.,improbable,6.28125,0.1767578125,0.26171875,improbable
151,painting a fence with chocolate syrup.,improbable,6.875,0.1630859375,0.283203125,improbable
152,carving pumpkins in the middle of a desert.,improbable,4.375,0.16015625,0.2431640625,improbable
154,cooking pasta in a washing machine.,improbable,6.40625,0.1767578125,0.232421875,improbable
155,painting a fence with a toothbrush.,improbable,6.46875,0.18359375,0.271484375,improbable
165,cycling up a mountain on a unicycle.,improbable,5.15625,0.1669921875,0.2412109375,improbable
168,cooking spaghetti in a toaster oven.,improbable,6.5625,0.17578125,0.2470703125,improbable
169,watering plants using a coffee mug.,improbable,6.53125,0.1689453125,0.2255859375,improbable
173,painting a wall using a sponge.,improbable,5.9375,0.1591796875,0.220703125,improbable
176,catching a fish with a rubber band.,improbable,4.84375,0.1689453125,0.2734375,improbable
178,cooking soup using a flashlight.,improbable,9.5,0.1591796875,0.2578125,improbable
187,building a chair out of paper.,improbable,5.9375,0.1669921875,0.24609375,improbable
189,lighting a fire using ice cubes.,improbable,6.59375,0.158203125,0.28125,improbable
190,painting a mural on a moving train.,improbable,5.4375,0.16015625,0.2578125,improbable
195,popping popcorn using a hammer.,improbable,6.6875,0.1787109375,0.251953125,improbable
0,painting a fence using spaghetti.,improbable,9.0,0.07763671875,0.26171875,improbable-impossible
9,playing chess with a raccoon as the opponent.,improbable,6.0,0.12109375,0.21875,improbable-impossible
17,painting a wall using spaghetti.,improbable,8.5625,0.099609375,0.271484375,improbable-impossible
18,boiling water using a feather.,improbable,8.5,0.12060546875,0.29296875,improbable-impossible
23,making a sandwich out of clouds.,improbable,6.78125,0.09716796875,0.23828125,improbable-impossible
25,painting a fence with spaghetti.,improbable,8.8125,0.11083984375,0.279296875,improbable-impossible
