subject_id,study_id,session_id,trial_index,internal_node_id,time_elapsed,rt,stimulus,slider_start,response,item_id,verb,verb_participle,object,prep,classification_prefix,binary_prefix,sentence_prefix,probable,improbable,impossible,inconceivable,task_type,trial_type,rng_seed,condition,query,session_file_id,unique_id,response_item_normalized,rt_normalized,response_subj_normalized
anon_subject_45,65d4fc29515df31cd1044a85,65d664954d11b0c9c36f1cef,1,0.0-1.0-0.0,15738,9480,"<div style=""font-size:20px;""><p>How likely is it for someone to clean a spill using a country?</p></div>",50,0,11,clean,cleaning,a spill,using,cleaning a spill using,Could someone clean a spill using,[NP] cleaned a spill using,a sponge,a scarf,mustard,a country,critical,html-slider-response,0.5386339036811374,inconceivable,How likely is it for someone to clean a spill using a country?,session-65d665f21a7eb,11_inconceivable,-0.8551606804706297,2.0947530269645203,-0.7740305840743247
anon_subject_45,65d4fc29515df31cd1044a85,65d664954d11b0c9c36f1cef,2,0.0-1.0-0.1,18522,2781,"<div style=""font-size:20px;""><p>How likely is it for someone to shave their beard using a belief?</p></div>",50,0,54,shave,shaving,[POSS] beard,using,shaving [POSS] beard using,Could someone shave [POSS] beard using,[NP] shaved [POSS] beard using,a razor,a knife,a teabag,a belief,critical,html-slider-response,0.5386339036811374,inconceivable,How likely is it for someone to shave their beard using a belief?,session-65d665f21a7eb,54_inconceivable,-0.7781461708272603,-0.7567365543642861,-0.7740305840743247
anon_subject_45,65d4fc29515df31cd1044a85,65d664954d11b0c9c36f1cef,3,0.0-1.0-0.2,21591,3067,"<div style=""font-size:20px;""><p>How likely is it for someone to turn an apple into a cherry?</p></div>",50,0,63,turn,turning,an apple,into,turning an apple into,Could someone turn an apple into,[NP] turned an apple into,a pie,a salad,a cherry,honesty,critical,html-slider-response,0.5386339036811374,impossible,How likely is it for someone to turn an apple into a cherry?,session-65d665f21a7eb,63_impossible,-0.9495814865557626,-0.6349980829118248,-0.7740305840743247
anon_subject_45,65d4fc29515df31cd1044a85,65d664954d11b0c9c36f1cef,4,0.0-1.0-0.3,24307,2715,"<div style=""font-size:20px;""><p>How likely is it for someone to light a candle using a match?</p></div>",50,100,39,light,lighting,a candle,using,lighting a candle using,Could someone light a candle using,[NP] lit a candle using,a match,a blowtorch,yogurt,surprises,critical,html-slider-response,0.5386339036811374,probable,How likely is it for someone to light a candle using a match?,session-65d665f21a7eb,39_probable,1.9431259530099192,-0.7848300477763925,1.5847913961260551
anon_subject_45,65d4fc29515df31cd1044a85,65d664954d11b0c9c36f1cef,5,0.0-1.0-0.4,27365,3056,"<div style=""font-size:20px;""><p>How likely is it for someone to tighten a bolt using chopsticks?</p></div>",50,0,62,tighten,tightening,a bolt,using,tightening a bolt using,Could someone tighten a bolt using,[NP] tightened a bolt using,a wrench,chopsticks,a house,a dream,critical,html-slider-response,0.5386339036811374,improbable,How likely is it for someone to tighten a bolt using chopsticks?,session-65d665f21a7eb,62_improbable,-0.6332148143025326,-0.6396803318138425,-0.7740305840743247
anon_subject_45,65d4fc29515df31cd1044a85,65d664954d11b0c9c36f1cef,6,0.0-1.0-0.5,30577,3209,"<div style=""font-size:20px;""><p>How likely is it for someone to eat soup using a spoon?</p></div>",50,100,31,eat,eating,soup,using,eating soup using,Could someone eat soup using,[NP] ate soup using,a spoon,a bucket,a sieve,history,critical,html-slider-response,0.5386339036811374,probable,How likely is it for someone to eat soup using a spoon?,session-65d665f21a7eb,31_probable,1.2571378521588434,-0.5745545061766866,1.5847913961260551
anon_subject_45,65d4fc29515df31cd1044a85,65d664954d11b0c9c36f1cef,7,0.0-1.0-0.6,35872,5294,"<div style=""font-size:20px;""><p>How likely is it for someone to display books on a shelf?</p></div>",50,87,26,display,displaying,books,on,displaying books on,Could someone display books on,[NP] displayed books on,a shelf,a bed,a galaxy,a sigh,critical,html-slider-response,0.5386339036811374,probable,How likely is it for someone to display books on a shelf?,session-65d665f21a7eb,26_probable,0.9774768052828672,0.3129444902512223,1.2781445387000057
anon_subject_45,65d4fc29515df31cd1044a85,65d664954d11b0c9c36f1cef,8,0.0-1.0-0.7,39356,3482,"<div style=""font-size:20px;""><p>How likely is it for someone to bake a cake inside a freezer?</p></div>",50,0,0,bake,baking,a cake,inside,baking a cake inside,Could someone bake a cake inside,[NP] baked a cake inside,an oven,an airfryer,a freezer,a sigh,critical,html-slider-response,0.5386339036811374,impossible,How likely is it for someone to bake a cake inside a freezer?,session-65d665f21a7eb,0_impossible,-0.97415022312704,-0.458349601608428,-0.7740305840743247
anon_subject_45,65d4fc29515df31cd1044a85,65d664954d11b0c9c36f1cef,9,0.0-1.0-0.8,42798,3440,"<div style=""font-size:20px;""><p>How likely is it for someone to dock a boat using a balloon?</p></div>",50,0,27,dock,docking,a boat,using,docking a boat using,Could someone dock a boat using,[NP] docked a boat using,an anchor,an anvil,a balloon,a lesson,critical,html-slider-response,0.5386339036811374,impossible,How likely is it for someone to dock a boat using a balloon?,session-65d665f21a7eb,27_impossible,-0.6869861024029993,-0.47622727923431396,-0.7740305840743247
anon_subject_45,65d4fc29515df31cd1044a85,65d664954d11b0c9c36f1cef,10,0.0-1.0-0.9,46800,4001,"<div style=""font-size:20px;""><p>How likely is it for someone to remove a stain using dirt?</p></div>",50,0,50,remove,removing,a stain,using,removing a stain using,Could someone remove a stain using,[NP] removed a stain using,bleach,vinegar,dirt,truth,critical,html-slider-response,0.5386339036811374,impossible,How likely is it for someone to remove a stain using dirt?,session-65d665f21a7eb,50_impossible,-1.3186465100945097,-0.23743258523140898,-0.7740305840743247
