sentence,label,probable,improbable,impossible,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone baked a cake inside a freezer.,impossible,0.0,0.0555555555555555,0.8333333333333334,0.1111111111111111,0.984981894493103,0.3487987816333771,-0.8163174390792847,0.3487987816333771,0.3487987816333771
Someone baked a cake inside an airfryer.,improbable,0.425,0.525,0.05,0.0,0.9523506760597229,0.27644965052604675,-0.8688112497329712,0.27644965052604675,0.27644965052604675
Someone baked a cake inside a sigh.,inconceivable,0.0,0.0,0.0,1.0,0.8660182952880859,0.4497455954551697,-0.5823405981063843,0.4497455954551697,0.4497455954551697
Someone baked a cake inside an oven.,probable,1.0,0.0,0.0,0.0,0.9184153079986572,0.35916662216186523,-0.694678008556366,0.35916662216186523,0.35916662216186523
Someone chopped a carrot using a rag.,impossible,0.0,0.1282051282051282,0.8205128205128205,0.0512820512820512,0.8992094397544861,0.29240137338638306,-0.7109894752502441,0.29240137338638306,0.29240137338638306
Someone chopped a carrot using a sword.,improbable,0.1935483870967742,0.8064516129032258,0.0,0.0,0.957582950592041,0.31194940209388733,-0.7243618369102478,0.31194940209388733,0.31194940209388733
Someone chopped a carrot using a color.,inconceivable,0.0,0.0,0.1395348837209302,0.8604651162790697,0.7809416055679321,0.34232431650161743,-0.7032207250595093,0.34232431650161743,0.34232431650161743
Someone chopped a carrot using a knife.,probable,1.0,0.0,0.0,0.0,0.8941172361373901,0.277126669883728,-0.696272611618042,0.277126669883728,0.277126669883728
Someone cleaned a spill using mustard.,impossible,0.0232558139534883,0.2093023255813953,0.6046511627906976,0.1627906976744186,0.81326824426651,0.2568694055080414,-0.7601455450057983,0.2568694055080414,0.2568694055080414
Someone cleaned a spill using a scarf.,improbable,0.2777777777777778,0.6944444444444444,0.0277777777777777,0.0,0.8296223878860474,0.2862672805786133,-0.7920944690704346,0.2862672805786133,0.2862672805786133
Someone cleaned a spill using a country.,inconceivable,0.0,0.0,0.0714285714285714,0.9285714285714286,0.8055402040481567,0.3640722930431366,-0.6044149398803711,0.3640722930431366,0.3640722930431366
Someone cleaned a spill using a sponge.,probable,0.9523809523809524,0.0476190476190476,0.0,0.0,0.8276529312133789,0.2572333812713623,-0.8117846846580505,0.2572333812713623,0.2572333812713623
Someone cleaned a carpet using a crayon.,impossible,0.0238095238095238,0.238095238095238,0.6190476190476191,0.119047619047619,0.9201849699020386,0.20870813727378845,-0.8771474957466125,0.20870813727378845,0.20870813727378845
Someone cleaned a carpet using a hat.,improbable,0.0,0.5121951219512195,0.3902439024390244,0.0975609756097561,0.8938020467758179,0.30524885654449463,-0.7672547101974487,0.30524885654449463,0.30524885654449463
Someone cleaned a carpet using a week.,inconceivable,0.0,0.0,0.0344827586206896,0.9655172413793104,0.7876688241958618,0.3510308265686035,-0.6538488864898682,0.3510308265686035,0.3510308265686035
Someone cleaned a carpet using a vacuum.,probable,1.0,0.0,0.0,0.0,0.8697960376739502,0.245229110121727,-0.8093699216842651,0.245229110121727,0.245229110121727
Someone climbed a tree using oil.,impossible,0.0,0.18,0.54,0.28,0.8265039324760437,0.34130552411079407,-0.8036302328109741,0.34130552411079407,0.34130552411079407
Someone climbed a tree using a rope.,improbable,0.9333333333333332,0.0333333333333333,0.0,0.0333333333333333,0.8764891624450684,0.3108735680580139,-0.8152572512626648,0.3108735680580139,0.3108735680580139
Someone climbed a tree using a poem.,inconceivable,0.0,0.0,0.0256410256410256,0.9743589743589745,0.8356633186340332,0.2942560017108917,-0.8149656653404236,0.2942560017108917,0.2942560017108917
Someone climbed a tree using a ladder.,probable,0.9666666666666668,0.0333333333333333,0.0,0.0,0.8515172004699707,0.30314984917640686,-0.7904282212257385,0.30314984917640686,0.30314984917640686
Someone closed a jacket using fog.,impossible,0.0,0.0,0.3111111111111111,0.6888888888888889,0.9107361435890198,0.3672060966491699,-0.8482687473297119,0.3672060966491699,0.3672060966491699
Someone closed a jacket using glue.,improbable,0.0588235294117647,0.8235294117647058,0.0588235294117647,0.0588235294117647,0.9085604548454285,0.31145158410072327,-0.859107494354248,0.31145158410072327,0.31145158410072327
Someone closed a jacket using a word.,inconceivable,0.0,0.0,0.1612903225806451,0.8387096774193549,0.8280669450759888,0.3682803809642792,-0.7730289697647095,0.3682803809642792,0.3682803809642792
Someone closed a jacket using a zipper.,probable,0.9743589743589745,0.0,0.0,0.0256410256410256,0.8961602449417114,0.2916337847709656,-0.9438371658325195,0.2916337847709656,0.2916337847709656
