sentence,label,probable,improbable,impossible,inconceivable
Someone baked a cake inside a freezer.,impossible,0.0,0.05555555555555555,0.8333333333333334,0.1111111111111111
Someone baked a cake inside an airfryer.,improbable,0.425,0.525,0.05,0.0
Someone baked a cake inside a sigh.,inconceivable,0.0,0.0,0.0,1.0
Someone baked a cake inside an oven.,probable,1.0,0.0,0.0,0.0
Someone chopped a carrot using a rag.,impossible,0.0,0.1282051282051282,0.8205128205128205,0.05128205128205128
Someone chopped a carrot using a sword.,improbable,0.1935483870967742,0.8064516129032258,0.0,0.0
Someone chopped a carrot using a color.,inconceivable,0.0,0.0,0.13953488372093023,0.8604651162790697
Someone chopped a carrot using a knife.,probable,1.0,0.0,0.0,0.0
Someone cleaned a spill using mustard.,impossible,0.023255813953488372,0.20930232558139536,0.6046511627906976,0.16279069767441862
Someone cleaned a spill using a scarf.,improbable,0.2777777777777778,0.6944444444444444,0.027777777777777776,0.0
Someone cleaned a spill using a country.,inconceivable,0.0,0.0,0.07142857142857142,0.9285714285714286
Someone cleaned a spill using a sponge.,probable,0.9523809523809523,0.047619047619047616,0.0,0.0
Someone cleaned a carpet using a crayon.,impossible,0.023809523809523808,0.23809523809523808,0.6190476190476191,0.11904761904761904
Someone cleaned a carpet using a hat.,improbable,0.0,0.5121951219512195,0.3902439024390244,0.0975609756097561
Someone cleaned a carpet using a week.,inconceivable,0.0,0.0,0.034482758620689655,0.9655172413793104
Someone cleaned a carpet using a vacuum.,probable,1.0,0.0,0.0,0.0
Someone climbed a tree using oil.,impossible,0.0,0.18,0.54,0.28
Someone climbed a tree using a rope.,improbable,0.9333333333333333,0.03333333333333333,0.0,0.03333333333333333
Someone climbed a tree using a poem.,inconceivable,0.0,0.0,0.02564102564102564,0.9743589743589743
Someone climbed a tree using a ladder.,probable,0.9666666666666667,0.03333333333333333,0.0,0.0
Someone closed a jacket using fog.,impossible,0.0,0.0,0.3111111111111111,0.6888888888888889
Someone closed a jacket using glue.,improbable,0.058823529411764705,0.8235294117647058,0.058823529411764705,0.058823529411764705
Someone closed a jacket using a word.,inconceivable,0.0,0.0,0.16129032258064516,0.8387096774193549
