,Model,Dataset,Condition,MAE,MSE,KL,Pearson R,Entropy Correlation,Expert Correlation
0,meta-llama/Llama-3.2-3B,Hu et al. 2025a,Linear_Representation,0.22452476326885498,0.07364568438464558,0.22161529961772083,0.6536141288001638,0.0306742369971434,-0.00041442614627376336
1,meta-llama/Llama-3.2-3B,Hu et al. 2025a,Probability,0.27233949262073426,0.11046192371303508,0.2983858772918202,0.369614169939506,-0.07503181566644115,-0.21009738030072353
2,meta-llama/Llama-3.2-3B,Hu et al. 2025a,PC,0.2900939876103449,0.1179937512945125,0.3228157727942591,0.318684114407991,-0.27069939204855453,-0.22639515547513275
3,meta-llama/Llama-3.2-3B,Hu et al. 2025a,Random,0.3101025179416658,0.14121660279289033,0.36868358601360934,-0.05551608782927861,-0.14016830300588873,-0.3004401964513618
4,meta-llama/Llama-3.2-3B,Hu et al. 2025b,Linear_Representation,0.14392905105596862,0.044446952942569555,0.35908237495834894,0.7520176005057599,0.45951964921440247,0.5624156247354691
5,meta-llama/Llama-3.2-3B,Hu et al. 2025b,Probability,0.23366478909225766,0.08614117628340073,0.6832969283761419,0.4118907457970845,0.2944887204025513,0.5175692973361641
6,meta-llama/Llama-3.2-3B,Hu et al. 2025b,PC,0.21228568061104183,0.07844700952586153,0.6159541000253985,0.5403326927592123,0.1942560673763286,0.4357470103481639
7,meta-llama/Llama-3.2-3B,Hu et al. 2025b,Random,0.24053877389017778,0.09243168627265293,0.734512076690736,0.4038698375545424,0.10558837772747726,0.4181130190668803
8,meta-llama/Llama-3.2-3B,Goulding,Linear_Representation,0.25965988658069694,0.11041858638862788,0.3036286782159109,0.60568351563661,0.4384714159710624,0.4430504000134098
9,meta-llama/Llama-3.2-3B,Goulding,Probability,0.3820509632121739,0.17460484951076824,0.4611076316700993,0.07560513498424248,0.06132761621682965,0.02100069899922228
10,meta-llama/Llama-3.2-3B,Goulding,PC,0.352833437925508,0.15727276232578882,0.4277325208540611,0.31900316036509485,-0.04718201300567349,-0.13894442169101592
11,meta-llama/Llama-3.2-3B,Goulding,Random,0.3657596281765205,0.1665666209002767,0.4489717004030393,0.23147533999352157,0.15288530365949096,0.11581757695444894
