sentence,class,probable_improbable,improbable_impossible,impossible_inconceivable,pca_0,pca_1,pca_2,random_0,random_1,random_2,loss
baking a cake inside an oven.,probable,-728.0,-840.0,-2352.0,-581.81177,34.904594,-5.9500904,-118.0,115.0,124.5,5.65625
baking a cake inside an airfryer.,improbable,241.0,-494.0,-2352.0,-576.11865,31.147835,0.81206703,-5.65625,95.5,188.0,5.09375
baking a cake inside a freezer.,impossible,334.0,-151.0,-2352.0,-577.73254,35.254055,-3.9659176,-46.25,167.0,131.0,6.15625
baking a cake inside a sigh.,inconceivable,628.0,776.0,-1080.0,-574.7423,37.77872,-5.911274,-12.9375,169.0,96.0,8.0
boiling water using a kettle.,probable,-298.0,-552.0,-2416.0,-572.2393,37.896492,-5.7571306,-114.0,280.0,148.0,6.75
boiling water using a microwave.,improbable,242.0,-206.0,-2496.0,-565.9999,37.580532,-3.6587772,-54.5,223.0,88.5,6.75
boiling water using a refrigerator.,impossible,416.0,222.0,-2320.0,-564.9324,36.9026,-9.0656395,-46.5,185.0,99.5,7.65625
boiling water using justice.,inconceivable,568.0,728.0,-596.0,-579.7628,39.640213,-7.7688484,-83.0,193.0,56.0,12.0625
breaking a coconut using a rock.,probable,256.0,-193.0,-2592.0,-561.32135,35.32215,-1.8550987,-121.0,272.0,108.0,6.59375
breaking a coconut using a table.,improbable,362.0,-85.5,-2400.0,-563.5768,34.893456,-2.045167,-168.0,190.0,143.0,7.21875
breaking a coconut using a pillow.,impossible,470.0,-167.0,-2592.0,-563.26636,35.164005,-1.1569271,-133.0,206.0,92.0,7.5625
breaking a coconut using a texture.,inconceivable,648.0,764.0,-1024.0,-571.3986,35.77833,-0.5932312,-55.0,120.0,124.0,8.875
building a house out of brick.,probable,-88.0,-358.0,-2024.0,-582.3396,37.45978,-5.2321253,-106.5,231.0,99.5,5.25
building a house out of grass.,improbable,688.0,110.5,-2304.0,-568.8053,36.48823,-1.1211243,-51.5,166.0,94.0,5.5625
building a house out of gas.,impossible,728.0,572.0,-1688.0,-571.72986,39.58618,-6.3270054,-50.25,149.0,110.5,6.09375
building a house out of language.,inconceivable,628.0,492.0,-1080.0,-578.58386,38.72413,-3.379694,-4.125,123.0,64.5,6.1875
building a bridge out of steel.,probable,138.0,-178.0,-2256.0,-569.5032,36.18189,-4.7816906,-136.0,140.0,101.0,5.53125
building a bridge out of plastic.,improbable,478.0,-40.75,-2320.0,-566.00037,35.813446,-0.85531235,-112.0,120.0,101.5,5.5
building a bridge out of soup.,impossible,752.0,316.0,-2272.0,-566.3561,36.276665,-4.1363487,-104.0,154.0,68.5,6.46875
building a bridge out of dance.,inconceivable,692.0,636.0,-1024.0,-574.44836,38.83776,-1.16259,-13.1875,134.0,-9.75,6.5625
calling a friend using a phone.,probable,-137.0,-119.0,-1776.0,-571.4746,39.16405,-1.5184298,-68.0,236.0,20.0,6.4375
calling a friend using a laptop.,improbable,370.0,-40.75,-1872.0,-573.54315,38.334778,0.6449795,-78.0,182.0,41.0,7.03125
