dataset,item_id,prefix,plaus1,plaus2,plaus3,implaus
michaelov2024,0,"Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major",raise,bonus,project,pillow
michaelov2024,1,The cigar burned a hole in the,couch,sofa,jacket,chaos
michaelov2024,2,"His first film was a failure, but he learned some techniques in that first",try,effort,role,umbrella
michaelov2024,3,He was hired for the job because of his fresh new,look,image,ideas,autumn
michaelov2024,4,The journal issue that has the new article about diseases of the eye is still in,print,press,stores,treason
michaelov2024,5,Every spring they held the annual,ball,dance,meeting,disorder
michaelov2024,6,"Penelope started to assemble her new bicycle, but was missing the",wheels,tires,instructions,king
michaelov2024,7,The restaurant will reopen with new,management,ownership,menus,treason
michaelov2024,8,Jennifer disliked walking under the trees at the edge of the park because they were always full of,bugs,insects,sap,weekends
michaelov2024,9,"The painting had a strong impact on everyone, but they couldn't agree on whether it was ugly or",pretty,attractive,abstract,allergic
michaelov2024,10,I don't know why people like to see their initials in,print,ink,cement,dusk
michaelov2024,11,The gem cutter examined the ruby very closely before cutting because he knew that one this large was very,rare,unique,fragile,disqualified
michaelov2024,12,They couldn't decide whether to visit the Roman fort or the ruins of Aphrodite's,temple,shrine,statue,bicycle
michaelov2024,13,He took a job training dogs for the,police,military,disabled,blankets
michaelov2024,14,The conductor gave detailed instructions to the,orchestra,choir,engineer,dishes
michaelov2024,15,"Down in the basement, Steve and Robert were playing",cards,poker,music,banners
michaelov2024,16,"After the most recent price increase, the small business owner decided to order his office supplies from another",company,business,country,gown
michaelov2024,17,Sharon was sad that she had lost her,dog,puppy,keys,takeoff
michaelov2024,18,"All of armed services will admit women, but females are barred from",combat,fighting,ships,metal
michaelov2024,19,"After the divorce, she had to move out of the expensive house to an apartment that was",cheap,affordable,ugly,fired
michaelov2024,20,"His tactics usually turned out to be beneficial for the business, but they often came in conflict with his",morals,values,marriage,ditch
michaelov2024,21,"Some of his jokes were crummy, but those one-liners were",hilarious,humorous,terrible,torn
michaelov2024,22,The inspector from the health department found a roach in a very expensive,restaurant,cafe,meal,speech
michaelov2024,23,The conductor had no idea that the train had been boarded by a known,felon,convict,politician,bottle
michaelov2024,24,The nurse brought him a glass of juice and his,medicine,pills,pillow,taxis
michaelov2024,25,The teacher was not looking forward to another year of,school,classes,chaos,cargo
michaelov2024,26,Steve skipped his annual checkup for another,year,month,event,forest
michaelov2024,27,"The candidate wanted to please everyone without making any commitments, so his speech was deliberately",vague,ambiguous,short,endangered
michaelov2024,28,She poured water on the,plants,roses,dishes,takeoff
michaelov2024,29,"Mark liked the older houses, but Susan wanted to buy one that was new and",modern,contemporary,expensive,embarrassed
michaelov2024,30,"In an old sitcom, he was the wise family",doctor,physician,neighbor,highway
michaelov2024,31,"The government controlled the news media, so most of the reports from the war zone were",censored,screened,wrong,hungry
michaelov2024,32,"Grinning wherever he went, it was easy to tell that Carl was proud of his new gold",medal,trophy,tooth,pedestrians
michaelov2024,33,"During the summer, the children hung out at the",pool,lake,theatre,gown
michaelov2024,34,"The handsome knight charged into the dark forest after the kidnapped princess, determined to prove that he could be",heroic,courageous,king,chilly
michaelov2024,35,The little girl kept a lock on her,diary,journal,bicycle,cement
michaelov2024,36,"Flying low above her, Bernice could hear the",plane,jet,bees,arena
michaelov2024,37,Perry heard a grinding noise coming from his,car,engine,jaw,cure
michaelov2024,38,"If Jim's manager is incompetent, he has a legitimate right to",complain,argue,leave,water
michaelov2024,39,"In the best part of the movie, the hero has to impersonate the",villain,criminal,princess,business
michaelov2024,40,The princess wore a,crown,hat,gown,sound
michaelov2024,41,Jason was disappointed when the other scouts scared off the elk by loudly beating the,drum,pans,bushes,diamond
michaelov2024,42,"After the flood, the house smelled of mildew and everything in it was",ruined,destroyed,damp,young
michaelov2024,43,Everyone on the scene gathered around to look at the,accident,crash,celebrity,temper
michaelov2024,44,The final score of the game was,tied,even,posted,bugs
michaelov2024,45,"After swimming the English Channel, Bonita was cold and completely",exhausted,beat,blue,affordable
michaelov2024,46,"She had the data to back up everything she said, so the hostile questions did not shake her",confidence,composure,opinion,music
michaelov2024,47,"The new dress was very pretty, but it was cut from an unusual",fabric,material,pattern,porch
michaelov2024,48,"When the little girl saw the big dog lumbering towards her, she began to",run,flee,smile,attend
michaelov2024,49,"From her house a half mile away, Diana could still hear the loud cheers coming from the",stadium,stands,parade,mistakes
michaelov2024,50,Five ships did not survive the,storm,tsunami,battle,eyes
michaelov2024,51,The paramedics on the scene helped the passengers after the big car,accident,wreck,exploded,rest
michaelov2024,52,The pilot spoke to an air traffic controller just before the,crash,collision,takeoff,fortune
michaelov2024,53,The boy scouts started a long hike through the forest after having a big,lunch,dinner,meeting,end
michaelov2024,54,"When traveling, Roger prefers to stick to major",roads,streets,airlines,plants
michaelov2024,55,"While hemming a pair of pants, Bridget accidentally dropped her",needle,pin,glasses,horse
michaelov2024,56,The rangers say that somewhere in the state park is a,bear,cub,mine,contrast
michaelov2024,57,The doctor told him his headaches were due to,stress,tension,tumors,safety
michaelov2024,58,"The groups in the parade walked by slowly, each waving their",hands,arms,banners,jokes
michaelov2024,59,"The little girl was very sick, but unfortunately there was no",cure,remedy,hospital,joke
michaelov2024,60,"The meteor shower should have been spectacular, but the city lights blocked the",view,sight,sky,doll
michaelov2024,61,She was unsure how the book would,end,conclude,sell,camp
michaelov2024,62,"He was desperate for a job, so finally took something doing door to door",sales,solicitation,delivery,hiding
michaelov2024,63,The young doctor wanted to work in the barrio so she set to work learning the Spanish translations of common medical,terms,words,procedures,pedestrians
michaelov2024,64,"Even though she was blindfolded, Jessie could tell from their voices that one of the kidnapers was old and two were",young,older,female,bullets
michaelov2024,65,"In the window, they posted the hours they were open for",business,service,today,texture
michaelov2024,66,They sent the kids with measles home from school because they were,contagious,infectious,scratching,hard
michaelov2024,67,"Outside, Cora could hear the running",water,river,horses,chapel
michaelov2024,68,At night they often took a short,walk,stroll,swim,reputation
michaelov2024,69,The wealthy author always points out that she wrote four novels before one was,published,printed,banned,hungry
michaelov2024,70,The kitten waited patiently because behind the refrigerator was a,mouse,rat,ball,savior
michaelov2024,71,Norton hates getting up on winter mornings because it is always,cold,chilly,dark,broken
michaelov2024,72,The fertilizer enriched the,soil,dirt,plants,legs
michaelov2024,73,The young girl passed her friend a,note,letter,doll,mechanic
michaelov2024,74,He tinkered with the engine every weekend until it was absolutely,perfect,correct,ruined,forgiven
michaelov2024,75,"When Diane heard the shark warning, she swam as fast as she could for",shore,land,safety,relaxing
michaelov2024,76,Michael could hear the bells ringing in the tower of the,church,cathedral,castle,deer
michaelov2024,77,"When he got home from work on the construction site, his clothes were always",dirty,filthy,torn,sick
michaelov2024,78,Kevin propped his head up with a pillow as he basked in the hot,sun,lamp,tub,size
michaelov2024,79,He bought it without even asking the,price,cost,boss,helicopters
michaelov2024,80,"Barry has considered proposing to his girlfriend, but he wants to wait until he is",ready,prepared,older,flooded
michaelov2024,81,John was disappointed to discover a scratch on his new,car,truck,watch,taxes
michaelov2024,82,He was afraid that doing drugs would damage his,brain,mind,reputation,fever
michaelov2024,83,"They've been living together for a long time, but don't think they're actually",married,engaged,happy,people
michaelov2024,84,Dennis the Menance was known for making,trouble,mischief,jokes,apples
michaelov2024,85,When the shooting started they ran for,cover,shelter,help,convenience
michaelov2024,86,The federal agents examined the hundred dollar bill with a microscope to see if it was,real,genuine,contaminated,quiet
michaelov2024,87,Eva turned down the heat and left the sauce on the stove to,simmer,cook,cool,state
michaelov2024,88,"Alone in the canyon, he was so spooked he was scared by his own",shadow,reflection,horse,hospital
michaelov2024,89,Betsy could never tell a,lie,fib,joke,ditch
michaelov2024,90,The bad boy was sent to his,room,bedroom,principal,dusk
michaelov2024,91,"The Vietnam vet had received the Purple Heart, and when he took off his shirt you could see all of his",scars,wounds,tattoos,boxes
michaelov2024,92,"Trying to evade their captors, the escaped prisoners of war lived in constant",fear,terror,hiding,size
michaelov2024,93,The tip of the knife was,sharp,pointed,broken,chatting
michaelov2024,94,The little girl pulled on the rubber band to see how far it would,stretch,extend,fly,yell
michaelov2024,95,The soldiers had special night vision goggles so they could see the,enemy,invaders,camp,temper
michaelov2024,96,George was born into a wealthy family and has no idea what it's like to be,poor,needy,hungry,pointed
michaelov2024,97,"Looking for bats, Karen descended into the depths of the",cave,cavern,castle,doll
michaelov2024,98,We finally got a decent picture on the TV after an hour of adjusting the,antenna,wires,contrast,ceremonies
michaelov2024,99,It took a week to get his car fixed because the parts were out of,stock,supply,state,bread
michaelov2024,100,The dispute was settled by a third,party,person,vote,lifestyle
michaelov2024,101,Our guests should be arriving,soon,shortly,separately,disabled
michaelov2024,102,The dough was put in the hot,oven,stove,grease,project
michaelov2024,103,Andrew was glad that the meeting was very,short,brief,productive,pale
michaelov2024,104,"When they came to Florida, Arthur couldn't see the swamp from the back of the crowded tour",bus,van,group,puppy
michaelov2024,105,Most shark attacks occur very close to,shore,land,dusk,ideas
michaelov2024,106,He didn't have to spend much money on the car because he found an incredible,deal,bargain,mechanic,stream
michaelov2024,107,The wealthy child went to a private,school,college,hospital,material
michaelov2024,108,"When you go to bed, turn off the",lights,lamp,stereo,stores
michaelov2024,109,George must keep his pet on a,leash,chain,diet,meeting
michaelov2024,110,"He didn't have time to file everything on his desk, so he organized it into two",piles,stacks,boxes,cartoons
michaelov2024,111,The whole town came to hear their mayor,speak,talk,resign,scratch
michaelov2024,112,Josie found she could not bend the elbow of her broken,arm,limb,doll,absence
michaelov2024,113,It's hard to admit when one is,wrong,incorrect,lonely,screened
michaelov2024,114,Vic asked her to repeat what she had,said,uttered,heard,vanished
michaelov2024,115,When they were in London they visited Buckingham,palace,castle,twice,bait
michaelov2024,116,The agent was sent to South America on a secret,mission,assignment,jet,cow
michaelov2024,117,Sam knew that rain was coming because he could smell it in the,air,wind,morning,robbery
michaelov2024,118,His boss refused to give him a,raise,bonus,vacation,cliff
michaelov2024,119,She flew in late last night and really didn't get much,sleep,rest,dinner,music
michaelov2024,120,"After a week, they gave up on the missing hikers and called off the",search,hunt,helicopters,boss
michaelov2024,121,The salesman made the mistake of talking down to Jane because he thought she was,stupid,dumb,poor,abstract
michaelov2024,122,Water was leaking out from the hole in the,ceiling,roof,balloon,reward
michaelov2024,123,"Rushing out, he forgot to take his",coat,jacket,umbrella,country
michaelov2024,124,"At that time, the boys lived down by the river in a",shack,hut,van,letter
