,item,item_index,count,responses,rt,age,trial_type,rating
12187,African aftermath,12187,10,[-3 -2  2 -2  3  1  2  1  1  2],3373.3,32.5,crit,0.5
16058,African bill,16058,9,[ 2  3 -1 -3 -3  2 -2 -3  2],5407.222222222223,34.44444444444444,crit,-0.3333333333333333
4883,African can,4883,12,[ 2 -3 -1  3  1 -3  1  1 -2  2  0  3],3808.5833333333335,30.75,crit,0.3333333333333333
18160,African catalog,18160,8,[ 3  3 -1 -1  3 -3 -1 -3],3491.375,32.375,crit,0.0
5274,African chance,5274,13,[-2 -3  3 -1 -2 -3 -3 -1 -2 -3 -2  1  0],4000.0,33.61538461538461,crit,-1.3846153846153846
14346,African grief,14346,10,[ 2  2  0  3  1 -3  3  1  0  2],5643.7,32.5,crit,1.1
11137,African handset,11137,10,[ 1 -1  0  3 -3 -1 -3  3 -3 -3],3154.4,36.9,crit,-0.7
2580,African inception,2580,10,[-2  2 -3  1 -3  3 -2  1 -3  3],4803.3,41.0,crit,-0.3
1134,African investigation,1134,8,[2 3 1 1 3 1 1 3],3625.875,39.125,crit,1.875
12988,African luxury,12988,8,[ 2  3 -1  2  3  3  3  2],3817.625,33.375,crit,2.125
1954,African nomination,1954,39,"[ 2  2 -3  3  0 -3  2  3 -1 -3  3  0  1 -1 -2  2 -2  3  3  3 -3 -1  1  3
  1  3  3  3  0  3 -2 -3  0  2  3 -3  2  0  3]",3665.2820512820513,38.02564102564103,crit,0.6923076923076923
16203,African nose,16203,11,[-1  3 -2  3  3  2  3  3 -3 -1  3],3821.2727272727275,30.181818181818183,crit,1.1818181818181819
10897,African novice,10897,10,[ 0 -3  2  3 -3  2  3  1 -2  2],3504.0,32.2,crit,0.5
12032,African outset,12032,11,[-2 -3 -1  2 -2 -3 -3  3 -3 -3  2],8177.727272727273,39.72727272727273,crit,-1.1818181818181819
1982,African pier,1982,39,"[ 3 -1  2 -2  3 -2  0  1 -1 -3  2  1  3  1  1  1 -3 -3  3  1  3 -3  0  3
  3  2  3  3  3  2 -3 -2  2  2  2 -3 -1  0  3]",4330.153846153846,39.05128205128205,crit,0.6666666666666666
15651,African pollution,15651,11,[ 3  3  3  1  2  1 -2  2  2  3  1],3395.181818181818,34.0,crit,1.7272727272727273
13429,African preparation,13429,10,[ 1 -3 -1  0  2  2  1 -3 -3 -3],5236.4,50.7,crit,-0.7
13312,African shortage,13312,12,[-2 -2 -3 -3  2  2  3 -1  0 -1 -3 -3],4370.333333333333,34.75,crit,-0.9166666666666666
2223,African trunk,2223,8,[ 1  3 -2  2  0 -3  1  0],6792.625,32.5,crit,0.25
19427,American beam,19427,10,[-3 -3 -2  2 -1 -1 -1 -3 -2 -2],6048.0,30.5,crit,-1.6
19966,American bulk,19966,10,[ 1  2 -2 -3  0 -2 -3  0  0  1],4350.4,30.7,crit,-0.6
10914,American correlation,10914,9,[ 0 -3  1  2  1 -1  0 -3  2],9706.0,29.11111111111111,crit,-0.1111111111111111
9609,American crater,9609,11,[-3 -3  3  2  0  1  1 -2  1  2 -2],4745.0,34.81818181818182,crit,0.0
8967,American dairy,8967,9,[ 0  3  2  3  2  2  3 -1  3],4970.333333333333,29.666666666666668,crit,1.8888888888888888
18295,American hook,18295,9,[ 1 -1  1  2 -3  3 -3 -1 -2],3244.777777777778,27.22222222222222,crit,-0.3333333333333333
14020,American ice,14020,11,[ 2  3  3  0  0  0  1 -2 -1  2 -1],4537.090909090909,32.09090909090909,crit,0.6363636363636364
11558,American incidence,11558,11,[ 3 -3  2  2  1  3  2  2  3  2  2],5915.0,36.27272727272727,crit,1.7272727272727273
11019,American inflammation,11019,10,[-3 -3 -2 -2 -2 -2 -3  1 -1 -1],4511.5,39.5,crit,-1.8
