,Unnamed: 0.1,Unnamed: 0,item_id,verb,verb_participle,object,prep,classification_prefix,binary_prefix,sentence_prefix,probable,improbable,impossible,inconceivable,inconceivable_syntactic,trees,birds,monsters
0,0,0,0,bake,baking,a cake,inside,baking a cake inside,Could someone bake a cake inside,[NP] baked a cake inside,an oven,an airfryer,a freezer,a sigh,grasp,growing a tree in a lush forest.,birds nesting in a tree.,cooking a monster stew inside a cauldron.
1,1,1,1,boil,boiling,water,using,boiling water using,Could someone boil water using,[NP] boiled water using,a kettle,a microwave,a refrigerator,justice,began,watering trees using a garden hose.,birds gathering water from a stream.,monsters brewing a potion in a cauldron.
2,2,2,2,break,breaking,a coconut,using,breaking a coconut using,Could someone break a coconut using,[NP] broke a coconut using,a rock,a table,a pillow,a texture,of,cracking open a nut using a stone.,breaking a bird's shell using a rock.,smashing a skull with a club.
3,3,3,3,build,building,a house,out of,building a house out of,Could someone build a house out of,[NP] built a house out of,brick,grass,gas,language,at,planting a grove of trees.,constructing a nest out of twigs.,constructing a fortress made of stone against the monsters.
4,4,4,4,build,building,a bridge,out of,building a bridge out of,Could someone build a bridge out of,[NP] built a bridge out of,steel,plastic,soup,dance,fell,growing a forest of sturdy oak trees.,constructing a nest out of twigs.,constructing a fortress from the bones of fallen monsters.
5,5,5,5,call,calling,a friend,using,calling a friend using,Could someone call a friend using,[NP] called a friend using,a phone,a laptop,a sandwich,mass,with,whispering to the wind through the rustling leaves of a tree.,calling a friend using a bird song.,summoning a monster using a mystical artifact.
6,6,6,6,carry,carrying,groceries,inside,carrying groceries inside,Could someone carry groceries inside,[NP] carried groceries inside,a tote bag,a backpack,a tornado,a law,give,swaying gently in the breeze with rustling leaves.,carrying twigs inside a nest.,carrying a treasure hoard inside a tattered satchel.
7,7,7,7,carve,carving,a statue,using,carving a statue using,Could someone carve a statue using,[NP] carved a statue using,a chisel,a nail,a sock,laughter,forget,shaping a tree using a chainsaw.,crafting a nest using twigs and leaves.,sculpting a monster using a chisel.
8,8,8,8,catch,catching,a fish,in,catching a fish in,Could someone catch a fish in,[NP] caught a fish in,a lake,a puddle,a raindrop,an exclamation,become,climbing a tree in the forest.,catching a worm in the grass.,catching a monster in a dark swamp.
9,9,9,9,chill,chilling,a drink,using,chilling a drink using,Could someone chill a drink using,[NP] chilled a drink using,ice,snow,fire,yesterday,onto,cooling the air with shade from trees.,cooling a bird's nest with fresh leaves.,chilling a lair using frozen monsters.
10,10,10,10,chop,chopping,a carrot,using,chopping a carrot using,Could someone chop a carrot using,[NP] chopped a carrot using,a knife,a sword,a rag,a color,through,cutting down a tree with an ax.,pecking at seeds using their beaks.,slicing a monstrous root with a jagged claw.
