list_id,sentence_id,sentence,global_sentence_id
1,1,The father sells with bright mushrooms,0
1,2,The city hospital plays today,1
1,3,The holiday park rests easy,2
1,4,The milk is sweet and very strong,3
1,5,The eleven men grow many toys,4
1,6,The beer loves old cake,5
1,7,The chocolate garden opens often,6
1,8,My hat drinks in the crowded school,7
1,9,He wears his horrible cheese home,8
1,10,The amazing kid is colorful and weak,9
1,11,A dangerous weekend is really thirsty,10
1,12,The kids taste the party salt,11
1,13,These annoying months baked in a game,12
1,14,That doctor hates more candy,13
1,15,The brown bar lost questions,14
1,16,The girl ate busy dresses,15
1,17,The sister and juice smelled lazy,16
1,18,My grandmother works the red bath,17
1,19,The beautiful ground enjoyed the worker,18
1,20,His vegetables carried in large eggs,19
1,21,The fast parade was barely alive,20
1,22,Our train missed taking the cheese,21
1,23,The gray sun asks a student,22
1,24,The cat warms brother on the plant,23
1,25,My white mouse needs my performer,24
2,1,The people write after her salad,25
2,2,The class broke scary twins,26
2,3,The university sounded their five plane,27
2,4,The glass noise owned far away,28
2,5,That loud kitchen learned to the dog,29
2,6,Our places taste the cheap baby,30
2,7,The serious light works for drink,31
2,8,Some grandparents land large lunch,32
2,9,The late couple met fruit,33
2,10,The teenager forgot with monkey,34
2,11,The lost father is really simple,35
2,12,The lady seems to bring coffee sometimes,36
2,13,A shy cousin traveled the people,37
2,14,A child chased down the office,38
2,15,The thirsty dish was excited and black,39
2,16,The hungry street upset the tourist,40
2,17,Her noisy actor kissed grandparents,41
2,18,The minutes and fruit sing again,42
2,19,Our cruel cough walked horrible,43
2,20,Her neighbors are bright and not silver,44
2,21,The ten professors will avoid in dinner,45
2,22,The private students were fresh young,46
2,23,The woman was weird in many problems,47
2,24,My players live  in the favorite car,48
2,25,The bears eat brown performer,49
3,1,The teenagers took hungry snacks,50
3,2,My queen burned songs for the mouse,51
3,3,The short horse explored brightly,52
3,4,A theater planned foreign baseball,53
3,5,The red lunch made the family,54
3,6,A king and chef played the band,55
3,7,The many jobs eat wonderful,56
3,8,The blue business broke clothes,57
3,9,The evening and tree ate the window,58
3,10,The dark puppy is new and orange,59
3,11,A christmas nurse is quite strong,60
3,12,The useful grandpa sells in the field,61
3,13,The cats scared fire in my path,62
3,14,The popular rabbit was late this party,63
3,15,The army created big nights,64
3,16,A fresh sky jumped high,65
3,17,A bird roasts the full concert,66
3,18,An excited bicycle loves breaks,67
3,19,The rain works in the opera restaurant,68
3,20,The glass waiter chases the mother,69
3,21,Her pork won wild wine,70
3,22,The store means visitors in the park,71
3,23,The computer sings nervous children,72
3,24,The cheap bear went down that battle,73
3,25,This tourist looks expensive morning,74
4,1,The window eats in wild grass,75
4,2,The fear found his twelve children,76
4,3,The homemade night worked first,77
4,4,That daughter lives for the cold home,78
4,5,The weekend is expensive and not sad,79
