,sentence,layer,improbable_impossible_projection,impossible_inconceivable_projection,improbable_inconceivable_projection
0,Taste that fowl and those fish.,0,-2.671875,-5.84375,-8.5
1,Taste that fowl and those fish.,1,-6.125,-38.0,-44.0
2,Taste that fowl and those fish.,2,-0.89453125,-27.0,-27.875
3,Taste that fowl and those fish.,3,29.625,-14.3125,15.25
4,Taste that fowl and those fish.,4,-1.8125,-72.5,-74.0
5,Taste that fowl and those fish.,5,98.5,62.25,161.0
6,Taste that fowl and those fish.,6,7.84375,-94.5,-86.5
7,Taste that fowl and those fish.,7,7.1875,-408.0,-400.0
8,Taste that fowl and those fish.,8,-7.96875,-432.0,-440.0
9,Taste that fowl and those fish.,9,81.5,-290.0,-208.0
10,Taste that fowl and those fish.,10,179.0,-720.0,-540.0
11,Taste that fowl and those fish.,11,302.0,-1048.0,-748.0
12,Taste that fowl and those fish.,12,195.0,-860.0,-660.0
13,Taste that fowl and those fish.,13,580.0,-1616.0,-1040.0
14,Taste that fowl and those fish.,14,784.0,-1800.0,-1012.0
15,Taste that fowl and those fish.,15,416.0,-3056.0,-2624.0
16,Taste that fowl and those fish.,16,836.0,-3728.0,-2896.0
17,Taste that fowl and those fish.,17,167.0,-3648.0,-3504.0
18,Taste that fowl and those fish.,18,536.0,-5152.0,-4640.0
19,Taste that fowl and those fish.,19,180.0,-4736.0,-4544.0
20,Taste that fowl and those fish.,20,656.0,-4672.0,-4016.0
21,Taste that fowl and those fish.,21,1656.0,-5216.0,-3552.0
22,Taste that fowl and those fish.,22,1704.0,-7008.0,-5312.0
23,Taste that fowl and those fish.,23,2720.0,-7776.0,-5056.0
24,Taste that fowl and those fish.,24,2496.0,-9792.0,-7296.0
25,Taste that fowl and those fish.,25,1004.0,-3312.0,-2304.0
26,All sorts of treasure there too.,0,-3.296875,4.34375,1.0625
27,All sorts of treasure there too.,1,-5.90625,-14.75,-20.75
28,All sorts of treasure there too.,2,0.2392578125,-3.140625,-2.90625
29,All sorts of treasure there too.,3,29.0,20.125,49.0
30,All sorts of treasure there too.,4,-12.25,-31.75,-44.25
31,All sorts of treasure there too.,5,61.0,97.0,158.0
32,All sorts of treasure there too.,6,-40.0,-144.0,-185.0
33,All sorts of treasure there too.,7,-13.9375,-508.0,-520.0
34,All sorts of treasure there too.,8,-33.5,-580.0,-612.0
35,All sorts of treasure there too.,9,52.25,-370.0,-318.0
36,All sorts of treasure there too.,10,196.0,-868.0,-676.0
37,All sorts of treasure there too.,11,320.0,-988.0,-664.0
38,All sorts of treasure there too.,12,142.0,-952.0,-804.0
39,All sorts of treasure there too.,13,608.0,-1520.0,-916.0
40,All sorts of treasure there too.,14,848.0,-1944.0,-1088.0
41,All sorts of treasure there too.,15,468.0,-3328.0,-2848.0
42,All sorts of treasure there too.,16,848.0,-3472.0,-2640.0
43,All sorts of treasure there too.,17,292.0,-3712.0,-3424.0
44,All sorts of treasure there too.,18,740.0,-5600.0,-4864.0
45,All sorts of treasure there too.,19,223.0,-5184.0,-4960.0
46,All sorts of treasure there too.,20,676.0,-5152.0,-4480.0
47,All sorts of treasure there too.,21,1928.0,-5536.0,-3616.0
48,All sorts of treasure there too.,22,2144.0,-7776.0,-5632.0
49,All sorts of treasure there too.,23,3456.0,-8512.0,-5056.0
50,All sorts of treasure there too.,24,3312.0,-10048.0,-6752.0
51,All sorts of treasure there too.,25,2896.0,-1600.0,1280.0
52,The small flock of birds circled.,0,-3.375,-2.40625,-5.75
53,The small flock of birds circled.,1,-4.8125,-25.625,-30.5
54,The small flock of birds circled.,2,0.357421875,-16.125,-15.8125
55,The small flock of birds circled.,3,27.75,0.80859375,28.375
56,The small flock of birds circled.,4,-10.125,-59.0,-69.0
57,The small flock of birds circled.,5,86.5,86.5,173.0
58,The small flock of birds circled.,6,0.1337890625,-127.5,-128.0
59,The small flock of birds circled.,7,12.0,-492.0,-478.0
60,The small flock of birds circled.,8,-4.78125,-560.0,-564.0
61,The small flock of birds circled.,9,95.0,-332.0,-237.0
62,The small flock of birds circled.,10,201.0,-864.0,-668.0
63,The small flock of birds circled.,11,366.0,-1128.0,-760.0
64,The small flock of birds circled.,12,215.0,-1032.0,-816.0
65,The small flock of birds circled.,13,490.0,-1840.0,-1344.0
66,The small flock of birds circled.,14,720.0,-2032.0,-1312.0
67,The small flock of birds circled.,15,288.0,-3584.0,-3296.0
68,The small flock of birds circled.,16,564.0,-3808.0,-3264.0
69,The small flock of birds circled.,17,-104.0,-3536.0,-3648.0
70,The small flock of birds circled.,18,324.0,-5120.0,-4800.0
71,The small flock of birds circled.,19,-215.0,-4672.0,-4864.0
72,The small flock of birds circled.,20,163.0,-4384.0,-4256.0
73,The small flock of birds circled.,21,792.0,-4992.0,-4224.0
74,The small flock of birds circled.,22,940.0,-6592.0,-5632.0
75,The small flock of birds circled.,23,1800.0,-7264.0,-5440.0
76,The small flock of birds circled.,24,1120.0,-8384.0,-7232.0
77,The small flock of birds circled.,25,-390.0,-3056.0,-3488.0
78,The music drums inside my head.,0,-3.0,-4.0625,-7.0625
79,The music drums inside my head.,1,-4.84375,-24.625,-29.375
80,The music drums inside my head.,2,-0.1865234375,-13.3125,-13.5
81,The music drums inside my head.,3,12.625,-29.125,-16.875
82,The music drums inside my head.,4,-16.375,-58.75,-75.5
83,The music drums inside my head.,5,58.0,82.0,140.0
84,The music drums inside my head.,6,-22.375,-76.5,-99.0
85,The music drums inside my head.,7,-14.3125,-414.0,-426.0
86,The music drums inside my head.,8,-15.375,-418.0,-432.0
87,The music drums inside my head.,9,108.5,-192.0,-84.5
88,The music drums inside my head.,10,171.0,-684.0,-516.0
89,The music drums inside my head.,11,416.0,-1040.0,-620.0
90,The music drums inside my head.,12,256.0,-980.0,-720.0
91,The music drums inside my head.,13,692.0,-1600.0,-912.0
92,The music drums inside my head.,14,980.0,-1768.0,-780.0
93,The music drums inside my head.,15,600.0,-3024.0,-2432.0
94,The music drums inside my head.,16,1048.0,-3552.0,-2512.0
95,The music drums inside my head.,17,480.0,-3200.0,-2736.0
96,The music drums inside my head.,18,932.0,-4992.0,-4048.0
97,The music drums inside my head.,19,476.0,-4224.0,-3744.0
98,The music drums inside my head.,20,944.0,-4096.0,-3152.0
99,The music drums inside my head.,21,2032.0,-4288.0,-2256.0
100,The music drums inside my head.,22,2336.0,-6048.0,-3696.0
101,The music drums inside my head.,23,3568.0,-6304.0,-2752.0
102,The music drums inside my head.,24,3360.0,-7648.0,-4288.0
103,The music drums inside my head.,25,2544.0,620.0,3104.0
104,They are very devoted and faithful.,0,-3.359375,6.625,3.265625
105,They are very devoted and faithful.,1,-5.1875,-16.625,-21.75
106,They are very devoted and faithful.,2,-1.0625,-5.53125,-6.5625
107,They are very devoted and faithful.,3,23.875,25.0,48.75
108,They are very devoted and faithful.,4,-16.0,-17.25,-33.75
109,They are very devoted and faithful.,5,55.5,108.0,164.0
110,They are very devoted and faithful.,6,-38.5,-119.0,-158.0
111,They are very devoted and faithful.,7,-32.25,-394.0,-426.0
112,They are very devoted and faithful.,8,-66.0,-508.0,-572.0
113,They are very devoted and faithful.,9,-6.96875,-304.0,-312.0
114,They are very devoted and faithful.,10,104.5,-716.0,-612.0
115,They are very devoted and faithful.,11,338.0,-1152.0,-812.0
116,They are very devoted and faithful.,12,48.75,-992.0,-940.0
117,They are very devoted and faithful.,13,402.0,-1424.0,-1024.0
118,They are very devoted and faithful.,14,708.0,-1576.0,-864.0
119,They are very devoted and faithful.,15,338.0,-3072.0,-2720.0
120,They are very devoted and faithful.,16,648.0,-3040.0,-2400.0
121,They are very devoted and faithful.,17,39.0,-2832.0,-2816.0
122,They are very devoted and faithful.,18,452.0,-4288.0,-3824.0
123,They are very devoted and faithful.,19,-173.0,-3584.0,-3760.0
124,They are very devoted and faithful.,20,170.0,-3424.0,-3264.0
125,They are very devoted and faithful.,21,1080.0,-3072.0,-1992.0
126,They are very devoted and faithful.,22,1032.0,-4608.0,-3584.0
127,They are very devoted and faithful.,23,2080.0,-4704.0,-2624.0
128,They are very devoted and faithful.,24,1672.0,-4544.0,-2864.0
129,They are very devoted and faithful.,25,187.0,8448.0,8640.0
130,What an amazing and wonderful metamorphosis.,0,-3.25,8.6875,5.4375
131,What an amazing and wonderful metamorphosis.,1,-5.3125,-14.0,-19.25
132,What an amazing and wonderful metamorphosis.,2,-0.8046875,-8.75,-9.5625
133,What an amazing and wonderful metamorphosis.,3,39.75,55.0,94.5
134,What an amazing and wonderful metamorphosis.,4,-0.66015625,-6.375,-7.34375
135,What an amazing and wonderful metamorphosis.,5,97.5,173.0,270.0
136,What an amazing and wonderful metamorphosis.,6,-23.25,-96.0,-120.0
137,What an amazing and wonderful metamorphosis.,7,5.375,-512.0,-504.0
138,What an amazing and wonderful metamorphosis.,8,-3.3125,-604.0,-604.0
139,What an amazing and wonderful metamorphosis.,9,87.5,-240.0,-154.0
140,What an amazing and wonderful metamorphosis.,10,178.0,-812.0,-636.0
141,What an amazing and wonderful metamorphosis.,11,422.0,-1264.0,-836.0
142,What an amazing and wonderful metamorphosis.,12,217.0,-1064.0,-840.0
143,What an amazing and wonderful metamorphosis.,13,648.0,-1600.0,-964.0
144,What an amazing and wonderful metamorphosis.,14,976.0,-1872.0,-896.0
145,What an amazing and wonderful metamorphosis.,15,576.0,-3840.0,-3264.0
146,What an amazing and wonderful metamorphosis.,16,1216.0,-3920.0,-2704.0
147,What an amazing and wonderful metamorphosis.,17,712.0,-3904.0,-3184.0
148,What an amazing and wonderful metamorphosis.,18,1392.0,-5920.0,-4512.0
149,What an amazing and wonderful metamorphosis.,19,704.0,-5120.0,-4416.0
150,What an amazing and wonderful metamorphosis.,20,1240.0,-5344.0,-4096.0
151,What an amazing and wonderful metamorphosis.,21,2688.0,-5184.0,-2480.0
152,What an amazing and wonderful metamorphosis.,22,2832.0,-7168.0,-4352.0
153,What an amazing and wonderful metamorphosis.,23,4128.0,-7936.0,-3792.0
154,What an amazing and wonderful metamorphosis.,24,4128.0,-9088.0,-4928.0
155,What an amazing and wonderful metamorphosis.,25,2976.0,-2240.0,716.0
156,She began to worry about infection.,0,-2.890625,4.46875,1.6015625
157,She began to worry about infection.,1,-3.203125,-17.875,-21.125
158,She began to worry about infection.,2,1.125,-9.8125,-8.6875
159,She began to worry about infection.,3,29.25,13.125,42.25
160,She began to worry about infection.,4,-5.625,-40.5,-46.25
161,She began to worry about infection.,5,93.0,115.5,208.0
162,She began to worry about infection.,6,-10.5625,-111.5,-122.0
163,She began to worry about infection.,7,-19.75,-480.0,-498.0
164,She began to worry about infection.,8,-36.75,-596.0,-628.0
165,She began to worry about infection.,9,43.25,-296.0,-254.0
166,She began to worry about infection.,10,164.0,-852.0,-688.0
167,She began to worry about infection.,11,324.0,-1168.0,-844.0
168,She began to worry about infection.,12,63.0,-1096.0,-1032.0
169,She began to worry about infection.,13,408.0,-1704.0,-1296.0
170,She began to worry about infection.,14,672.0,-1992.0,-1320.0
171,She began to worry about infection.,15,80.5,-3696.0,-3600.0
172,She began to worry about infection.,16,472.0,-3808.0,-3344.0
173,She began to worry about infection.,17,-22.0,-3856.0,-3872.0
174,She began to worry about infection.,18,280.0,-5504.0,-5216.0
175,She began to worry about infection.,19,-364.0,-4896.0,-5248.0
176,She began to worry about infection.,20,44.25,-4576.0,-4544.0
177,She began to worry about infection.,21,904.0,-4640.0,-3728.0
178,She began to worry about infection.,22,828.0,-6272.0,-5440.0
179,She began to worry about infection.,23,1864.0,-7040.0,-5184.0
180,She began to worry about infection.,24,1456.0,-7744.0,-6304.0
181,She began to worry about infection.,25,-276.0,-1392.0,-1640.0
182,It has a light tangy flavor.,0,-3.34375,1.03125,-2.25
183,It has a light tangy flavor.,1,-5.90625,-32.0,-38.0
184,It has a light tangy flavor.,2,-2.34375,-23.25,-25.625
185,It has a light tangy flavor.,3,16.0,-13.6875,2.03125
186,It has a light tangy flavor.,4,-16.25,-70.5,-87.0
187,It has a light tangy flavor.,5,34.75,20.75,56.0
188,It has a light tangy flavor.,6,-65.5,-225.0,-290.0
189,It has a light tangy flavor.,7,-61.25,-560.0,-624.0
190,It has a light tangy flavor.,8,-84.5,-708.0,-788.0
191,It has a light tangy flavor.,9,-11.3125,-446.0,-456.0
192,It has a light tangy flavor.,10,92.0,-1016.0,-928.0
193,It has a light tangy flavor.,11,330.0,-1536.0,-1208.0
194,It has a light tangy flavor.,12,76.0,-1424.0,-1344.0
195,It has a light tangy flavor.,13,360.0,-2112.0,-1752.0
196,It has a light tangy flavor.,14,728.0,-2320.0,-1576.0
197,It has a light tangy flavor.,15,294.0,-4160.0,-3856.0
198,It has a light tangy flavor.,16,494.0,-3696.0,-3216.0
199,It has a light tangy flavor.,17,-22.875,-3648.0,-3680.0
200,It has a light tangy flavor.,18,382.0,-5088.0,-4704.0
