sentence_0,sentence_1,modal_0,modal_1,semantics_0,semantics_1
The halftime show at the football match was organised by the cheerleader.,The halftime show at the football match was organised by the goalpost.,probable,impossible,related,related
During the solo music performance the strings were plucked by the harpist.,During the solo music performance the strings were plucked by the violin.,probable,impossible,related,related
At the restaurant all the meals were cooked by the chef.,At the restaurant all the meals were cooked by the plate.,probable,impossible,related,related
The scientific research was funded by the sponsor.,The scientific research was funded by the microscope.,probable,impossible,related,related
Tenants were upset when housing prices were raised by the proprietor.,Tenants were upset when housing prices were raised by the property.,probable,impossible,related,related
After crying and waking up his parents the baby was breast-fed by his mummy.,After crying and waking up his parents the baby was breast-fed by his carry-cot.,probable,impossible,related,related
"At the baseball game, a ball was thrown by the pitcher.","At the baseball game, a ball was thrown by the scoreboard.",probable,impossible,related,related
The cure for the disease was discovered by the doctor.,The cure for the disease was discovered by the medication.,probable,impossible,related,related
At the theatre the programs were given by the usher.,At the theatre the programs were given by the ticket.,probable,impossible,related,related
At the wedding ceremony the ring was brought by the groom.,At the wedding ceremony the ring was brought by the veil.,probable,impossible,related,related
At the club the cocktails are served by the barmaid.,At the club the cocktails are served by the tonic.,probable,impossible,related,related
The rules of the game show were explained by the host.,The rules of the game show were explained by the prize.,probable,impossible,related,related
The next bus stop was announced by the coachman.,The next bus stop was announced by the bell.,probable,impossible,related,related
The child's dirty nappy was changed by his mum.,The child's dirty nappy was changed by his powder.,probable,impossible,related,related
"At the ballet, the music was played by the orchestra.","At the ballet, the music was played by the tutu.",probable,impossible,related,related
In ancient Egypt the people were governed by the Pharaoh.,In ancient Egypt the people were governed by the pyramid.,probable,impossible,related,related
The patient's aches and pains were examined by the physician.,The patient's aches and pains were examined by the medicine.,probable,impossible,related,related
The rope was thrown by the cowboy.,The rope was thrown by the saddle.,probable,impossible,related,related
The murder witness was cross-questioned by the detective.,The murder witness was cross-questioned by the blood.,probable,impossible,related,related
The violent demonstration was policed by the policeman.,The violent demonstration was policed by the banner.,probable,impossible,related,related
The cult's prophecies were established by the prophet.,The cult's prophecies were established by the candle.,probable,impossible,related,related
"While eating dinner with her parents, the woman was proposed to by her boyfriend.","While eating dinner with her parents, the woman was proposed to by her diamond.",probable,impossible,related,related
The studio recorded an album with music sung by the vocalist.,The studio recorded an album with music sung by the keyboard.,probable,impossible,related,related
The aeroplane was flown by the pilot.,The aeroplane was flown by the turbine.,probable,impossible,related,related
The first lectures in college were given by the lecturer.,The first lectures in college were given by the chalk.,probable,impossible,related,related
The car's new features were marketed by the saleswoman.,The car's new features were marketed by the engine.,probable,impossible,related,related
The husband got involved in an affair after having been seduced by his mistress.,The husband got involved in an affair after having been seduced by his divorce.,probable,impossible,related,related
At UK pubs every drink is poured by the barman.,At UK pubs every drink is poured by the rum.,probable,impossible,related,related
"At the hotel, luggage is delivered by the porter.","At the hotel, luggage is delivered by the suitcase.",probable,impossible,related,related
The clever boy was able to win the contest helped by his mate.,The clever boy was able to win the contest helped by his challenge.,probable,impossible,related,related
"Thanks to the union talks, improved benefits were received by the employee.","Thanks to the union talks, improved benefits were received by the list.",probable,impossible,related,related
"In the fairy-tale, the princess was rescued by the prince.","In the fairy-tale, the princess was rescued by the crown.",probable,impossible,related,related
The chaos in the classroom was initiated by the preschooler.,The chaos in the classroom was initiated by the blackboard.,probable,impossible,related,related
Every day the rich Duke's soiled underwear was scrubbed by the maid.,Every day the rich Duke's soiled underwear was scrubbed by the dirt.,probable,impossible,related,related
The pianist played his music while the bass was strummed by the guitarist.,The pianist played his music while the bass was strummed by the drum.,probable,impossible,related,related
"During the exam, unacceptable cheating behaviour was exhibited by the student.","During the exam, unacceptable cheating behaviour was exhibited by the chair.",probable,impossible,related,related
Everyone sat around the campfire to hear a tale told by the storyteller.,Everyone sat around the campfire to hear a tale told by the log.,probable,impossible,related,related
At the pharmacy three bottles of insulin were sold by the pharmacist.,At the pharmacy three bottles of insulin were sold by the aspirin.,probable,impossible,related,related
"At the school, punishments for being late in class were given by the headmistress.","At the school, punishments for being late in class were given by the desk.",probable,impossible,related,related
After the meal was over the waitress was tipped by the customer.,After the meal was over the waitress was tipped by the penny.,probable,impossible,related,related
At the wedding the couple was married by the pastor.,At the wedding the couple was married by the ring.,probable,impossible,related,related
The car was given a parking ticket by the traffic warden.,The car was given a parking ticket by the brake.,probable,impossible,related,related
The film was recorded by the director.,The film was recorded by the script.,probable,impossible,related,related
During the basketball game hot dogs were sold by the vendor.,During the basketball game hot dogs were sold by the mustard.,probable,impossible,related,related
The man who stole the money was prosecuted by the lawyer.,The man who stole the money was prosecuted by the confession.,probable,impossible,related,related
"At the roller coaster in the amusement park, customers are counted by the personnel.","At the roller coaster in the amusement park, customers are counted by the track.",probable,impossible,related,related
The skin operation was performed by the dermatologist.,The skin operation was performed by the anaesthesia.,probable,impossible,related,related
"At the track, the horse was raced by the jockey.","At the track, the horse was raced by the harness.",probable,impossible,related,related
The burglars were caught and arrested by the cop.,The burglars were caught and arrested by the handcuff.,probable,impossible,related,related
The castle was attacked by the enemy.,The castle was attacked by the protection.,probable,impossible,related,related
"In the court-case that attracted lots of media, the man was sentenced by the judge.","In the court-case that attracted lots of media, the man was sentenced by the verdict.",probable,impossible,related,related
Everyone watched while the man was mugged by the attacker.,Everyone watched while the man was mugged by the wallet.,probable,impossible,related,related
At the sausage stand lots of food was bought by the eater.,At the sausage stand lots of food was bought by the onion.,probable,impossible,related,related
The decision to cancel the television show was made by the executive.,The decision to cancel the television show was made by the commercial.,probable,impossible,related,related
In the courtroom the killer was set free by the jury.,In the courtroom the killer was set free by the bullet.,probable,impossible,related,related
All possessions in the will were left by the deceased.,All possessions in the will were left by the grave.,probable,impossible,related,related
In an act of generosity a large sum was donated by the millionaire.,In an act of generosity a large sum was donated by the checkbook.,probable,impossible,related,related
The novel was written by the author.,The novel was written by the page.,probable,impossible,related,related
The holiday cruise ship was sailed by the captain.,The holiday cruise ship was sailed by the anchor.,probable,impossible,related,related
At the church the baptism was conducted by the minister.,At the church the baptism was conducted by the basin.,probable,impossible,related,related
"Before the island was discovered, it was inhabited by the native.","Before the island was discovered, it was inhabited by the ocean.",probable,impossible,related,related
The ship was navigated by the sailor.,The ship was navigated by the deck.,probable,impossible,related,related
The bank's vault had been robbed by the burglar.,The bank's vault had been robbed by the jewellery.,probable,impossible,related,related
