,prompt,base_class,surprisal,improbable_impossible,impossible_inconceivable,class
7,grooming a dog using a vacuum cleaner.,improbable,5.28125,0.1767578125,0.189453125,improbable
13,carving a turkey with a chainsaw.,improbable,4.5,0.1943359375,0.2373046875,improbable
14,drying hair with a leaf blower.,improbable,6.0625,0.185546875,0.267578125,improbable
28,bathing a cat in a teacup.,improbable,5.84375,0.1748046875,0.25390625,improbable
32,watering plants with a coffee pot.,improbable,5.96875,0.1767578125,0.255859375,improbable
37,cooking pasta in a waffle maker.,improbable,6.4375,0.171875,0.2451171875,improbable
38,toasting bread with a hairdryer.,improbable,5.59375,0.173828125,0.27734375,improbable
43,feeding ducks with cooked spaghetti.,improbable,7.84375,0.1748046875,0.263671875,improbable
47,lifting weights with helium balloons.,improbable,8.5625,0.171875,0.259765625,improbable
50,catching butterflies using a colander.,improbable,6.96875,0.1748046875,0.267578125,improbable
52,sewing a dress with fishing line.,improbable,6.6875,0.1875,0.255859375,improbable
53,building a raft out of soda bottles.,improbable,5.625,0.177734375,0.2734375,improbable
55,cooking pancakes on a car hood.,improbable,7.1875,0.18359375,0.2412109375,improbable
64,washing clothes by river stones.,improbable,8.25,0.171875,0.240234375,improbable
65,patching a tire with duct tape.,improbable,4.96875,0.1904296875,0.25,improbable
67,binding a book using dental floss.,improbable,7.1875,0.1787109375,0.27734375,improbable
72,polishing shoes with a banana peel.,improbable,6.28125,0.173828125,0.275390625,improbable
73,transporting groceries in a kayak.,improbable,6.375,0.1826171875,0.263671875,improbable
78,painting a fence using a toothbrush.,improbable,7.0625,0.18359375,0.26171875,improbable
80,grilling a steak using a hairdryer.,improbable,6.125,0.17578125,0.29296875,improbable
12,hammering a nail with a stapler.,improbable,5.25,0.119140625,0.228515625,improbable-impossible
15,boiling water on a barbecue grill.,improbable,6.28125,0.11962890625,0.2021484375,improbable-impossible
17,cutting grass with scissors.,improbable,7.78125,0.12255859375,0.1357421875,improbable-impossible
18,printing a document using a typewriter.,improbable,7.0625,0.119140625,0.1826171875,improbable-impossible
19,stirring a pot with a pen.,improbable,5.375,0.08740234375,0.1923828125,improbable-impossible
21,toasting bread with a campfire.,improbable,5.53125,0.10546875,0.12451171875,improbable-impossible
27,writing a letter with a feather and water.,improbable,5.8125,0.12158203125,0.2041015625,improbable-impossible
30,bouncing a basketball on a trampoline.,improbable,4.3125,0.1220703125,0.197265625,improbable-impossible
35,driving a car using only the reverse gear.,improbable,5.125,0.1279296875,0.2294921875,improbable-impossible
36,reading by the light of fireflies.,improbable,5.21875,0.1015625,0.197265625,improbable-impossible
41,balancing a book on a moving car's dashboard.,improbable,4.875,0.1279296875,0.220703125,improbable-impossible
42,hammering a nail with a rubber chicken.,improbable,5.5625,0.12890625,0.263671875,improbable-impossible
48,composing a melody using only doorbells.,improbable,5.6875,0.09326171875,0.2373046875,improbable-impossible
56,measuring distance using footsteps.,improbable,8.4375,0.11279296875,0.212890625,improbable-impossible
62,navigating by starlight alone.,improbable,7.3125,0.0986328125,0.1767578125,improbable-impossible
68,insulating a room with popcorn.,improbable,6.375,0.10498046875,0.2490234375,improbable-impossible
77,balancing a book on a pencil.,improbable,5.9375,0.12060546875,0.2451171875,improbable-impossible
82,cracking a nut using another nut.,improbable,5.625,0.0654296875,0.2392578125,improbable-impossible
88,starting a fire with a handful of sticks.,improbable,5.09375,0.1259765625,0.240234375,improbable-impossible
100,catching a fish with a pencil.,impossible,5.59375,0.150390625,0.2041015625,improbable-impossible
101,filling a bucket using a sieve.,impossible,6.0625,0.140625,0.23828125,improbable-impossible
102,extinguishing a fire using a magnifying glass.,impossible,5.75,0.1474609375,0.212890625,improbable-impossible
