dataset,item_id,prefix,Control,SemCrit,Sem,Synt
ryskin2021,1,Someone who has fought in a war is a,veteran,veterinarian,rhinestone,veterans
ryskin2021,2,The woman brought her sick pet dog to a,veterinarian,veteran,carton,veterinarians
ryskin2021,3,The vintage wedding dress was big and required an,alteration,altercation,inferno,alterations
ryskin2021,4,Mediators prevented the dispute from escalating into a violent,altercation,alteration,muskrat,altercations
ryskin2021,5,The storyteller could turn any incident into an amusing,anecdote,antidote,hearse,anecdotes
ryskin2021,6,She saved him from the poison by administering,an antidote,an anecdote,a matinee,an antidotes
ryskin2021,7,Clownfish have evolved invulnerability to the poison tentacles of,anemones,amenities,ornaments,anemone
ryskin2021,8,The upscale apartment was complete with all these modern,amenities,anemones,lymph,amenity
ryskin2021,9,The flooded river fertilized the fields with a rich,sediment,sentiment,juggler,sediments
ryskin2021,10,Political corruption and economic hardship fueled a growing anti-government,sentiment,sediment,dalmatian,sentiments
ryskin2021,11,Up on the tree branch perched a bright red,cardinal,carnival,masquerade,cardinals
ryskin2021,12,There is a beanbag toss game booth at this,carnival,cardinal,destruction,carnivals
ryskin2021,13,The reagents reacted faster in the presence of,a catalyst,a callus,an anecdote,a catalysts
ryskin2021,14,"After hours of playing, the guitarist's fingertips developed a",callus,catalyst,pasture,calluses
ryskin2021,15,Pikemen can be an effective defense against a charging,cavalry,cavity,stipulation,cavalries
ryskin2021,16,The dentist congratulated me on not having a single,cavity,cavalry,petal,cavities
ryskin2021,17,After my root canal the dentist prescribed a pain,medication,meditation,balcony,medications
ryskin2021,18,The monk sat quietly and fell into a deep,meditation,medication,arsenal,meditations
ryskin2021,19,Her grandmother's pennies inspired her to start a coin,collection,correction,parasol,collections
ryskin2021,20,The teacher interrupted his sentence to make a grammatical,correction,collection,mercenary,corrections
ryskin2021,21,An intense tension headache can be mistaken for,a migraine,a migrant,an empire,a migraines
ryskin2021,22,Harvesting crops is often the job of a seasonal,migrant,migraine,massage,migrants
ryskin2021,23,"The zoo had two giraffes, an elephant, and a",rhino,rhinestone,carburetor,rhinos
ryskin2021,24,The child wore a glittery crown with a pink,rhinestone,rhino,captain,rhinestones
ryskin2021,25,The cause of death must be determined by a,coroner,corridor,dynasty,coroners
ryskin2021,26,His office is down at the end of this,corridor,coroner,arsenic,corridors
ryskin2021,27,Statisticians emphasize that causation is not implied by a,correlation,coronation,hypotenuse,correlations
ryskin2021,28,The king knelt to be crowned at an official,coronation,correlation,parasite,coronations
ryskin2021,29,The moth attracted a mate by releasing a potent,pheromone,pharaoh,admonition,pheromones
ryskin2021,30,The archeologists found the mummy of a young Egyptian,pharaoh,pheromone,hearth,pharoahs
ryskin2021,31,The student went to medical school to become a,physician,physicist,cardinal,physicians
ryskin2021,32,A new gravitational theory was proposed by an eminent,physicist,physician,campaign,physicists
ryskin2021,33,Blinking causes a momentary pupil contraction followed by a,dilation,dilution,mutiny,dilations
ryskin2021,34,The bleach is too concentrated and requires a 1-in-5,dilution,dilation,shudder,dilutions
ryskin2021,35,"The whining alarm shut off, finally silencing this annoying",distraction,destruction,mascara,distractions
