,sentence,imageability
0,chopping a carrot using a rag.,0.6906887385796857
1,filling a bucket with acorns.,-1.5463038405824756
2,breaking a coconut using a pillow.,-0.2394660901297573
3,tightening a bolt using a house.,-0.80962344758156
4,lighting a candle using a blowtorch.,-1.8906842231818466
5,climbing a tree using a rope.,-1.5245298747332523
6,squishing a blueberry using a sight.,-1.436796540778543
7,covering a window using a chant.,0.6157699460479468
8,making a smoothie using decades.,-0.46806629406211053
9,lifting a box using an emotion.,0.061827151459692475
10,catching a fish in a puddle.,0.17413452419259634
11,drying laundry using juice.,0.5302463424301764
12,building a bridge out of soup.,0.7979115742463431
13,drying [POSS] hands using a liquid.,0.19924729072239322
14,hiding a gift inside a forest.,-1.636351615886674
15,removing a stain using dirt.,-0.9521627869445107
16,entering a room through a theory.,-0.3815494161311855
17,eating soup using history.,0.7979115742463431
18,splitting a log using a saw.,-1.4938122765237234
19,washing [POSS] hair using applause.,0.34461616411323237
20,smashing a pumpkin using a boulder.,-0.5172791486579392
21,melting a chocolate bar using a radiator.,-0.42867568901447844
22,making a sandwich using lettuce.,-1.0769319531465704
23,unlocking a door using a marshmallow.,0.30467488809542354
24,squeezing juice from an envelope.,0.22603462558969836
25,packing a suit inside a groan.,0.6771632331658066
26,cutting cardboard using a scalpel.,0.49716461002803536
27,wearing shoes made of stars.,0.8730487489739618
28,cooling a room using a taste.,0.6157699460479468
29,baking a cake inside a freezer.,0.6412127600215465
30,sewing a shirt using a toothpick.,0.6157699460479468
31,taking a vacation to the sun.,0.23376577475346266
32,shaving [POSS] beard using a belief.,0.8730487489739618
33,boiling water using justice.,0.6157699460479468
34,growing flowers inside a mug.,-2.297617179183643
35,cleaning a spill using a country.,0.6157699460479468
36,chilling a drink using fire.,0.5017384745575862
37,shattering a window using a concept.,0.7718833752658124
38,cutting grass using a scythe.,0.5620144885194188
39,polishing jewelry using a shirt.,-0.9351185708343362
40,calling a friend using a laptop.,-1.7636370175412153
41,plucking a hair using a spoon.,0.13129899588146324
42,cleaning a carpet using a week.,0.5302463424301764
43,displaying books on a sigh.,0.6169830155736136
44,closing a jacket using fog.,0.7473123924484112
45,denting a car with a breeze.,0.6157699460479468
46,building a house out of language.,0.7648602983291656
47,dipping a biscuit into wine.,-1.6764312330146993
48,cooking dinner out of the moon.,0.42072495126394727
49,starting a fire using furniture.,-1.9446651622604987
50,writing an equation on a scream.,0.31908323542386213
51,crushing a soda can using a day.,0.5587542103027665
52,popping a balloon using a spear.,0.6157699460479468
53,writing a letter using a marathon.,0.7585964208675884
54,docking a boat using a lesson.,0.4104188622123609
55,paving a road using a comet.,0.20560475508818613
56,drinking a cup full of minutes.,0.8313279036039327
57,constructing a tower out of bubbles.,0.0931869398615488
58,digging a hole using a spatula.,-0.22128647116014427
59,rinsing fruit using a clock.,0.5546028915486618
60,carrying groceries inside a tornado.,0.6157699460479468
61,storing dishes inside an attic.,-0.8468749979352306
62,opening a jar using [POSS] mind.,0.18469643071644312
63,filling a purse with cream.,0.07362293199922658
64,turning an apple into honesty.,0.24676060287478654
65,hanging a painting using vapor.,0.5501282063958859
66,carving a statue using a sock.,0.04031495280308012
67,wrapping a present using gossip.,0.6157699460479468
68,crafting a bowl out of mud.,-2.506095897837927
69,painting a wall using a whisper.,0.4801548023927584
70,crushing a soda can using a tissue.,0.846603155120651
71,popping a balloon using a story.,-0.26680847525241214
72,shaving [POSS] beard using a knife.,2.1892230806557613
