sentence,class,rating,probable_improbable,improbable_impossible,impossible_inconceivable,pca_0,pca_1,pca_2,random_0,random_1,random_2,loss
wearing a baseball cap.,probable,1.0,-64.5,-232.0,-1680.0,-577.90216,35.357628,-16.105648,-66.0,97.0,157.0,6.75
eating an apple.,probable,1.0,-350.0,-466.0,-2256.0,-570.0014,38.354637,-9.020136,-51.75,231.0,39.25,8.375
washing a car.,probable,1.0,-177.0,-404.0,-2192.0,-566.91833,40.600903,-4.832451,-42.75,215.0,-0.291015625,8.0
losing money.,probable,1.0,5.03125,-66.5,-1232.0,-583.18353,40.112854,-14.54471,-59.75,183.0,18.0,10.6875
meeting a clown.,probable,1.0,510.0,318.0,-1608.0,-568.8185,41.14529,-1.1642761,105.5,188.0,76.0,10.5
building a house out of bricks.,probable,1.0,-103.5,-239.0,-2008.0,-579.0414,37.51561,-6.4340878,-132.0,231.0,118.5,4.96875
cleaning a closet.,probable,1.0,199.0,-149.0,-1784.0,-576.4481,40.273106,-0.3128109,34.0,238.0,32.5,9.375
winning a game.,probable,1.0,-70.5,-83.0,-1456.0,-571.5768,41.045166,-8.924386,-47.0,204.0,65.5,7.71875
finding an alligator under the bed.,improbable,0.58,478.0,148.0,-1952.0,-572.6515,36.658806,-7.9191246,115.5,155.0,8.9375,7.4375
drinking onion juice.,improbable,1.0,396.0,-80.0,-2160.0,-571.3335,39.355804,-7.004839,53.5,192.0,67.0,10.375
growing a beard to one's toes.,improbable,0.67,262.0,102.0,-1696.0,-573.6753,34.7546,-10.006319,-7.65625,192.0,95.5,5.6875
owning a lion for a pet.,improbable,0.83,506.0,-32.0,-2064.0,-572.19867,36.436146,-0.13232994,-97.5,142.0,7.25,6.5625
eating pickle-flavored ice cream.,improbable,0.92,288.0,-114.0,-2320.0,-568.1508,35.106472,-10.144066,-21.0,189.0,45.0,7.25
getting struck by lightning.,improbable,0.58,101.5,-110.0,-2032.0,-570.37274,37.541542,-6.506296,-118.0,216.0,38.75,7.4375
making a mug-shaped building.,improbable,0.58,436.0,130.0,-1944.0,-572.47485,37.26218,-5.887418,-25.75,105.5,164.0,7.28125
painting polka dots on an airplane.,improbable,0.67,210.0,-308.0,-2208.0,-578.43353,37.86662,-2.6314325,-85.0,202.0,23.25,7.78125
turning applesauce back into an apple.,impossible,0.08,552.0,544.0,-1632.0,-571.29425,34.74867,-4.5086536,-23.375,157.0,87.0,6.84375
growing money on a tree.,impossible,0.08,416.0,28.375,-2040.0,-576.0656,39.320393,-2.3308973,-28.375,131.0,59.5,6.46875
walking through a brick wall.,impossible,0.17,362.0,63.25,-2024.0,-577.215,37.545647,-9.894297,-46.75,151.0,68.0,6.5
traveling back in time.,impossible,0.33,196.0,67.5,-1456.0,-578.7389,39.688118,-4.1475153,-49.75,183.0,47.0,6.5
making a car vanish into thin air.,impossible,0.17,304.0,-22.25,-2080.0,-573.30664,35.47118,-9.115577,-32.25,98.0,72.0,5.65625
walking on water.,impossible,0.33,235.0,-15.5,-1864.0,-574.0985,37.808327,-8.40608,-163.0,140.0,60.5,7.34375
opening a window with one's mind.,impossible,0.42,376.0,242.0,-1504.0,-575.8319,36.89214,-5.086138,22.875,224.0,-1.25,4.84375
eating lightning for dinner.,impossible,0.42,596.0,338.0,-1768.0,-575.49274,37.460648,-7.8140736,27.875,34.75,6.90625,10.9375
