,stimuli,condition,elo
0,filling a bucket with buildings_impossible,impossible,1435.9870077226444
1,drying laundry using a fan_improbable,improbable,1441.7806606443278
2,unlocking a door using a marshmallow_impossible,impossible,1403.4205945091376
3,building a bridge out of plastic_improbable,improbable,1346.6946843399137
4,cooking dinner out of the moon_impossible,impossible,1394.6673998563924
5,writing an equation on a scream_inconceivable,inconceivable,1349.1373630051278
6,shaving [POSS] beard using a belief_inconceivable,inconceivable,1479.3536416490488
7,cutting cardboard using a snore_inconceivable,inconceivable,1383.1140026991475
8,baking a cake inside a sigh_inconceivable,inconceivable,1400.5901033213647
9,hanging a painting using a handshake_inconceivable,inconceivable,1453.2398502357266
10,cleaning a spill using a country_inconceivable,inconceivable,1472.60381230506
11,crafting a bowl out of smoke_impossible,impossible,1344.4764922412694
12,cooling a room using a taste_inconceivable,inconceivable,1439.7195779009899
13,digging a hole using dirt_impossible,impossible,1447.7264212433533
14,taking a vacation to the sun_impossible,impossible,1370.0063472663337
15,eating soup using a bucket_improbable,improbable,1421.6167826302085
16,lighting a candle using yogurt_impossible,impossible,1422.1888984394539
17,polishing jewelry using a chainsaw_impossible,impossible,1448.777274458243
18,squishing a blueberry using [POSS] nose_improbable,improbable,1442.8662092205755
19,painting a wall using a whisper_inconceivable,inconceivable,1426.5889136859587
20,catching a fish in a puddle_improbable,improbable,1350.0935019963895
21,packing a suit inside a pocket_improbable,improbable,1382.5307392900047
22,sewing a shirt using a toothpick_improbable,improbable,1461.2831599521003
23,carrying groceries inside a backpack_improbable,improbable,1400.4890797192522
24,drinking a cup full of minutes_inconceivable,inconceivable,1444.593818279569
25,shattering a window using confetti_impossible,impossible,1354.4760863831666
26,plucking a hair using sympathy_inconceivable,inconceivable,1397.7669096094505
27,crushing a soda can using a chair_improbable,improbable,1333.5719329899666
28,carving a statue using a sock_impossible,impossible,1356.6953649350535
29,denting a car with a dumbbell_improbable,improbable,1385.94336947077
