prefix,steering_concept,multiplier,rank,full_generation,first_token_generation,surprisal
Someone beat a drum with a,None,,0, stick, stick,2.046875
Someone beat a drum with a,None,,1, drumstick, drum,2.734375
Someone beat a drum with a,None,,2, spoon, spoon,3.859375
Someone beat a drum with a,None,,3, big stick, big,4.09375
Someone beat a drum with a,None,,4, hammer, hammer,4.15625
Someone beat a drum with a,impossible,3.0,0, drumstick, drum,2.734375
Someone beat a drum with a,impossible,3.0,1, goat, goat,6.53125
Someone beat a drum with a,impossible,3.0,2, human head, human,5.59375
Someone beat a drum with a,impossible,3.0,3, chicken in a drum, chicken,5.96875
Someone beat a drum with a,impossible,3.0,4, stick, stick,2.046875
Someone beat a drum with a,impossible,5.0,0, drum, drum,2.734375
Someone beat a drum with a,impossible,5.0,1, man in a boat, man,7.09375
Someone beat a drum with a,impossible,5.0,2, French, French,8.4375
Someone beat a drum with a,impossible,5.0,3, cat, cat,6.90625
Someone beat a drum with a,impossible,5.0,4, real drum, real,7.28125
Someone beat a drum with a,inconceivable,3.0,0, drumstick, drum,2.734375
Someone beat a drum with a,inconceivable,3.0,1, stick, stick,2.046875
Someone beat a drum with a,inconceivable,3.0,2, 2, ,4.78125
Someone beat a drum with a,inconceivable,3.0,3, hammer, hammer,4.15625
Someone beat a drum with a,inconceivable,3.0,4, new name, new,6.59375
Someone beat a drum with a,inconceivable,5.0,0, hammer, hammer,4.15625
Someone beat a drum with a,inconceivable,5.0,1, heart, heart,7.21875
Someone beat a drum with a,inconceivable,5.0,2, mind, mind,8.75
Someone beat a drum with a,inconceivable,5.0,3, head, head,7.28125
Someone beat a drum with a,inconceivable,5.0,4, brain, brain,10.1875
Someone beat a drum with a,improbable,3.0,0, stick, stick,2.046875
Someone beat a drum with a,improbable,3.0,1, drumstick, drum,2.734375
Someone beat a drum with a,improbable,3.0,2, spoon, spoon,3.859375
Someone beat a drum with a,improbable,3.0,3, can of soup, can,4.71875
Someone beat a drum with a,improbable,3.0,4, dead cat, dead,4.34375
Someone beat a drum with a,improbable,5.0,0, stick, stick,2.046875
Someone beat a drum with a,improbable,5.0,1, drumstick, drum,2.734375
Someone beat a drum with a,improbable,5.0,2, spoon, spoon,3.859375
Someone beat a drum with a,improbable,5.0,3, sword, sword,4.53125
Someone beat a drum with a,improbable,5.0,4, can of beer, can,4.71875
Someone bought a car with a,None,,0, $1, $,2.765625
Someone bought a car with a,None,,1, 3, ,2.765625
Someone bought a car with a,None,,2, title, title,3.453125
Someone bought a car with a,None,,3, VIN number, VIN,3.828125
Someone bought a car with a,None,,4, bad title, bad,4.03125
Someone bought a car with a,impossible,3.0,0, 2012 engine, ,2.765625
Someone bought a car with a,impossible,3.0,1, name, name,6.96875
Someone bought a car with a,impossible,3.0,2, body and a soul, body,6.53125
Someone bought a car with a,impossible,3.0,3, Ferrari engine, Ferrari,7.28125
Someone bought a car with a,impossible,3.0,4, $1, $,2.765625
Someone bought a car with a,impossible,5.0,0, car, car,4.90625
Someone bought a car with a,impossible,5.0,1, 2012, ,2.765625
Someone bought a car with a,impossible,5.0,2, Ferrari, Ferrari,7.28125
Someone bought a car with a,impossible,5.0,3, real car, real,7.34375
Someone bought a car with a,impossible,5.0,4, boat, boat,6.78125
Someone bought a car with a,inconceivable,3.0,0, 10-year-old, ,2.765625
Someone bought a car with a,inconceivable,3.0,1, credit card, credit,5.65625
Someone bought a car with a,inconceivable,3.0,2, car, car,4.90625
Someone bought a car with a,inconceivable,3.0,3, $1000, $,2.765625
Someone bought a car with a,inconceivable,3.0,4, name, name,6.96875
Someone bought a car with a,inconceivable,5.0,0, heart, heart,8.0625
Someone bought a car with a,inconceivable,5.0,1, 2, ,2.765625
Someone bought a car with a,inconceivable,5.0,2,"
A","
",8.1875
Someone bought a car with a,inconceivable,5.0,3, car, car,4.90625
Someone bought a car with a,inconceivable,5.0,4, year, year,6.40625
Someone bought a car with a,improbable,3.0,0, 3, ,2.765625
Someone bought a car with a,improbable,3.0,1, $1, $,2.765625
Someone bought a car with a,improbable,3.0,2, fake title, fake,5.09375
Someone bought a car with a,improbable,3.0,3, VIN number, VIN,3.828125
Someone bought a car with a,improbable,3.0,4, title, title,3.453125
Someone bought a car with a,improbable,5.0,0, 3, ,2.765625
Someone bought a car with a,improbable,5.0,1, $1, $,2.765625
Someone bought a car with a,improbable,5.0,2, title, title,3.453125
Someone bought a car with a,improbable,5.0,3, VIN number, VIN,3.828125
Someone bought a car with a,improbable,5.0,4, Ferrari engine, Ferrari,7.28125
Someone analyzed the data using a,None,,0, t-test, t,2.421875
Someone analyzed the data using a,None,,1, chi-square test, chi,2.609375
Someone analyzed the data using a,None,,2, statistical test, statistical,3.296875
Someone analyzed the data using a,None,,3, regression model, regression,3.734375
Someone analyzed the data using a,None,,4, 2, ,3.796875
Someone analyzed the data using a,impossible,3.0,0, 3D printer, ,3.796875
Someone analyzed the data using a,impossible,3.0,1, calculator, calculator,5.78125
