sentence,label,probable,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
A boy being entertained by a podcast.,probable,1.0,0.0,0.11721980571746826,-4.221977233886719,-7.637176513671875,-4.221977233886719,-7.637176513671875
A crumb applying for a job.,near,0.3333333333333333,0.6666666666666666,3.449925661087036,-3.494617462158203,-6.040127754211426,-3.494617462158203,-6.040127754211426
A crumb being greater than 10.,far,0.1333333333333333,0.8666666666666667,2.6019134521484375,-5.971735954284668,-5.825076103210449,-5.971735954284668,-5.825076103210449
A door being a multiple of 5.,far,0.0,1.0,5.873542785644531,-4.064028263092041,-5.263739109039307,-4.064028263092041,-5.263739109039307
A door feeling regretful.,near,0.2857142857142857,0.7142857142857143,9.491069793701172,-3.081026077270508,-5.66468620300293,-3.081026077270508,-5.66468620300293
A girl writing a play.,probable,1.0,0.0,6.017678260803223,-3.702258825302124,-7.229664325714111,-3.702258825302124,-7.229664325714111
A kilogram being a prime number.,near,0.4444444444444444,0.5555555555555556,8.849818229675293,-4.752712726593018,-6.375100135803223,-4.752712726593018,-6.375100135803223
A kilogram writing a play.,far,0.0,1.0,9.856876373291016,-2.4369497299194336,-6.361091136932373,-2.4369497299194336,-6.361091136932373
A liter being a multiple of 5.,near,0.75,0.25,6.684972763061523,-4.077531814575195,-4.843255996704102,-4.077531814575195,-4.843255996704102
A liter feeling regretful.,far,0.1428571428571428,0.8571428571428571,12.53885269165039,-1.9157756567001343,-4.569618225097656,-1.9157756567001343,-4.569618225097656
A man being a multiple of 5.,far,0.2222222222222222,0.7777777777777778,1.8899996280670166,-2.789213180541992,-4.7072978019714355,-2.789213180541992,-4.7072978019714355
A man feeling regretful.,probable,1.0,0.0,3.4097719192504883,-3.8806872367858887,-5.396722316741943,-3.8806872367858887,-5.396722316741943
A mile being surprised by a news article.,far,0.0,1.0,10.489456176757812,-2.579216480255127,-6.113189697265625,-2.579216480255127,-6.113189697265625
A pill being amused by a tv show.,near,0.2,0.8,7.4315009117126465,-4.44357967376709,-7.23469352722168,-4.44357967376709,-7.23469352722168
A rock being a prime number.,far,0.0833333333333333,0.9166666666666666,10.621723175048828,-5.594282150268555,-6.451706886291504,-5.594282150268555,-6.451706886291504
A rock writing a play.,near,0.2727272727272727,0.7272727272727273,10.262409210205078,-3.762878894805908,-6.8742475509643555,-3.762878894805908,-6.8742475509643555
A shirt being surprised by a news article.,near,0.2,0.8,3.702397584915161,-4.745511054992676,-6.698134422302246,-4.745511054992676,-6.698134422302246
A teenager being surprised by a news article.,probable,1.0,0.0,0.607017993927002,-4.5340962409973145,-7.390255451202393,-4.5340962409973145,-7.390255451202393
A toddler being amused by a tv show.,probable,1.0,0.0,2.5624051094055176,-4.58953332901001,-7.404179573059082,-4.58953332901001,-7.404179573059082
A wall being entertained by a podcast.,near,0.25,0.75,3.7890024185180664,-4.160086154937744,-7.370382308959961,-4.160086154937744,-7.370382308959961
A week being entertained by a podcast.,far,0.5454545454545454,0.4545454545454545,9.793033599853516,-2.1436703205108643,-6.08858585357666,-2.1436703205108643,-6.08858585357666
A woman applying for a job.,probable,1.0,0.0,-1.3447091579437256,-4.6744303703308105,-6.589474678039551,-4.6744303703308105,-6.589474678039551
A woman being greater than 10.,far,0.4666666666666667,0.5333333333333333,1.0117790699005127,-4.988561630249023,-5.791202545166016,-4.988561630249023,-5.791202545166016
Adding a boy to 79.,far,0.0,1.0,0.8327114582061768,-6.635743141174316,-7.4297685623168945,-6.635743141174316,-7.4297685623168945
Adding a wall to 79.,far,0.0,1.0,0.7352104187011719,-8.546045303344727,-8.532353401184082,-8.546045303344727,-8.532353401184082
Adding a week to 79.,near,0.4166666666666667,0.5833333333333334,-0.45466458797454834,-7.441913604736328,-7.4709014892578125,-7.441913604736328,-7.4709014892578125
An inch applying for a job.,far,0.0714285714285714,0.9285714285714286,7.203741073608398,-1.4848432540893555,-5.541377067565918,-1.4848432540893555,-5.541377067565918
Dividing 12 by a mile.,near,0.125,0.875,15.418682098388672,-2.406679630279541,-5.67732048034668,-2.406679630279541,-5.67732048034668
Dividing 12 by a shirt.,far,0.0769230769230769,0.9230769230769232,13.20700454711914,-2.176085948944092,-5.64949893951416,-2.176085948944092,-5.64949893951416
Dividing 12 by a teenager.,far,0.0,1.0,9.702676773071289,-3.3871612548828125,-6.674002647399902,-3.3871612548828125,-6.674002647399902
Dividing 12 by the number 4.,probable,0.8,0.2,9.74199390411377,-6.228141784667969,-7.236638069152832,-6.228141784667969,-7.236638069152832
Taking the square root of a month.,near,0.2222222222222222,0.7777777777777778,11.24025821685791,-3.9703097343444824,-6.2121806144714355,-3.9703097343444824,-6.2121806144714355
Taking the square root of a pill.,far,0.1111111111111111,0.8888888888888888,6.802365303039551,-4.314279079437256,-6.474905967712402,-4.314279079437256,-6.474905967712402
Taking the square root of a toddler.,far,0.0,1.0,6.809464931488037,-4.62171745300293,-6.298556804656982,-4.62171745300293,-6.298556804656982
The number 10 being a multiple of 5.,probable,0.9230769230769232,0.0769230769230769,11.895118713378906,-3.5012803077697754,-4.658024787902832,-3.5012803077697754,-4.658024787902832
The number 10 feeling regretful.,far,0.25,0.75,6.208254814147949,-4.061370849609375,-5.511266708374023,-4.061370849609375,-5.511266708374023
The number 12 applying for a job.,far,0.3,0.7,6.845210075378418,-4.493404388427734,-6.503881454467773,-4.493404388427734,-6.503881454467773
The number 12 being greater than 10.,probable,0.8888888888888888,0.1111111111111111,11.393835067749023,-5.211802005767822,-5.428772449493408,-5.211802005767822,-5.428772449493408
The number 13 being a prime number.,probable,0.8823529411764706,0.1176470588235294,10.22892951965332,-6.157400608062744,-6.834360122680664,-6.157400608062744,-6.834360122680664
The number 13 writing a play.,far,0.0,1.0,10.754833221435547,-4.581205368041992,-7.719221115112305,-4.581205368041992,-7.719221115112305
The number 16 being amused by a tv show.,far,0.1,0.9,8.514739036560059,-4.859501838684082,-7.261433124542236,-4.859501838684082,-7.261433124542236
The number 20 being entertained by a podcast.,far,0.2727272727272727,0.7272727272727273,4.922441482543945,-4.816813945770264,-7.526529312133789,-4.816813945770264,-7.526529312133789
The number 4 being surprised by a news article.,far,0.0833333333333333,0.9166666666666666,8.314218521118164,-3.9884817600250244,-6.117007255554199,-3.9884817600250244,-6.117007255554199
