sentence,label,probable,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
A boy being entertained by a podcast.,probable,1.0,0.0,-3.792412892551326,54.09059360637545,127.41219787853325,54.09059360637545,141.62692519089984
A crumb applying for a job.,near,0.3333333333333333,0.6666666666666666,-13.462336110239207,48.668378704804,121.80989345513981,48.668378704804,156.43481456245814
A crumb being greater than 10.,far,0.1333333333333333,0.8666666666666667,-27.96896717685334,55.7793706243138,149.1183303804446,55.7793706243138,144.73764968173344
A door being a multiple of 5.,far,0.0,1.0,1.3675447137502772,50.08955837843534,143.5549634582802,50.08955837843534,145.70913225808357
A door feeling regretful.,near,0.2857142857142857,0.7142857142857143,-0.6589141394205598,41.34273884871838,149.4528172406133,41.34273884871838,169.66413156107845
A girl writing a play.,probable,1.0,0.0,-36.27404457321026,53.481166055445705,140.85418331035112,53.481166055445705,154.36536422582657
A kilogram being a prime number.,near,0.4444444444444444,0.5555555555555556,60.44749352127874,44.936436699840854,140.1209061097746,44.936436699840854,168.48181768858728
A kilogram writing a play.,far,0.0,1.0,10.731648165440973,46.97608507164205,131.52868589795867,46.97608507164205,166.37890656826346
A liter being a multiple of 5.,near,0.75,0.25,23.031073654884082,56.490537415512506,145.96316978560282,56.490537415512506,144.78290215116914
A liter feeling regretful.,far,0.1428571428571428,0.8571428571428571,1.4929603409432914,47.092865114047385,153.1045464465151,47.092865114047385,167.95639921211932
A man being a multiple of 5.,far,0.2222222222222222,0.7777777777777778,-10.151410311153292,64.59436279793202,150.32051364912314,64.59436279793202,149.4197569715312
A man feeling regretful.,probable,1.0,0.0,-14.682716914044462,55.66026165717071,164.0846912018127,55.66026165717071,167.86265521219352
A mile being surprised by a news article.,far,0.0,1.0,7.807677851501111,35.25394217898422,142.82929229756715,35.25394217898422,154.9118555479866
A pill being amused by a tv show.,near,0.2,0.8,13.880302131462077,44.333424657291985,129.59882671986017,44.333424657291985,149.66032495178794
A rock being a prime number.,far,0.0833333333333333,0.9166666666666666,60.410883510331665,50.839287685492536,147.69302249700058,50.839287685492536,171.3409186722239
A rock writing a play.,near,0.2727272727272727,0.7272727272727273,16.033233030067038,51.908448098070906,135.52181703580848,51.908448098070906,168.62185066824279
A shirt being surprised by a news article.,near,0.2,0.8,-20.62427916526761,44.00242229776903,136.30482768824507,44.00242229776903,149.07648191270596
A teenager being surprised by a news article.,probable,1.0,0.0,-63.19030204786049,48.06620282779195,138.1318175474915,48.06620282779195,147.03632164317352
A toddler being amused by a tv show.,probable,1.0,0.0,-36.80296840812233,47.022737484449635,129.7920431351269,47.022737484449635,143.52797974436172
A wall being entertained by a podcast.,near,0.25,0.75,-0.8902641569906748,46.54993300949713,135.3166311949198,46.54993300949713,146.1236709949124
