,Model,Dataset,Condition,MAE,MSE,KL,Pearson R,Entropy Correlation,Expert Correlation
0,allenai/OLMo-2-1124-13B,Hu et al. 2025a,Linear_Representation,0.22624212382574807,0.07458956251433216,0.22516196242959255,0.6458012572608798,-0.011025100725003843,0.07093523663584424
1,allenai/OLMo-2-1124-13B,Hu et al. 2025a,Probability,0.2676635523128683,0.11015489879633288,0.2961967286879531,0.37316908727719517,-0.08482076922761264,-0.24928490340516082
2,allenai/OLMo-2-1124-13B,Hu et al. 2025a,PC,0.30353888001884927,0.1330647710530343,0.34273980034345153,0.1708702375653013,0.08277873984517185,-0.06519970083611826
3,allenai/OLMo-2-1124-13B,Hu et al. 2025a,Random,0.272886065418887,0.11359661210955802,0.30751873174496075,0.3691266256745904,-0.09235716674020003,-0.2790778420026354
4,allenai/OLMo-2-1124-13B,Hu et al. 2025b,Linear_Representation,0.12887588032077227,0.03708071951333002,0.30593885579284075,0.7847380805931452,0.5761595215521268,0.5916834436877528
5,allenai/OLMo-2-1124-13B,Hu et al. 2025b,Probability,0.2174920816619776,0.07651148566007032,0.6115953976413528,0.49146934595647435,0.4153369159588935,0.5701819369267966
6,allenai/OLMo-2-1124-13B,Hu et al. 2025b,PC,0.21539336751183305,0.0797636544302639,0.6331306381888459,0.509320862354055,0.2760518590054689,0.46115962874977623
7,allenai/OLMo-2-1124-13B,Hu et al. 2025b,Random,0.22783505151103892,0.08546660010804313,0.6834072650250367,0.4644028787609811,0.22477553893552976,0.4600640835383314
8,allenai/OLMo-2-1124-13B,Goulding,Linear_Representation,0.25880024300271176,0.1095807340619237,0.31009068927495004,0.6084357590929537,0.33065463994188493,0.25919333897324565
9,allenai/OLMo-2-1124-13B,Goulding,Probability,0.36707543045016816,0.16728137449999683,0.4459080189251686,0.19394463059036451,0.11867359686195346,0.10994924647625673
10,allenai/OLMo-2-1124-13B,Goulding,PC,0.32871587786701983,0.14722609702496428,0.39928034396562134,0.40020364680971665,0.12946758611081668,0.07736633952783131
11,allenai/OLMo-2-1124-13B,Goulding,Random,0.33836132711431643,0.15218766184901403,0.43319529645594185,0.35568213091152956,0.028799345135989005,-0.027382669923102943
