sentence,Subjective Event Likelihood
Someone baked a cake inside a freezer.,3.272727272727273
Someone baked a cake inside an airfryer.,49.75
Someone baked a cake inside a sigh.,0.3
Someone baked a cake inside an oven.,99.16666666666667
Someone chopped a carrot using a rag.,2.8666666666666667
Someone chopped a carrot using a sword.,25.384615384615383
Someone chopped a carrot using a color.,3.0
Someone chopped a carrot using a knife.,99.36363636363636
Someone cleaned a spill using mustard.,5.2727272727272725
Someone cleaned a spill using a scarf.,35.0
Someone cleaned a spill using a country.,5.625
Someone cleaned a spill using a sponge.,91.15384615384616
Someone cleaned a carpet using a crayon.,6.666666666666667
Someone cleaned a carpet using a hat.,6.0
Someone cleaned a carpet using a week.,11.0
Someone cleaned a carpet using a vacuum.,98.0
Someone climbed a tree using oil.,2.5833333333333335
Someone climbed a tree using a rope.,84.44444444444444
Someone climbed a tree using a poem.,5.3
Someone climbed a tree using a ladder.,89.8
Someone closed a jacket using fog.,5.2
Someone closed a jacket using glue.,36.44444444444444
Someone closed a jacket using a word.,0.7692307692307693
Someone closed a jacket using a zipper.,99.47058823529412
Someone constructed a tower out of sparks.,2.4615384615384617
Someone constructed a tower out of bubbles.,13.285714285714286
Someone constructed a tower out of seasons.,1.3333333333333333
Someone constructed a tower out of blocks.,85.33333333333333
Someone cooked dinner out of the moon.,3.0
Someone cooked dinner out of insects.,43.8
Someone cooked dinner out of thoughts.,0.75
Someone cooked dinner out of pasta.,75.76470588235294
Someone cooled a room using a heater.,0.0
Someone cooled a room using shades.,68.38461538461539
Someone cooled a room using a taste.,0.8571428571428571
Someone cooled a room using a fan.,92.92857142857143
Someone covered a window using a hair.,7.4
Someone covered a window using sheets.,61.2
Someone covered a window using a chant.,1.0
Someone covered a window using curtains.,98.84615384615384
Someone crafted a bowl out of smoke.,4.625
Someone crafted a bowl out of mud.,64.07692307692308
Someone crafted a bowl out of math.,3.875
Someone crafted a bowl out of clay.,96.46153846153847
Someone boiled water using a refrigerator.,2.5714285714285716
Someone boiled water using a microwave.,78.16666666666667
Someone boiled water using justice.,3.8333333333333335
Someone boiled water using a kettle.,98.45454545454545
Someone crushed a soda can using a tissue.,4.0588235294117645
Someone crushed a soda can using a chair.,50.5
Someone crushed a soda can using a day.,2.0
Someone crushed a soda can using a shoe.,56.55555555555556
Someone cut grass using a popsicle.,1.6666666666666667
Someone cut grass using a scythe.,51.57142857142857
Someone cut grass using an essay.,4.333333333333333
Someone cut grass using a lawnmower.,99.16666666666667
Someone cut cardboard using fur.,0.375
Someone cut cardboard using a scalpel.,42.0
Someone cut cardboard using a snore.,1.0
Someone cut cardboard using scissors.,92.28571428571429
Someone dented a car with a breeze.,1.2
Someone dented a car with a dumbbell.,66.28571428571429
Someone dented a car with a nap.,8.38888888888889
Someone dented a car with a baseball bat.,72.75
Someone dug a hole using dirt.,22.23076923076923
Someone dug a hole using a spatula.,29.25
Someone dug a hole using a yawn.,1.6875
Someone dug a hole using a shovel.,98.44444444444444
Someone dipped a biscuit into a floor.,2.0
Someone dipped a biscuit into wine.,29.444444444444443
Someone dipped a biscuit into a myth.,5.5
Someone dipped a biscuit into coffee.,88.45454545454545
Someone displayed books on a galaxy.,3.3333333333333335
Someone displayed books on a bed.,53.2
Someone displayed books on a sigh.,8.846153846153847
Someone displayed books on a shelf.,99.0
Someone docked a boat using a balloon.,0.875
Someone docked a boat using an anvil.,24.0625
Someone docked a boat using a lesson.,21.272727272727273
Someone docked a boat using an anchor.,90.83333333333333
Someone drank a cup full of lightning.,3.142857142857143
Someone drank a cup full of honey.,21.11111111111111
Someone drank a cup full of minutes.,0.75
Someone drank a cup full of water.,99.84615384615384
Someone dried their hands using a liquid.,1.6
Someone dried their hands using a sweater.,73.4
Someone dried their hands using freedom.,1.7777777777777777
Someone dried their hands using a towel.,97.5625
Someone broke a coconut using a pillow.,6.25
Someone broke a coconut using a table.,25.166666666666668
Someone broke a coconut using a texture.,9.5625
Someone broke a coconut using a rock.,70.5
Someone dried laundry using juice.,6.083333333333333
Someone dried laundry using a fan.,53.30769230769231
Someone dried laundry using courage.,3.111111111111111
Someone dried laundry using a clothesline.,91.57142857142857
Someone ate soup using a sieve.,8.615384615384615
Someone ate soup using a bucket.,13.666666666666666
Someone ate soup using history.,0.6666666666666666
Someone ate soup using a spoon.,98.73684210526316
Someone entered a room through a wall.,15.285714285714286
Someone entered a room through a window.,54.8
Someone entered a room through a theory.,2.4545454545454546
Someone entered a room through a door.,96.86666666666666
Someone filled a bucket with buildings.,10.066666666666666
Someone filled a bucket with acorns.,63.3
Someone filled a bucket with time.,4.909090909090909
Someone filled a bucket with sand.,91.07142857142857
Someone filled a purse with sofas.,4.714285714285714
Someone filled a purse with cream.,22.0
Someone filled a purse with luck.,8.8
Someone filled a purse with coins.,84.6875
Someone grew flowers inside a marble.,8.4
Someone grew flowers inside a mug.,57.2
