,vector_feature,fold,layer,test_condition,accuracy
0,improbable,0,0,improbable,0.6071428571428571
1,improbable,0,0,impossible,0.5
2,improbable,0,0,inconceivable,0.5357142857142857
3,improbable,0,1,improbable,0.5
4,improbable,0,1,impossible,0.6785714285714286
5,improbable,0,1,inconceivable,0.75
6,improbable,0,2,improbable,0.6071428571428571
7,improbable,0,2,impossible,0.5357142857142857
8,improbable,0,2,inconceivable,0.6428571428571429
9,improbable,0,3,improbable,0.6785714285714286
10,improbable,0,3,impossible,0.75
11,improbable,0,3,inconceivable,0.8571428571428571
12,improbable,0,4,improbable,0.5714285714285714
13,improbable,0,4,impossible,0.6428571428571429
14,improbable,0,4,inconceivable,0.8571428571428571
15,improbable,0,5,improbable,0.6785714285714286
16,improbable,0,5,impossible,0.75
17,improbable,0,5,inconceivable,0.7857142857142857
18,improbable,0,6,improbable,0.6071428571428571
19,improbable,0,6,impossible,0.6428571428571429
20,improbable,0,6,inconceivable,0.8928571428571429
21,improbable,0,7,improbable,0.5714285714285714
22,improbable,0,7,impossible,0.6785714285714286
23,improbable,0,7,inconceivable,0.6071428571428571
24,improbable,0,8,improbable,0.7142857142857143
25,improbable,0,8,impossible,0.7142857142857143
26,improbable,0,8,inconceivable,0.8214285714285714
27,improbable,0,9,improbable,0.7142857142857143
28,improbable,0,9,impossible,0.8214285714285714
29,improbable,0,9,inconceivable,0.8928571428571429
30,improbable,0,10,improbable,0.75
31,improbable,0,10,impossible,0.6785714285714286
32,improbable,0,10,inconceivable,0.8571428571428571
33,improbable,0,11,improbable,0.75
34,improbable,0,11,impossible,0.8571428571428571
35,improbable,0,11,inconceivable,0.8928571428571429
36,improbable,0,12,improbable,0.75
37,improbable,0,12,impossible,0.8928571428571429
38,improbable,0,12,inconceivable,0.8928571428571429
39,improbable,0,13,improbable,0.75
40,improbable,0,13,impossible,0.8928571428571429
41,improbable,0,13,inconceivable,0.8214285714285714
42,improbable,0,14,improbable,0.8928571428571429
43,improbable,0,14,impossible,0.8214285714285714
44,improbable,0,14,inconceivable,0.8214285714285714
45,improbable,0,15,improbable,0.75
46,improbable,0,15,impossible,0.7857142857142857
47,improbable,0,15,inconceivable,0.7857142857142857
48,improbable,0,16,improbable,0.75
49,improbable,0,16,impossible,0.8928571428571429
50,improbable,0,16,inconceivable,0.8571428571428571
51,improbable,0,17,improbable,0.7857142857142857
52,improbable,0,17,impossible,0.8214285714285714
53,improbable,0,17,inconceivable,0.7857142857142857
54,improbable,0,18,improbable,0.8214285714285714
55,improbable,0,18,impossible,0.8214285714285714
56,improbable,0,18,inconceivable,0.8214285714285714
57,improbable,0,19,improbable,0.75
58,improbable,0,19,impossible,0.8214285714285714
59,improbable,0,19,inconceivable,0.8571428571428571
60,improbable,0,20,improbable,0.6785714285714286
61,improbable,0,20,impossible,0.7857142857142857
62,improbable,0,20,inconceivable,0.8214285714285714
63,improbable,0,21,improbable,0.6428571428571429
64,improbable,0,21,impossible,0.7857142857142857
65,improbable,0,21,inconceivable,0.8571428571428571
66,improbable,0,22,improbable,0.8214285714285714
67,improbable,0,22,impossible,0.8214285714285714
68,improbable,0,22,inconceivable,0.8928571428571429
69,improbable,0,23,improbable,0.7857142857142857
70,improbable,0,23,impossible,0.7857142857142857
71,improbable,0,23,inconceivable,0.8214285714285714
72,improbable,0,24,improbable,0.75
73,improbable,0,24,impossible,0.75
74,improbable,0,24,inconceivable,0.8571428571428571
75,improbable,0,25,improbable,0.5357142857142857
76,improbable,0,25,impossible,0.8214285714285714
77,improbable,0,25,inconceivable,0.75
78,impossible,0,0,improbable,0.39285714285714285
79,impossible,0,0,impossible,0.4642857142857143
80,impossible,0,0,inconceivable,0.6071428571428571
81,impossible,0,1,improbable,0.5357142857142857
82,impossible,0,1,impossible,0.6785714285714286
83,impossible,0,1,inconceivable,0.75
84,impossible,0,2,improbable,0.5714285714285714
85,impossible,0,2,impossible,0.6785714285714286
86,impossible,0,2,inconceivable,0.7857142857142857
87,impossible,0,3,improbable,0.5357142857142857
88,impossible,0,3,impossible,0.6785714285714286
89,impossible,0,3,inconceivable,0.7857142857142857
90,impossible,0,4,improbable,0.75
91,impossible,0,4,impossible,0.7142857142857143
92,impossible,0,4,inconceivable,0.9285714285714286
93,impossible,0,5,improbable,0.5714285714285714
94,impossible,0,5,impossible,0.7857142857142857
95,impossible,0,5,inconceivable,0.9642857142857143
96,impossible,0,6,improbable,0.4642857142857143
97,impossible,0,6,impossible,0.6071428571428571
98,impossible,0,6,inconceivable,0.9642857142857143
99,impossible,0,7,improbable,0.6785714285714286
100,impossible,0,7,impossible,0.7857142857142857
101,impossible,0,7,inconceivable,0.9642857142857143
102,impossible,0,8,improbable,0.5714285714285714
103,impossible,0,8,impossible,0.7857142857142857
104,impossible,0,8,inconceivable,0.8928571428571429
105,impossible,0,9,improbable,0.6071428571428571
106,impossible,0,9,impossible,0.7857142857142857
107,impossible,0,9,inconceivable,1.0
108,impossible,0,10,improbable,0.6428571428571429
109,impossible,0,10,impossible,0.8571428571428571
110,impossible,0,10,inconceivable,1.0
111,impossible,0,11,improbable,0.75
112,impossible,0,11,impossible,0.8214285714285714
113,impossible,0,11,inconceivable,0.9642857142857143
114,impossible,0,12,improbable,0.75
115,impossible,0,12,impossible,0.8214285714285714
116,impossible,0,12,inconceivable,0.9285714285714286
117,impossible,0,13,improbable,0.7142857142857143
118,impossible,0,13,impossible,0.8571428571428571
119,impossible,0,13,inconceivable,0.9285714285714286
120,impossible,0,14,improbable,0.5714285714285714
121,impossible,0,14,impossible,0.8928571428571429
122,impossible,0,14,inconceivable,0.9642857142857143
123,impossible,0,15,improbable,0.5714285714285714
124,impossible,0,15,impossible,0.8214285714285714
125,impossible,0,15,inconceivable,0.8928571428571429
126,impossible,0,16,improbable,0.5714285714285714
127,impossible,0,16,impossible,0.8928571428571429
128,impossible,0,16,inconceivable,0.9285714285714286
129,impossible,0,17,improbable,0.7142857142857143
130,impossible,0,17,impossible,0.8214285714285714
131,impossible,0,17,inconceivable,0.8928571428571429
132,impossible,0,18,improbable,0.6428571428571429
133,impossible,0,18,impossible,0.8571428571428571
134,impossible,0,18,inconceivable,0.8571428571428571
135,impossible,0,19,improbable,0.6428571428571429
136,impossible,0,19,impossible,0.8928571428571429
137,impossible,0,19,inconceivable,0.9285714285714286
138,impossible,0,20,improbable,0.6428571428571429
139,impossible,0,20,impossible,0.8928571428571429
140,impossible,0,20,inconceivable,0.9285714285714286
141,impossible,0,21,improbable,0.7857142857142857
142,impossible,0,21,impossible,0.8214285714285714
143,impossible,0,21,inconceivable,0.8571428571428571
144,impossible,0,22,improbable,0.6785714285714286
145,impossible,0,22,impossible,0.8214285714285714
146,impossible,0,22,inconceivable,0.8571428571428571
147,impossible,0,23,improbable,0.6428571428571429
148,impossible,0,23,impossible,0.7857142857142857
149,impossible,0,23,inconceivable,0.8571428571428571
150,impossible,0,24,improbable,0.6428571428571429
151,impossible,0,24,impossible,0.7857142857142857
152,impossible,0,24,inconceivable,0.8571428571428571
153,impossible,0,25,improbable,0.7142857142857143
154,impossible,0,25,impossible,0.8571428571428571
155,impossible,0,25,inconceivable,0.8928571428571429
156,inconceivable,0,0,improbable,0.32142857142857145
157,inconceivable,0,0,impossible,0.5357142857142857
158,inconceivable,0,0,inconceivable,0.7857142857142857
159,inconceivable,0,1,improbable,0.25
160,inconceivable,0,1,impossible,0.42857142857142855
161,inconceivable,0,1,inconceivable,0.6428571428571429
162,inconceivable,0,2,improbable,0.5357142857142857
163,inconceivable,0,2,impossible,0.5714285714285714
164,inconceivable,0,2,inconceivable,0.8571428571428571
165,inconceivable,0,3,improbable,0.5714285714285714
166,inconceivable,0,3,impossible,0.8214285714285714
167,inconceivable,0,3,inconceivable,1.0
168,inconceivable,0,4,improbable,0.5714285714285714
169,inconceivable,0,4,impossible,0.75
170,inconceivable,0,4,inconceivable,1.0
171,inconceivable,0,5,improbable,0.5357142857142857
172,inconceivable,0,5,impossible,0.6785714285714286
173,inconceivable,0,5,inconceivable,1.0
174,inconceivable,0,6,improbable,0.5357142857142857
175,inconceivable,0,6,impossible,0.75
176,inconceivable,0,6,inconceivable,1.0
177,inconceivable,0,7,improbable,0.5
178,inconceivable,0,7,impossible,0.6785714285714286
179,inconceivable,0,7,inconceivable,1.0
180,inconceivable,0,8,improbable,0.6071428571428571
181,inconceivable,0,8,impossible,0.75
182,inconceivable,0,8,inconceivable,1.0
183,inconceivable,0,9,improbable,0.6428571428571429
184,inconceivable,0,9,impossible,0.75
185,inconceivable,0,9,inconceivable,1.0
186,inconceivable,0,10,improbable,0.5714285714285714
187,inconceivable,0,10,impossible,0.6428571428571429
188,inconceivable,0,10,inconceivable,1.0
189,inconceivable,0,11,improbable,0.6428571428571429
190,inconceivable,0,11,impossible,0.75
191,inconceivable,0,11,inconceivable,1.0
192,inconceivable,0,12,improbable,0.6785714285714286
193,inconceivable,0,12,impossible,0.75
194,inconceivable,0,12,inconceivable,1.0
195,inconceivable,0,13,improbable,0.6785714285714286
196,inconceivable,0,13,impossible,0.8214285714285714
197,inconceivable,0,13,inconceivable,1.0
198,inconceivable,0,14,improbable,0.6071428571428571
199,inconceivable,0,14,impossible,0.8214285714285714
200,inconceivable,0,14,inconceivable,1.0
201,inconceivable,0,15,improbable,0.6428571428571429
202,inconceivable,0,15,impossible,0.75
203,inconceivable,0,15,inconceivable,0.9642857142857143
