layer,pc,split,accuracy
1,0,0,0.5
1,0,1,0.6428571428571428
1,0,2,0.5
1,0,3,0.5714285714285714
1,0,4,0.5
1,1,0,0.5714285714285714
1,1,1,0.42857142857142855
1,1,2,0.5714285714285714
1,1,3,0.5714285714285714
1,1,4,0.5714285714285714
1,2,0,0.6428571428571429
1,2,1,0.5714285714285714
1,2,2,0.21428571428571427
1,2,3,0.5714285714285714
1,2,4,0.5
2,0,0,0.7142857142857143
2,0,1,0.5714285714285714
2,0,2,0.5
2,0,3,0.42857142857142855
2,0,4,0.42857142857142855
2,1,0,0.7142857142857143
2,1,1,0.42857142857142855
2,1,2,0.5
2,1,3,0.5
2,1,4,0.7142857142857143
2,2,0,0.5714285714285714
2,2,1,0.5
2,2,2,0.5714285714285714
2,2,3,0.6428571428571428
2,2,4,0.4285714285714286
3,0,0,0.2857142857142857
3,0,1,0.5
3,0,2,0.5714285714285714
3,0,3,0.6428571428571428
3,0,4,0.6428571428571428
3,1,0,0.7142857142857143
3,1,1,0.5
3,1,2,0.5
3,1,3,0.35714285714285715
3,1,4,0.5714285714285714
3,2,0,0.5714285714285714
3,2,1,0.6428571428571428
3,2,2,0.3571428571428571
3,2,3,0.5714285714285714
3,2,4,0.5
4,0,0,0.35714285714285715
4,0,1,0.5
4,0,2,0.5714285714285714
4,0,3,0.5714285714285714
4,0,4,0.6428571428571429
4,1,0,0.5714285714285714
4,1,1,0.5714285714285714
4,1,2,0.5714285714285714
4,1,3,0.5
4,1,4,0.5
4,2,0,0.5
4,2,1,0.6428571428571428
4,2,2,0.6428571428571428
4,2,3,0.7142857142857143
4,2,4,0.3571428571428571
5,0,0,0.2857142857142857
5,0,1,0.5714285714285714
5,0,2,0.6428571428571429
5,0,3,0.5714285714285714
5,0,4,0.6428571428571429
5,1,0,0.42857142857142855
5,1,1,0.5714285714285714
5,1,2,0.6428571428571429
5,1,3,0.5
5,1,4,0.42857142857142855
5,2,0,0.6428571428571429
