sentence,label,probable,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
A boy being entertained by a podcast.,probable,1.0,0.0,-861.7819520240399,-1116.5803539662315,-7594.184209988956,-1116.5803539662315,-3011.5344315583175
A crumb applying for a job.,near,0.3333333333333333,0.6666666666666666,-995.6671920832036,-1252.7950610235403,-9430.57482342039,-1252.7950610235403,-3717.8666831112464
A crumb being greater than 10.,far,0.1333333333333333,0.8666666666666667,-628.107505043306,-649.1529736038203,-1052.983087991955,-649.1529736038203,-1094.0538679045667
A door being a multiple of 5.,far,0.0,1.0,-719.2681311923063,-810.5938042211012,-2166.608000912199,-810.5938042211012,-1495.2657452446422
A door feeling regretful.,near,0.2857142857142857,0.7142857142857143,-935.2469929193112,-1175.5337141723571,-13942.417201595938,-1175.5337141723571,-3981.1896634994187
A girl writing a play.,probable,1.0,0.0,-1063.8546902113617,-1390.6841047013747,-10778.423551913904,-1390.6841047013747,-4182.734189204477
A kilogram being a prime number.,near,0.4444444444444444,0.5555555555555556,-936.6851638066424,-1133.4958807196062,-9443.091359923019,-1133.4958807196062,-3444.578429917438
A kilogram writing a play.,far,0.0,1.0,-951.9949854896095,-1164.9183812494653,-13042.577929028865,-1164.9183812494653,-3828.295956511961
A liter being a multiple of 5.,near,0.75,0.25,-808.8095496570473,-982.9539053795128,-1999.4122165211577,-982.9539053795128,-1760.4370744732862
A liter feeling regretful.,far,0.1428571428571428,0.8571428571428571,-1007.6065691459661,-1246.7299607237194,-14655.411068375684,-1246.7299607237194,-4386.048884438656
A man being a multiple of 5.,far,0.2222222222222222,0.7777777777777778,-608.2580336444518,-673.9563702065111,-1384.2468910117418,-673.9563702065111,-1131.8512813871941
A man feeling regretful.,probable,1.0,0.0,-898.0177907971213,-1160.0967959720083,-11612.83466858933,-1160.0967959720083,-3779.0881870777507
A mile being surprised by a news article.,far,0.0,1.0,-918.2420350305736,-1108.339120488618,-13945.093623496374,-1108.339120488618,-4064.183058290482
A pill being amused by a tv show.,near,0.2,0.8,-964.237258107009,-1237.7746063087038,-12725.281255668178,-1237.7746063087038,-4089.5666347246647
A rock being a prime number.,far,0.0833333333333333,0.9166666666666666,-851.3308185216094,-1022.7968489006669,-5820.785021512425,-1022.7968489006669,-2532.135484398748
A rock writing a play.,near,0.2727272727272727,0.7272727272727273,-955.3669149991013,-1146.0986633226742,-12878.343714148268,-1146.0986633226742,-3869.1160876390786
A shirt being surprised by a news article.,near,0.2,0.8,-990.1408518948084,-1206.1871115936476,-9465.473867726212,-1206.1871115936476,-3620.8444053075636
A teenager being surprised by a news article.,probable,1.0,0.0,-967.3030230676645,-1186.6221432164148,-7413.632276860665,-1186.6221432164148,-3208.0947581330342
A toddler being amused by a tv show.,probable,1.0,0.0,-978.5362573231914,-1280.2557907465766,-17129.509470123972,-1280.2557907465766,-4685.578815031755
A wall being entertained by a podcast.,near,0.25,0.75,-870.1274642007033,-1093.7061143876242,-10001.563833945884,-1093.7061143876242,-3126.0191146739226
A week being entertained by a podcast.,far,0.5454545454545454,0.4545454545454545,-882.6544876797446,-1132.8533104897222,-17487.369369538428,-1132.8533104897222,-4454.711358913311
