layer,pc,split,accuracy
15,2,2,0.4285714285714286
15,2,3,0.5714285714285714
15,2,4,0.7857142857142857
16,0,0,0.7857142857142857
16,0,1,0.7142857142857143
16,0,2,0.7142857142857143
16,0,3,0.7142857142857143
16,0,4,0.6428571428571429
16,1,0,0.6428571428571428
16,1,1,0.5714285714285714
16,1,2,0.5
16,1,3,0.6428571428571428
16,1,4,0.5714285714285714
16,2,0,0.42857142857142855
16,2,1,0.5714285714285714
16,2,2,0.6428571428571429
16,2,3,0.7857142857142857
16,2,4,0.5714285714285714
