sentence,label,possible,impossible,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone is about to be born with 12 toes.,improbable,0.8918918918918919,0.1081081081081081,-0.01931806281208992,-57.427589416503906,76.41336822509766,-57.427589416503906,18.98584747314453
Someone is about to be born with 2 feet.,possible,1.0,0.0,-0.07932417839765549,-44.21137619018555,19.416553497314453,-44.21137619018555,-24.794815063476562
Someone is about to be born with 2 wings.,impossible,0.0789473684210526,0.9210526315789472,-0.005798272788524628,-45.163856506347656,32.417205810546875,-45.163856506347656,-12.746757507324219
Someone is about to buy a large rock.,possible,0.9487179487179488,0.0512820512820512,-0.00908532366156578,-88.31723022460938,-173.5372314453125,-88.31723022460938,-261.85443115234375
Someone is about to clean a car.,possible,1.0,0.0,-0.009686442092061043,-74.2273178100586,-213.26132202148438,-74.2273178100586,-287.48870849609375
Someone is about to clean a cloud.,impossible,0.05,0.95,-0.008043022826313972,1.440164566040039,-53.15680694580078,1.440164566040039,-51.71672821044922
Someone is about to clean a road.,improbable,0.9743589743589745,0.0256410256410256,-0.009002727456390858,-68.39199829101562,-173.68809509277344,-68.39199829101562,-242.08010864257812
Someone is about to count all of the hairs on a dog.,improbable,0.2972972972972973,0.7027027027027027,-0.0764717310667038,-83.77002716064453,-56.79934310913086,-83.77002716064453,-140.56930541992188
Someone is about to count all of the sand in the world.,impossible,0.025,0.975,0.014019137248396873,-61.85236358642578,-91.26789855957031,-61.85236358642578,-153.12026977539062
Someone is about to count all of the students in a room.,possible,1.0,0.0,-0.15769246220588684,-92.98924255371094,56.67829895019531,-92.98924255371094,-36.31093978881836
Someone is about to cut the line to go into the store.,improbable,1.0,0.0,-0.1607804298400879,-63.236915588378906,-74.90731811523438,-63.236915588378906,-138.1440887451172
Someone is about to eat a brownie for dessert.,possible,1.0,0.0,-0.009692693129181862,-130.701904296875,-190.25039672851562,-130.701904296875,-320.952392578125
Someone is about to eat a large rock.,impossible,0.1944444444444444,0.8055555555555556,-0.008514412678778172,-89.31878662109375,-197.09759521484375,-89.31878662109375,-286.4164123535156
Someone is about to eat a lollipop.,possible,1.0,0.0,-0.00941429939121008,-79.84141540527344,-164.5404815673828,-79.84141540527344,-244.38186645507812
Someone is about to eat a pickle for dessert.,improbable,0.95,0.05,-0.008673720061779022,-109.45596313476562,-203.70631408691406,-109.45596313476562,-313.16229248046875
Someone is about to eat a planet.,impossible,0.025,0.975,-0.007313829846680164,-43.43396759033203,-104.74269104003906,-43.43396759033203,-148.17657470703125
Someone is about to eat a rainbow for dessert.,impossible,0.0,1.0,-0.008255650289356709,-81.92558288574219,-188.021484375,-81.92558288574219,-269.9471435546875
Someone is about to eat a whole sandwich for dinner.,possible,1.0,0.0,-0.00874963216483593,-116.30786895751953,-223.36990356445312,-116.30786895751953,-339.677734375
Someone is about to eat a whole turkey for dinner.,improbable,0.9,0.1,-0.009405434131622314,-125.7042236328125,-210.97006225585938,-125.7042236328125,-336.6744079589844
Someone is about to eat a whole whale for dinner.,impossible,0.0263157894736842,0.9736842105263158,-0.0073966169729828835,-118.18065643310547,-149.62713623046875,-118.18065643310547,-267.8077392578125
Someone is about to eat an insect.,improbable,0.9743589743589745,0.0256410256410256,-0.008524500764906406,-55.115684509277344,-129.64767456054688,-55.115684509277344,-184.76329040527344
Someone is about to find a monkey in a closet.,improbable,0.7368421052631579,0.2631578947368421,-0.007970506325364113,-112.81333923339844,-135.3094482421875,-112.81333923339844,-248.1227264404297
Someone is about to find a sweater in a closet.,possible,1.0,0.0,-0.00934729166328907,-141.32699584960938,-218.78585815429688,-141.32699584960938,-360.11279296875
Someone is about to find a unicorn in a closet.,impossible,0.075,0.925,-0.007735397666692734,-92.82859802246094,-129.15179443359375,-92.82859802246094,-221.9803466796875
Someone is about to have a cat as a pet.,possible,1.0,0.0,-0.008835886605083942,-94.84297180175781,-28.37771224975586,-94.84297180175781,-123.22062683105469
Someone is about to have a lion as a pet.,improbable,0.6666666666666666,0.3333333333333333,-0.008116076700389385,-110.37869262695312,-76.38209533691406,-110.37869262695312,-186.76071166992188
Someone is about to have the moon as a pet.,impossible,0.0256410256410256,0.9743589743589745,0.04973399639129639,3.1947021484375,44.51667785644531,3.1947021484375,47.71148681640625
