sentence,label,possible,impossible,Probability
Someone is about to be born with 12 toes.,improbable,0.8918918918918919,0.1081081081081081,-41.0
Someone is about to be born with 2 feet.,possible,1.0,0.0,-42.0
Someone is about to be born with 2 wings.,impossible,0.0789473684210526,0.9210526315789472,-43.25
Someone is about to buy a large rock.,possible,0.9487179487179488,0.0512820512820512,-37.0
Someone is about to clean a car.,possible,1.0,0.0,-36.5
Someone is about to clean a cloud.,impossible,0.05,0.95,-42.0
Someone is about to clean a road.,improbable,0.9743589743589745,0.0256410256410256,-40.0
Someone is about to count all of the hairs on a dog.,improbable,0.2972972972972973,0.7027027027027027,-50.75
Someone is about to count all of the sand in the world.,impossible,0.025,0.975,-46.75
Someone is about to count all of the students in a room.,possible,1.0,0.0,-47.5
Someone is about to cut the line to go into the store.,improbable,1.0,0.0,-50.75
Someone is about to eat a brownie for dessert.,possible,1.0,0.0,-40.25
Someone is about to eat a large rock.,impossible,0.1944444444444444,0.8055555555555556,-36.75
Someone is about to eat a lollipop.,possible,1.0,0.0,-33.75
Someone is about to eat a pickle for dessert.,improbable,0.95,0.05,-42.25
Someone is about to eat a planet.,impossible,0.025,0.975,-35.0
Someone is about to eat a rainbow for dessert.,impossible,0.0,1.0,-43.0
Someone is about to eat a whole sandwich for dinner.,possible,1.0,0.0,-42.0
Someone is about to eat a whole turkey for dinner.,improbable,0.9,0.1,-41.5
Someone is about to eat a whole whale for dinner.,impossible,0.0263157894736842,0.9736842105263158,-44.75
Someone is about to eat an insect.,improbable,0.9743589743589745,0.0256410256410256,-32.5
Someone is about to find a monkey in a closet.,improbable,0.7368421052631579,0.2631578947368421,-45.0
Someone is about to find a sweater in a closet.,possible,1.0,0.0,-43.0
Someone is about to find a unicorn in a closet.,impossible,0.075,0.925,-45.25
Someone is about to have a cat as a pet.,possible,1.0,0.0,-40.0
Someone is about to have a lion as a pet.,improbable,0.6666666666666666,0.3333333333333333,-38.0
Someone is about to have the moon as a pet.,impossible,0.0256410256410256,0.9743589743589745,-44.25
Someone is about to know the name of someone they just met.,possible,0.9705882352941176,0.0294117647058823,-47.25
Someone is about to know the names of everyone in the world.,impossible,0.0256410256410256,0.9743589743589745,-47.25
