sentence,label,possible,impossible
Someone is about to be born with 12 toes.,improbable,0.3,0.7
Someone is about to be born with 2 feet.,possible,1.0,0.0
Someone is about to be born with 2 wings.,impossible,0.10256410256410256,0.8974358974358975
Someone is about to buy a large rock.,possible,0.8648648648648649,0.13513513513513514
Someone is about to clean a car.,possible,1.0,0.0
Someone is about to clean a cloud.,impossible,0.0,1.0
Someone is about to clean a road.,improbable,0.9024390243902439,0.0975609756097561
Someone is about to count all of the hairs on a dog.,improbable,0.23809523809523808,0.7619047619047619
Someone is about to count all of the sand in the world.,impossible,0.07692307692307693,0.9230769230769231
Someone is about to count all of the students in a room.,possible,1.0,0.0
Someone is about to cut the line to go into the store.,improbable,0.6410256410256411,0.358974358974359
Someone is about to eat a brownie for dessert.,possible,1.0,0.0
Someone is about to eat a large rock.,impossible,0.02631578947368421,0.9736842105263158
Someone is about to eat a lollipop.,possible,1.0,0.0
Someone is about to eat a pickle for dessert.,improbable,0.926829268292683,0.07317073170731707
Someone is about to eat a planet.,impossible,0.0,1.0
Someone is about to eat a rainbow for dessert.,impossible,0.0,1.0
Someone is about to eat a whole sandwich for dinner.,possible,0.975,0.025
Someone is about to eat a whole turkey for dinner.,improbable,0.7857142857142857,0.21428571428571427
Someone is about to eat a whole whale for dinner.,impossible,0.05,0.95
Someone is about to eat an insect.,improbable,0.8292682926829268,0.17073170731707318
Someone is about to find a monkey in a closet.,improbable,0.3,0.7
Someone is about to find a sweater in a closet.,possible,1.0,0.0
Someone is about to find a unicorn in a closet.,impossible,0.07692307692307693,0.9230769230769231
Someone is about to have a cat as a pet.,possible,1.0,0.0
Someone is about to have a lion as a pet.,improbable,0.38095238095238093,0.6190476190476191
Someone is about to have the moon as a pet.,impossible,0.0,1.0
Someone is about to know the name of someone they just met.,possible,0.8648648648648649,0.13513513513513514
Someone is about to know the names of everyone in the world.,impossible,0.12195121951219512,0.8780487804878049
Someone is about to know the names of everyone they ever met.,improbable,0.7894736842105263,0.21052631578947367
Someone is about to live for 1000 years.,impossible,0.04878048780487805,0.9512195121951219
Someone is about to live for 110 years.,improbable,0.6829268292682927,0.3170731707317073
Someone is about to live for 60 years.,possible,0.9,0.1
Someone is about to magically appear into the store.,impossible,0.025,0.975
Someone is about to make a house out of bricks.,possible,0.9512195121951219,0.04878048780487805
Someone is about to make a house out of gas.,impossible,0.0,1.0
Someone is about to make a house out of grass.,improbable,0.225,0.775
Someone is about to make their friend cry.,improbable,0.975609756097561,0.024390243902439025
Someone is about to make their friend shrink.,impossible,0.0,1.0
Someone is about to make their friend smile.,possible,1.0,0.0
Someone is about to move a marble with their breath.,improbable,0.7804878048780488,0.21951219512195122
Someone is about to move a marble with their hand.,possible,0.9761904761904762,0.023809523809523808
Someone is about to move a marble with their mind.,impossible,0.024390243902439025,0.975609756097561
Someone is about to not eat for 1 hour.,possible,0.95,0.05
Someone is about to not eat for 10 days.,improbable,0.325,0.675
Someone is about to not eat for 100 days.,impossible,0.024390243902439025,0.975609756097561
Someone is about to open a window with their breath.,impossible,0.025,0.975
Someone is about to open a window with their feet.,improbable,0.5121951219512195,0.4878048780487805
Someone is about to open a window with their hand.,possible,0.975,0.025
Someone is about to paint polka dots on a cloud.,impossible,0.0,1.0
Someone is about to paint polka dots on a plane.,improbable,0.85,0.15
Someone is about to paint polka dots on a wall.,possible,1.0,0.0
Someone is about to play with a toy.,possible,1.0,0.0
Someone is about to play with a wolf.,improbable,0.4634146341463415,0.5365853658536586
Someone is about to play with magic.,impossible,0.21621621621621623,0.7837837837837838
Someone is about to ride a cow.,improbable,0.8048780487804879,0.1951219512195122
Someone is about to ride a horse.,possible,1.0,0.0
Someone is about to ride an ogre.,impossible,0.05714285714285714,0.9428571428571428
Someone is about to shake someone's hand with their hand.,possible,0.9761904761904762,0.023809523809523808
Someone is about to shake someone's hand with their mind.,impossible,0.024390243902439025,0.975609756097561
Someone is about to shake someone's hand with their mouth.,improbable,0.3902439024390244,0.6097560975609756
Someone is about to stay awake for 5 days.,improbable,0.38461538461538464,0.6153846153846154
Someone is about to stay awake for 5 hours.,possible,0.925,0.075
Someone is about to stay awake for 5 years.,impossible,0.07142857142857142,0.9285714285714286
Someone is about to steal a large rock.,improbable,0.8,0.2
Someone is about to turn an onion into apple juice.,impossible,0.0,1.0
Someone is about to turn an onion into onion juice.,improbable,0.7435897435897436,0.2564102564102564
Someone is about to turn an onion into onion slices.,possible,0.975609756097561,0.024390243902439025
Someone is about to unlock a door with a doorkey.,possible,0.975609756097561,0.024390243902439025
Someone is about to unlock a door with a toothpick.,improbable,0.5853658536585366,0.4146341463414634
Someone is about to unlock a door with their mind.,impossible,0.023809523809523808,0.9761904761904762
Someone is about to wait in line to go into the store.,possible,0.975,0.025
Someone is about to walk through a brick wall.,impossible,0.07317073170731707,0.926829268292683
Someone is about to walk through a hot fire.,improbable,0.2857142857142857,0.7142857142857143
Someone is about to walk through an open door.,possible,1.0,0.0
Someone is about to wear shoes made out of leather.,possible,0.975609756097561,0.024390243902439025
Someone is about to wear shoes made out of light.,impossible,0.10256410256410256,0.8974358974358975
Someone is about to wear shoes made out of stone.,improbable,0.21951219512195122,0.7804878048780488
