sentence,label,possible,impossible
Someone is about to be born with 12 toes.,improbable,0.07894736842105263,0.9210526315789473
Someone is about to be born with 2 feet.,possible,0.8421052631578947,0.15789473684210525
Someone is about to be born with 2 wings.,impossible,0.13513513513513514,0.8648648648648649
Someone is about to buy a large rock.,possible,0.16216216216216217,0.8378378378378378
Someone is about to clean a car.,possible,0.9487179487179487,0.05128205128205128
Someone is about to clean a cloud.,impossible,0.05263157894736842,0.9473684210526315
Someone is about to clean a road.,improbable,0.4358974358974359,0.5641025641025641
Someone is about to count all of the hairs on a dog.,improbable,0.2631578947368421,0.7368421052631579
Someone is about to count all of the sand in the world.,impossible,0.05555555555555555,0.9444444444444444
Someone is about to count all of the students in a room.,possible,0.8108108108108109,0.1891891891891892
Someone is about to cut the line to go into the store.,improbable,0.18421052631578946,0.8157894736842105
Someone is about to eat a brownie for dessert.,possible,0.8918918918918919,0.10810810810810811
Someone is about to eat a large rock.,impossible,0.07894736842105263,0.9210526315789473
Someone is about to eat a lollipop.,possible,1.0,0.0
Someone is about to eat a pickle for dessert.,improbable,0.4473684210526316,0.5526315789473685
Someone is about to eat a planet.,impossible,0.05128205128205128,0.9487179487179487
Someone is about to eat a rainbow for dessert.,impossible,0.07894736842105263,0.9210526315789473
Someone is about to eat a whole sandwich for dinner.,possible,0.6923076923076923,0.3076923076923077
Someone is about to eat a whole turkey for dinner.,improbable,0.5263157894736842,0.47368421052631576
Someone is about to eat a whole whale for dinner.,impossible,0.07894736842105263,0.9210526315789473
Someone is about to eat an insect.,improbable,0.20512820512820512,0.7948717948717948
Someone is about to find a monkey in a closet.,improbable,0.07894736842105263,0.9210526315789473
Someone is about to find a sweater in a closet.,possible,0.9473684210526315,0.05263157894736842
Someone is about to find a unicorn in a closet.,impossible,0.13157894736842105,0.868421052631579
Someone is about to have a cat as a pet.,possible,0.9743589743589743,0.02564102564102564
Someone is about to have a lion as a pet.,improbable,0.07894736842105263,0.9210526315789473
Someone is about to have the moon as a pet.,impossible,0.08108108108108109,0.918918918918919
Someone is about to know the name of someone they just met.,possible,0.6216216216216216,0.3783783783783784
Someone is about to know the names of everyone in the world.,impossible,0.1282051282051282,0.8717948717948718
Someone is about to know the names of everyone they ever met.,improbable,0.6842105263157895,0.3157894736842105
Someone is about to live for 1000 years.,impossible,0.13157894736842105,0.868421052631579
Someone is about to live for 110 years.,improbable,0.2571428571428571,0.7428571428571429
Someone is about to live for 60 years.,possible,0.40540540540540543,0.5945945945945946
Someone is about to magically appear into the store.,impossible,0.07894736842105263,0.9210526315789473
Someone is about to make a house out of bricks.,possible,0.9487179487179487,0.05128205128205128
Someone is about to make a house out of gas.,impossible,0.05263157894736842,0.9473684210526315
Someone is about to make a house out of grass.,improbable,0.07692307692307693,0.9230769230769231
Someone is about to make their friend cry.,improbable,0.5897435897435898,0.41025641025641024
Someone is about to make their friend shrink.,impossible,0.07692307692307693,0.9230769230769231
Someone is about to make their friend smile.,possible,0.8918918918918919,0.10810810810810811
Someone is about to move a marble with their breath.,improbable,0.3888888888888889,0.6111111111111112
Someone is about to move a marble with their hand.,possible,1.0,0.0
Someone is about to move a marble with their mind.,impossible,0.13513513513513514,0.8648648648648649
Someone is about to not eat for 1 hour.,possible,0.34285714285714286,0.6571428571428571
Someone is about to not eat for 10 days.,improbable,0.2,0.8
Someone is about to not eat for 100 days.,impossible,0.1111111111111111,0.8888888888888888
Someone is about to open a window with their breath.,impossible,0.05555555555555555,0.9444444444444444
