,stimuli,condition,elo
0,growing flowers inside_improbable,improbable,1415.3919108055313
1,carrying groceries inside_impossible,impossible,1411.291955121291
2,rinsing fruit using_inconceivable,inconceivable,1368.4173798698341
3,chilling a drink using_inconceivable,inconceivable,1384.2737385735275
4,starting a fire using_impossible,impossible,1430.5108605259852
5,hanging a painting using_improbable,improbable,1444.3422078581802
6,filling a bucket with_impossible,impossible,1377.8241155627586
7,entering a room through_improbable,improbable,1482.0500757005689
8,taking a vacation to_inconceivable,inconceivable,1435.7984457924147
9,packing a suit inside_inconceivable,inconceivable,1415.8401090606296
10,shattering a window using_improbable,improbable,1374.8804718670144
11,taking a vacation to_improbable,improbable,1387.984001877777
12,popping a balloon using_inconceivable,inconceivable,1384.6312531667522
13,drinking a cup full of_impossible,impossible,1362.9059061369533
14,dipping a biscuit into_impossible,impossible,1424.3209462535556
15,storing dishes inside_inconceivable,inconceivable,1330.6120217901375
16,unlocking a door using_impossible,impossible,1415.600096300506
17,splitting a log using_impossible,impossible,1383.6877161059622
18,docking a boat using_improbable,improbable,1375.5183282028518
19,unlocking a door using_improbable,improbable,1411.6667362201342
20,filling a purse with_impossible,impossible,1359.7821252252706
21,smashing a pumpkin using_impossible,impossible,1385.853018700509
22,closing a jacket using_improbable,improbable,1451.4473272875243
23,drinking a cup full of_improbable,improbable,1330.304332549899
24,cooking dinner out of_impossible,impossible,1371.898733317454
25,squeezing juice from_inconceivable,inconceivable,1356.7340395854944
26,lighting a candle using_inconceivable,inconceivable,1414.9801041659293
27,cutting grass using_inconceivable,inconceivable,1402.095943630362
28,chopping a carrot using_impossible,impossible,1455.8833352085896
29,opening a jar using_impossible,impossible,1474.6037976439868
30,making a sandwich using_improbable,improbable,1394.5716210875573
31,plucking a hair using_inconceivable,inconceivable,1385.0748968562443
32,wrapping a present using_inconceivable,inconceivable,1441.7684576036252
33,cooling a room using_impossible,impossible,1415.397430847052
34,tightening a bolt using_impossible,impossible,1427.5017741112222
35,carrying groceries inside_inconceivable,inconceivable,1377.8009755193127
