sentence,label,possible,impossible,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone is about to be born with 12 toes.,improbable,0.8918918918918919,0.1081081081081081,283.2127380371094,-17.35396957397461,12.307364463806152,-17.35396957397461,-23.724599838256836
Someone is about to be born with 2 feet.,possible,1.0,0.0,277.4789123535156,-14.047243118286133,12.725976943969727,-14.047243118286133,-19.389066696166992
Someone is about to be born with 2 wings.,impossible,0.0789473684210526,0.9210526315789472,300.14031982421875,-14.327861785888672,15.965497970581055,-14.327861785888672,-20.113370895385742
Someone is about to buy a large rock.,possible,0.9487179487179488,0.0512820512820512,279.4479064941406,-14.180651664733887,13.446818351745605,-14.180651664733887,-19.926151275634766
Someone is about to clean a car.,possible,1.0,0.0,256.41119384765625,-15.663942337036133,15.47053337097168,-15.663942337036133,-20.40505599975586
Someone is about to clean a cloud.,impossible,0.05,0.95,239.78256225585938,-12.328513145446777,17.66509246826172,-12.328513145446777,-16.006725311279297
Someone is about to clean a road.,improbable,0.9743589743589745,0.0256410256410256,269.01361083984375,-15.522947311401367,17.173397064208984,-15.522947311401367,-19.60607147216797
Someone is about to count all of the hairs on a dog.,improbable,0.2972972972972973,0.7027027027027027,282.7607421875,-14.639934539794922,12.707651138305664,-14.639934539794922,-23.712669372558594
Someone is about to count all of the sand in the world.,impossible,0.025,0.975,266.42425537109375,-15.012359619140625,14.33371353149414,-15.012359619140625,-22.92192840576172
Someone is about to count all of the students in a room.,possible,1.0,0.0,239.44546508789062,-15.281030654907227,12.283086776733398,-15.281030654907227,-20.96916961669922
Someone is about to cut the line to go into the store.,improbable,1.0,0.0,280.6409912109375,-14.55799674987793,13.719840049743652,-14.55799674987793,-23.753175735473633
Someone is about to eat a brownie for dessert.,possible,1.0,0.0,281.26239013671875,-15.666613578796387,13.07620620727539,-15.666613578796387,-21.90117645263672
Someone is about to eat a large rock.,impossible,0.1944444444444444,0.8055555555555556,280.9579772949219,-12.896376609802246,14.825039863586426,-12.896376609802246,-19.004261016845703
Someone is about to eat a lollipop.,possible,1.0,0.0,297.40264892578125,-14.874664306640625,14.002884864807129,-14.874664306640625,-22.30636215209961
Someone is about to eat a pickle for dessert.,improbable,0.95,0.05,288.6290283203125,-15.510149002075195,12.71238899230957,-15.510149002075195,-21.972415924072266
Someone is about to eat a planet.,impossible,0.025,0.975,288.95355224609375,-11.22072696685791,13.77740478515625,-11.22072696685791,-19.65883445739746
