prompt,base_class,surprisal,improbable_impossible,impossible_inconceivable
cooking an egg on a car hood.,improbable,5.75,0.9443339960238568,0.8750975800156128
catching fish with a butterfly net.,improbable,5.125,0.7216699801192843,0.3786104605776736
typing a report using a calculator.,improbable,6.84375,0.7296222664015904,0.4941451990632318
writing a book using a single sheet of paper.,improbable,4.5625,0.5765407554671969,0.5659640905542545
painting a house with a toothbrush.,improbable,6.375,0.9284294234592444,0.8376268540202967
sailing a boat using a bed sheet as a sail.,improbable,5.28125,1.0,0.9437939110070258
building a skyscraper using bamboo.,improbable,8.125,0.8409542743538767,0.8688524590163934
grooming a dog with a fork.,improbable,6.34375,0.8369781312127237,0.5846994535519126
starting a campfire with a magnifying glass at night.,improbable,5.15625,0.7733598409542743,0.6284153005464481
playing piano with drumsticks.,improbable,7.21875,0.7852882703777336,0.5472287275565965
eating soup with chopsticks.,improbable,7.90625,0.7693836978131213,0.3973458235753317
walking a tightrope in a storm.,improbable,5.15625,0.6182902584493042,0.6814988290398126
planting a garden on a rooftop.,improbable,5.6875,0.7932405566600398,0.6377829820452772
lighting a match underwater.,improbable,8.25,0.7017892644135189,0.843871975019516
carving a turkey with a butter knife.,improbable,4.15625,0.7892644135188867,0.6128024980483997
using a garden rake to comb hair.,improbable,5.875,0.610337972166998,0.7501951600312255
charging a phone using static electricity.,improbable,6.3125,0.6938369781312127,0.5971896955503513
writing a letter using invisible ink.,improbable,7.0625,0.7495029821073559,0.5878220140515222
using a fan to dry clothes in the rain.,improbable,4.46875,0.6341948310139165,0.6346604215456675
taking photos at night without a flash.,improbable,4.9375,0.6381709741550696,0.5909445745511319
making ice cream using only the sun.,improbable,5.6875,0.6063618290258449,0.8813427010148321
navigating a city using a pirate's map.,improbable,5.03125,0.5944333996023857,0.5878220140515222
sewing clothes with fishing line.,improbable,8.25,0.952286282306163,0.7501951600312255
powering a house with a hamster wheel.,improbable,5.84375,0.6779324055666004,0.862607338017174
